,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_fd1_scaled
54,54,0.917940466613033,0.9177027500124804,0.9061205256836818,0.9641393854764656,-0.052030164017909594,0.00992003726004731,-0.768199548268801,3.796364984083712,3.2994036916748333,0.13781174577634753,0.13998390989541432,0.09823008849557521,0.10080450522928394,0.08318584070796461,0.04891391794046658,0.06363636363636363,0.033950120675784345
55,55,0.917940466613033,0.9178849779447976,0.9048274957365867,0.9674340810704447,0.7988388847497068,0.17929532958511207,-1.2100021677416075,3.6350349915188183,2.9785317263445474,0.17127916331456153,0.12115848753016892,0.13789219629927593,0.08503620273531778,0.07739340305711988,0.030168946098149595,0.052775543041029736,0.02622687047465805
56,56,0.918744971842317,0.9189900897963273,0.9090116069929735,0.9693307992997433,-0.20249080140305986,0.24089354714862382,-0.5378934679764589,3.919632278429223,2.819355542480745,0.15462590506838297,0.12855993563958162,0.12397425583266289,0.07763475462590508,0.07972646822204346,0.034674175382139925,0.05543041029766691,0.024939662107803694
57,57,0.919549477071601,0.9194978538852969,0.907800760187395,0.9627802822711335,0.34635039097485,0.38184076782061105,-0.8167362671830558,3.7499225942121983,2.640887283904027,0.16419951729686244,0.13451327433628318,0.16444086886564765,0.09573612228479485,0.07996781979082865,0.04609814963797261,0.06057924376508446,0.027594529364440856
58,58,0.9251810136765889,0.9248324762390091,0.9116440503771317,0.9696930107245924,0.7087394845460864,0.4144385532278676,-1.039315655885201,4.128835836331413,2.0243379254592515,0.15623491552695096,0.11633145615446498,0.11295253419147219,0.07835880933226066,0.07216411906677393,0.04376508447304903,0.04947707160096537,0.027996781979082896
59,59,0.913113435237329,0.9132672535577224,0.9041339270123974,0.9647284791339271,0.6125500959396382,-0.09287349667999262,-0.6524405449617188,3.507903114032664,3.0065698568732135,0.1341110217216412,0.12534191472244566,0.11826226870474654,0.09509251810136762,0.07047465808527756,0.038857602574416686,0.05840707964601768,0.03137570394207556
60,60,0.919549477071601,0.919415592751436,0.9095741945069891,0.9646657446881465,0.9319765929381876,0.39052247779298027,-1.0561799164723353,3.6273613645733342,2.409129018840483,0.14875301689460982,0.11946902654867253,0.12148028962188251,0.09219629927594532,0.06733708769106998,0.04465004022526142,0.055671761866452105,0.025261464199517303
61,61,0.9259855189058729,0.9258954811608504,0.9155986263896164,0.970141435306443,0.9628333884542641,-0.3132441987224122,-0.8688255092353434,3.706101666109097,2.86924799712424,0.1394207562349155,0.12598551890587287,0.11721641190667735,0.07948511665325826,0.07417538213998391,0.038053097345132736,0.041914722445695864,0.0193081255028158
62,62,0.911504424778761,0.9116082338594566,0.9019472073672781,0.965965242333978,0.9492368768787266,0.025881498047668112,-0.5198559829642311,3.133109619490896,2.7894129059982653,0.14384553499597746,0.13580048270313755,0.11794046661303295,0.09823008849557517,0.07240547063555913,0.03201930812550276,0.04835076427996778,0.02952534191472238
63,63,0.9396621078037007,0.9393228183581419,0.9278080084492814,0.9741125958580152,0.17299262069745833,0.050514498069321824,-0.9043586943692661,4.055730239741493,2.8302267563664314,0.12855993563958165,0.14400643604183427,0.1113435237329043,0.1041029766693484,0.08246178600160903,0.049396621078036995,0.058970233306516476,0.03346741753821405
