,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled
29,29,0.92,0.9206393353801698,0.8694016152716593,0.9606277533039648,3.218824811040809,1.2505132155418617,-0.008360156130193183,-0.11308567303340682,1.9493700840385628,0.07236363636363641,0.06581818181818186,0.06472727272727277,0.04654545454545459
30,30,0.9272727272727272,0.9268133423862011,0.8859463276836159,0.969083490269931,1.7469803518003262,1.3389810305528984,0.11771429060105154,1.0156402248627294,1.894161812820195,0.10363636363636361,0.09272727272727269,0.07236363636363634,0.049818181818181796
31,31,0.92,0.9209376436341352,0.8936362209667295,0.9652385436283741,2.439107446764254,1.4903218140683514,0.2888953973691061,0.2717068828291467,1.872008027039834,0.1436363636363637,0.09963636363636366,0.0654545454545455,0.05490909090909095
32,32,0.9345454545454546,0.9361581920903954,0.925,0.9730578512396694,2.857395861408729,1.6240764768662383,0.41672741883407594,-0.5586142815199927,1.7336888453451018,0.1410909090909091,0.10072727272727275,0.0963636363636364,0.030545454545454577
33,33,0.9272727272727272,0.9267768595041322,0.8812377690802349,0.9482224396607959,3.267706794656254,0.794577080598455,0.23740284048627702,-0.5484439285562065,2.4806045746155485,0.13527272727272724,0.0996363636363636,0.09709090909090909,0.058545454545454546
34,34,0.9381818181818182,0.9370271161474654,0.884573487514664,0.9722641193229429,2.350310505510425,1.2274213398951384,1.5002612912594384,-0.4341161211056676,1.9613186556860842,0.09890909090909096,0.11490909090909093,0.07163636363636368,0.05672727272727276
35,35,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.970763216046235,2.4842773096561594,1.4162909606140008,0.5500807541857992,0.4246399220967804,1.2674832184218134,0.1316363636363636,0.10181818181818181,0.04800000000000001,0.016727272727272723
36,36,0.9163636363636364,0.914233571671774,0.8478065883887802,0.9515655577299412,2.1093435381497425,2.26453659894058,0.32050732041230345,0.05216627014495809,1.2804808917136186,0.11345454545454545,0.1043636363636364,0.06000000000000003,0.05927272727272729
37,37,0.9418181818181818,0.9401898319545378,0.8873351342761799,0.974574924519307,3.0152719415251066,1.330652820466937,0.040469017190109716,0.10093441649367695,1.6122520178425286,0.13818181818181813,0.10145454545454542,0.07127272727272724,0.039999999999999966
38,38,0.8981818181818182,0.8981818181818182,0.8507751937984496,0.945891472868217,2.577261019347479,1.5469495170151506,0.0463496976003174,0.6245438695252644,1.2469528807472674,0.09745454545454546,0.08690909090909091,0.0370909090909091,0.026181818181818195
39,39,0.9309090909090909,0.92932246668299,0.8777131782945736,0.9674418604651163,2.6770284762243612,1.6481366320016781,0.11022201656812103,-0.22571683374024623,1.9510628129821264,0.124,0.0930909090909091,0.07709090909090908,0.05672727272727272
40,40,0.9418181818181818,0.9418181818181818,0.9065102838687744,0.966173720890702,3.352338464868745,1.1300331393282819,-0.009279895949211067,-0.27531401978213316,2.0155750650739153,0.08509090909090905,0.0898181818181818,0.08290909090909086,0.04909090909090905
