,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd1_scaled
10,10,0.9094650205761317,0.909218964973081,0.8983854243815731,0.9574877795882091,3.388535770498937,1.182435449970172,1.1361261883681442,1.7203020162567326,-0.7255814498565694,0.09341563786008228,0.033333333333333305,0.02263374485596705,0.005761316872427957,-0.0041152263374485635,-0.0004115226337448874,-0.0016460905349794496,-0.0004115226337448763,0.0028806584362139785,-0.0024691358024691466,-1.1102230246251566e-17,0.0012345679012345622
11,11,0.934156378600823,0.9340218593743086,0.928637726688562,0.9800799657289733,2.2550146242860434,0.9269717833198539,0.8896997382580741,1.9662092697979892,0.345835548840914,0.09300411522633742,0.03004115226337446,0.034156378600823004,0.028806584362139898,0.0032921810699588216,0.01687242798353906,0.0016460905349794165,0.011522633744855926,0.0127572016460905,-0.0020576131687242926,0.01769547325102877,0.004115226337448541
12,12,0.897119341563786,0.8964087999920727,0.8817418213969939,0.9693486590038314,3.033113048165726,0.7752471236314633,1.2062884686520008,1.3550838021253089,0.24808014647344712,0.10740740740740744,0.03744855967078191,0.019753086419753117,-0.002057613168724259,-0.005349794238683103,-0.0008230452674897082,-0.008230452674897092,0.0004115226337448874,-0.010699588477366207,-0.009876543209876498,-0.0028806584362139785,-0.011522633744855914
13,13,0.8683127572016461,0.8683127572016461,0.850920245398773,0.9440184049079756,2.90113897504991,1.201075579357833,0.7910425316269518,1.1693157285398088,0.5232534376530342,0.09382716049382721,0.03827160493827164,0.023456790123456826,0.013580246913580295,0.002469135802469158,0.005761316872428046,3.3306690738754695e-17,0.004115226337448608,0.0012345679012346067,-0.005349794238683103,-0.004938271604938227,0.012757201646090588
14,14,0.934156378600823,0.9345883566665015,0.9309184791112501,0.9775465498357064,2.9805068286802237,0.9695732634242783,1.304371440803187,0.9632584946320768,0.38888541309005686,0.13950617283950612,0.03086419753086419,0.02345679012345677,0.013168724279835365,0.003292181069958833,0.012345679012345633,0.004938271604938249,0.006995884773662519,0.0024691358024691245,0.006172839506172811,0.007818930041152227,0.0
15,15,0.9465020576131687,0.9465688993234543,0.9430813439434129,0.9665487768936045,3.957209405593511,1.0768383787961282,0.8460994181965679,0.5813627226946985,-0.10635079588334753,0.12921810699588482,0.044444444444444474,0.03991769547325104,0.011522633744855992,0.00905349794238689,0.016049382716049422,0.014814814814814847,0.018518518518518556,0.012345679012345711,0.01028806584362143,0.004526748971193428,0.003292181069958855
16,16,0.934156378600823,0.9342908978273373,0.9321551972358192,0.9719982723869853,3.4261352151260196,0.958691714841375,0.9811406787671523,1.4724896262453802,-0.4742574447555992,0.09917695473251024,0.02345679012345677,0.02839506172839503,0.014403292181069926,-0.0012345679012345846,0.010288065843621352,0.0016460905349794165,0.009465020576131656,0.0016460905349793941,0.0008230452674896971,0.0012345679012345401,-0.0004115226337448763
17,17,0.9176954732510288,0.916741038226982,0.9003094606542883,0.9660330091364574,2.5720991799618194,1.1017053303154094,1.3781646507093623,1.451642534709631,0.014795855647894457,0.13251028806584367,0.024279835390946546,0.021810699588477388,0.020164609053497984,0.0004115226337448874,0.017283950617283994,-0.0024691358024691136,0.004938271604938327,0.002057613168724326,-0.0024691358024691136,0.0032921810699588993,-0.0008230452674896748
18,18,0.9259259259259259,0.9260953764221739,0.9225886473077485,0.9620604114986138,3.016445611402703,0.9408780890644544,0.5852339036660252,1.732784598174971,0.25636425252729633,0.14197530864197527,0.03292181069958848,0.04650205761316871,0.022633744855967097,0.004115226337448552,0.016049382716049398,0.005349794238683115,0.030041152263374494,0.004938271604938249,0.006172839506172834,0.009465020576131689,0.0012345679012345622
19,19,0.9218106995884774,0.9228470233662343,0.9255244755244756,0.9685314685314685,3.3867939490575982,1.0599359918893052,0.6699839620458009,1.3813595685020965,-0.024741188190960772,0.06584362139917699,0.04814814814814816,0.02757201646090538,0.020576131687242826,0.002469135802469158,0.01028806584362144,0.004938271604938293,0.011934156378600869,0.0008230452674897193,0.0020576131687242926,0.004938271604938283,-0.0008230452674896971
20,20,0.9094650205761317,0.9100770285955471,0.9018673179955878,0.9550898203592815,3.48227020194072,0.9798768185726153,0.5692875962591644,0.9612467707609388,0.37464035798701834,0.10370370370370367,0.048971193415637826,0.04567901234567899,0.012345679012345656,0.003703703703703687,0.01481481481481478,0.007818930041152227,-0.003292181069958866,0.006584362139917666,-2.2204460492503132e-17,0.009465020576131656,0.005761316872427957
21,21,0.9218106995884774,0.9219570719270886,0.9096033903726212,0.9660962737885815,2.635575959504471,1.1471925096685875,0.8457339447174529,1.6595862288006333,0.0885429865115619,0.10370370370370371,0.040740740740740765,0.020576131687242826,0.012345679012345711,0.013580246913580285,0.008641975308641992,0.003292181069958866,0.012345679012345701,0.004526748971193451,0.00823045267489716,0.011111111111111138,0.0024691358024691466
22,22,0.8683127572016461,0.8692495371646431,0.8639090505110354,0.9387498148422456,3.220839153802362,0.7082020683101238,0.9865845957028871,1.2370789967601576,0.5708516027883099,0.10946502057613175,0.017695473251028847,0.013580246913580308,-0.004115226337448508,-0.018518518518518434,0.0020576131687243147,-0.013168724279835332,0.0016460905349794496,-0.0032921810699588216,-0.006995884773662519,-0.013168724279835332,-0.021810699588477332
23,23,0.9176954732510288,0.9170702589506009,0.8971005357705641,0.9705326189725811,2.997283894555535,0.6066613377560598,1.1444216759548063,1.629818692346128,0.23368808342308448,0.07942386831275723,0.034979423868312785,0.03209876543209881,0.004526748971193461,0.0008230452674897415,0.008641975308642047,-0.0020576131687242484,0.006584362139917743,0.0012345679012346177,0.0004115226337448763,-0.0032921810699588216,0.001646090534979483
