,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled
20,20,0.96,0.9601665702718335,0.9336506159014557,0.9926278462112728,3.186850804015553,1.8638893554948428,1.199225020999085,1.6726494959346327,0.15497904091748574,0.08327272727272722,0.03345454545454542,0.0,-0.000363636363636366,-0.0007272727272727431,-0.006909090909090953,-0.0043636363636363916,-1.1102230246251566e-17,0.009454545454545405,-0.0018181818181818299,-1.1102230246251566e-17,-0.0007272727272727541
21,21,0.9672727272727273,0.9669155114548373,0.9376571141277024,0.993883023294788,2.354392101481354,1.122850292017234,1.5769811099485722,2.310594898577129,0.464892111553573,0.12545454545454546,0.020000000000000007,0.0010909090909090979,0.000727272727272732,-0.001454545454545464,0.003272727272727294,0.000363636363636366,-0.000363636363636366,0.0043636363636363916,0.001454545454545464,-0.0014545454545454527,0.001454545454545464
22,22,0.9636363636363636,0.9631140574536802,0.9295454545454545,0.9943801652892562,2.9195729937567685,1.2454226148815026,1.361110376750669,0.8776902824777743,1.1039125268315502,0.07963636363636362,0.016363636363636358,0.0,-0.009454545454545448,0.0,0.0,-0.000363636363636366,-0.0036363636363636598,-0.0036363636363636598,-0.0021818181818181958,0.0,-0.001454545454545464
23,23,0.96,0.9593268895319009,0.9241220403623073,0.9911806769426347,2.73820131670786,1.058466453307317,1.619566372987443,2.1891332230696254,0.22207412012492916,0.14581818181818176,0.013090909090909042,0.002545454545454484,0.00036363636363633266,0.002545454545454484,0.0007272727272726986,-0.003636363636363671,0.0007272727272727098,0.004363636363636292,0.0010909090909090534,-0.00036363636363637706,-0.002181818181818207
24,24,0.9236363636363636,0.9217903808729496,0.8631813125695217,0.9878436357857938,3.1765902556030183,1.6128949805124937,2.0152973718510676,1.171115697331965,-0.15390302232600656,0.08436363636363634,0.0032727272727272163,-0.014545454545454639,-0.014545454545454629,-0.007636363636363686,-0.01090909090909098,-0.009818181818181882,-0.007636363636363686,-0.01090909090909098,-0.011272727272727313,-0.010181818181818247,-0.00545454545454549
25,25,0.9636363636363636,0.963220574669916,0.9382034952606635,0.9948163507109005,2.7352472943441146,0.6520652524582373,1.2789104531650235,2.3347031307487938,0.939323038824936,0.20363636363636362,0.02654545454545453,0.0,-0.0025454545454545617,-0.000363636363636366,-0.0043636363636363916,-0.0021818181818181958,-0.000727272727272732,0.002181818181818185,0.007636363636363608,0.000363636363636366,-0.0018181818181818299
26,26,0.9490909090909091,0.9490909090909091,0.9225414453565105,0.9923547400611621,2.9940085972822397,1.5922778472260197,0.946763155324825,1.9542964299428005,0.3262211224516923,0.12654545454545457,0.019272727272727275,0.0036363636363636598,-0.0010909090909090979,0.0,-0.002909090909090928,-0.002909090909090928,0.0036363636363636598,0.0036363636363636598,-0.0021818181818181958,0.0021818181818181958,0.0021818181818181958
27,27,0.96,0.9590076158730829,0.9164654756156446,0.9958152261387414,2.8379202008034166,1.8351927511500041,1.584016520093879,0.7784508989723905,0.7152412255578577,0.07127272727272724,0.023272727272727233,0.003272727272727205,0.0036363636363635488,0.0010909090909090534,-0.0021818181818181958,-0.0010909090909090979,0.00545454545454539,0.0014545454545454195,-0.001454545454545464,0.003272727272727205,0.003272727272727205
28,28,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.9937956824749277,3.118788884304005,1.9961648506887746,1.422921465207805,0.9363813203150304,0.4697660475730753,0.07127272727272727,0.022545454545454546,-0.003272727272727294,-0.0043636363636363916,-0.011999999999999978,-0.0021818181818181958,-0.001454545454545464,-0.0025454545454545617,-0.003272727272727294,-0.001454545454545464,-0.011272727272727257,-0.0021818181818181958
29,29,0.96,0.9594861297381239,0.9182727606461086,0.9933002936857562,3.6573179573452608,1.1864827319468405,1.8961125065059246,0.3353002288127542,0.6600100459618572,0.03854545454545451,0.019636363636363584,-0.003272727272727294,-0.005090909090909123,-0.007636363636363686,-0.013090909090909108,0.0,-0.000363636363636366,-0.0061818181818182215,0.0,-0.009818181818181882,-0.00545454545454549
30,30,0.9490909090909091,0.9490909090909091,0.9244742623979911,0.9897991211550534,2.879541485099998,1.928037157383859,1.6277340963960731,0.7264920291946252,0.7394315907820922,0.09454545454545456,0.03127272727272727,-0.002909090909090928,-0.005818181818181856,-0.005090909090909113,-0.0043636363636363916,-0.000363636363636366,0.0,0.0043636363636363916,0.0025454545454545617,-0.005090909090909123,-0.0025454545454545617
31,31,0.9490909090909091,0.9484312950850856,0.912154739485248,0.9939579409918393,3.2422790812641367,0.6471567453217187,2.007975693945816,1.4697488758629347,0.3311315483947559,0.038909090909090914,0.01709090909090909,-0.004727272727272758,-0.0010909090909090979,-0.002909090909090928,-0.007636363636363641,-0.005818181818181856,0.002909090909090928,-0.0021818181818181958,0.0018181818181818299,-0.0036363636363636598,-0.006909090909090909
32,32,0.96,0.96013462209362,0.9409090909090909,0.9943801652892562,3.68184169914482,1.236616249794767,1.369463033591834,1.0950919248925848,0.42732604467939267,0.07672727272727269,0.014545454545454495,-0.004000000000000026,-0.006909090909090953,-0.0032727272727273047,-0.009454545454545504,-0.004000000000000026,-0.0043636363636363916,-0.0018181818181818299,-0.004727272727272758,-0.003272727272727294,-0.0018181818181818633
33,33,0.9672727272727273,0.967380092821862,0.952870189171559,0.9953522504892368,3.6362998608376333,0.8570830476066599,1.6064600904052866,1.1792195245576274,0.4721955726924334,0.08327272727272728,0.022545454545454556,0.0072727272727273196,0.0043636363636363916,0.0036363636363636598,0.000363636363636366,0.000727272727272732,0.0036363636363636598,0.005818181818181845,0.003272727272727294,0.0036363636363636598,-0.0032727272727272718
34,34,0.9672727272727273,0.9669155114548373,0.9376571141277024,0.9957264957264956,3.0370278297266498,1.1372483783174832,1.2616769030356707,1.934455394095273,0.5225096025751761,0.08472727272727273,0.022181818181818202,0.0,-0.003272727272727294,-0.0036363636363636598,0.0,-0.001454545454545464,-0.0036363636363636598,0.000363636363636366,0.0,-0.002909090909090928,-0.0010909090909090979
35,35,0.9563636363636364,0.9553454545454546,0.9083375828658848,0.9915009348971613,4.035704764485305,0.8829103195657245,2.230444299114936,0.801698020955899,0.2934881850410717,0.04763636363636371,0.03818181818181824,0.003272727272727294,0.0,0.0,0.0,0.0025454545454545617,0.0036363636363636598,-0.0032727272727271937,0.001454545454545464,0.000363636363636366,0.0021818181818181958
36,36,0.96,0.9589812734082398,0.915076647097195,0.9952707110241358,2.948094127512195,1.7290298873011383,1.4618328641614557,0.6334869872591443,1.1423880441133782,0.09781818181818178,0.03199999999999999,0.002545454545454484,0.0,0.0,-2.2204460492503132e-17,0.0014545454545454195,-0.000363636363636366,0.0003636363636363549,-1.1102230246251566e-17,0.002909090909090839,-0.000363636363636366
37,37,0.9709090909090909,0.9707206297645697,0.9499841093278245,0.9974574924519307,3.2732713980176826,1.3240304044151654,1.5819195862020985,0.5134009455372093,1.0511600911198238,0.10254545454545458,0.023636363636363688,-0.006545454545454477,-0.0043636363636362805,-0.0032727272727271937,-0.006545454545454477,-0.0003636363636363549,-0.0007272727272727098,-0.0036363636363635488,0.0,-0.00363636363636356,-0.0032727272727271937
38,38,0.9418181818181818,0.9414597956970839,0.9087209302325581,0.9905426356589148,2.9941877286563905,1.8325903493046642,1.2975508927195492,1.3108427353887686,0.4353718285323487,0.07381818181818178,0.009454545454545415,0.002909090909090828,-0.0007272727272727431,-0.00036363636363637706,-4.4408920985006264e-17,-0.0021818181818181958,-0.00036363636363637706,0.0010909090909090758,-0.001454545454545475,0.0014545454545453972,-0.0007272727272727763
39,39,0.9563636363636364,0.9563636363636364,0.936046511627907,0.9924806201550388,2.939959738858304,1.1476918439869341,1.3831059605521285,2.023874179869552,0.20123646739927104,0.14072727272727276,0.0236363636363637,0.004727272727272758,0.004000000000000026,-0.002545454545454484,0.0003636363636363993,-0.005090909090909024,0.0,0.002909090909090928,0.0036363636363636598,4.4408920985006264e-17,-0.00036363636363633266
