,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled
93,93,0.9127272727272727,0.9106909090909091,0.8382202957674656,0.9413564507904131,1.3458469858838278,0.4448184286094105,-0.0013713689073107105,1.7486318364185944,2.595622133118391,0.09818181818181816,0.0669090909090909,0.04072727272727272,0.03236363636363637
94,94,0.8981818181818182,0.8960446089857855,0.825647835184291,0.9241107355544825,1.6510800675377124,1.0274059535369588,0.027385115981629245,2.151723033586673,1.3497028053486413,0.09490909090909092,0.04618181818181819,0.0301818181818182,0.028000000000000014
95,95,0.8981818181818182,0.8981818181818182,0.8409090909090909,0.9210743801652893,0.6294144179188395,0.7346683335427364,0.4872378091588053,2.010722123453152,2.1732912168787313,0.08399999999999999,0.05563636363636363,0.037090909090909105,0.028727272727272723
96,96,0.8872727272727273,0.8836769458258457,0.802240584776736,0.902272366121087,1.860696765599622,0.7583431167652116,0.43982025119056034,2.4127030942955563,0.5962205057966717,0.07636363636363641,0.008727272727272773,0.03818181818181824,0.01054545454545459
97,97,0.88,0.8804730229120473,0.7991240744085244,0.9130395521040274,1.8288561160733319,0.1778458221839806,0.05779285315900313,1.9901846429242578,2.3387948600980493,0.08909090909090908,0.05600000000000001,0.027272727272727282,0.03381818181818184
98,98,0.8872727272727273,0.8828154185107918,0.8118022328548644,0.9449760765550239,1.4429134261043046,0.7926518733700733,0.3844301590256583,2.0450327821101424,1.4190031622693209,0.06909090909090916,0.02109090909090915,0.03672727272727279,0.0025454545454545842
99,99,0.8945454545454545,0.8935335968379446,0.8343141870684243,0.9088983050847457,1.3107941095310516,0.6903724725533453,0.5339681606824124,2.3784310576239958,1.368037995095174,0.09563636363636362,0.05454545454545452,0.05636363636363637,0.029454545454545445
100,100,0.8981818181818182,0.8958060606060606,0.8148478667346591,0.9282678905320414,0.9843578635032381,0.40176957558840476,0.22666893946576802,2.686784408836283,1.6664532262888836,0.0741818181818182,0.032000000000000015,0.04472727272727274,0.014909090909090905
101,101,0.9127272727272727,0.9101533444134341,0.8388780169602088,0.928163731245923,1.2378441504539803,0.4968081035838567,0.5197203024455326,2.3111084068595846,1.6068403314971966,0.09018181818181818,0.04545454545454545,0.05272727272727272,0.023272727272727268
102,102,0.9054545454545454,0.9023481511146708,0.8163590893411521,0.9518799586064159,1.1818509638974128,0.16612079167811472,-0.07749298349200939,2.6336588269037877,2.309842273640382,0.07199999999999995,0.03381818181818177,0.04690909090909086,0.0174545454545454
103,103,0.8945454545454545,0.8955077023426963,0.851064675035754,0.9318290163673922,1.1050450572835928,0.7765759848334314,0.08942169174877133,2.3546110291079136,1.6595644277174004,0.10472727272727271,0.05454545454545454,0.04290909090909088,0.036
104,104,0.8945454545454545,0.8866481666481666,0.7734623764035529,0.9446958270487682,1.0686782654942806,0.6318914431884045,0.3273879811448526,1.9037403285123016,2.116557613089502,0.07527272727272727,0.021090909090909084,0.03563636363636365,0.02727272727272727
105,105,0.8909090909090909,0.8901652892561983,0.8251793868232224,0.9317514677103718,1.1496565765655073,1.1418375212221308,0.45609380101754504,2.7566306895907413,0.5521250915432465,0.08618181818181815,0.03236363636363633,0.043636363636363605,0.00036363636363633266
106,106,0.9018181818181819,0.8989193119915463,0.8314309790102651,0.9489811552014709,1.5941376830499459,0.4983791149560686,0.1317063804512864,1.9973707587133271,1.9427009271812499,0.07381818181818185,0.024727272727272764,0.05527272727272732,0.022909090909090934
107,107,0.88,0.8775079465988558,0.8129443127962086,0.9177280805687204,1.540039164481287,0.646968303290304,0.09021264647248806,2.2098262395555825,1.7443658729818972,0.09090909090909091,0.054181818181818185,0.048727272727272744,0.03090909090909092
108,108,0.88,0.8747497383488272,0.7910419506285022,0.9173103134938664,1.509825515963028,0.7138575780561873,0.2018551448768572,1.890960805014436,1.6592993409091665,0.08181818181818183,0.04909090909090911,0.04290909090909093,0.016363636363636358
109,109,0.8945454545454545,0.8902119257341776,0.8039192016739096,0.9416545952036054,1.1832051972554845,0.4099138837413516,0.448627822162835,2.3208112672172674,1.802131611273147,0.09818181818181818,0.02472727272727273,0.04981818181818182,0.015636363636363625
110,110,0.8909090909090909,0.8931404958677686,0.8442566402207659,0.921007243877199,1.463046835636863,0.711356075360792,-0.0656666480668403,2.2679475456338065,1.6332488393464992,0.08472727272727268,0.03890909090909088,0.03381818181818179,0.03854545454545453
