,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_scaled
25,25,0.8477366255144033,0.8465798067753155,0.824685534591195,0.9028152141359689,1.24780331759385,1.36508231747153,-0.42330219688278975,0.6553463056016434,1.2433418301798138,0.09794238683127574,0.10740740740740742,0.10000000000000005,0.034979423868312785
26,26,0.8189300411522634,0.819678815548088,0.7835260115606937,0.8400495458298927,0.9328068529761399,1.3918020210116444,0.060425872184057254,1.5349693058907474,0.593673093959344,0.11028806584362143,0.111522633744856,0.07901234567901239,0.04814814814814818
27,27,0.7983539094650206,0.7971205748983525,0.7542707493956486,0.8622078968573731,0.8595147060906349,1.9953794889333767,0.25657286787798067,0.44665931499525663,0.7512742634025399,0.09670781893004118,0.10987654320987654,0.0666666666666667,0.03415637860082308
28,28,0.8436213991769548,0.8426560991718742,0.8203689759036145,0.8945030120481928,1.5615840839175008,1.5275766030262858,0.02801131404441244,0.5871674567715817,0.5736376504884954,0.10041152263374489,0.10905349794238688,0.09218106995884777,0.04609053497942391
29,29,0.831275720164609,0.8286288470346151,0.8105974395448079,0.8652916073968706,0.9094496914425323,1.169231046388912,-0.10148975414913916,1.201456453078054,1.3434802431152395,0.09300411522633743,0.11358024691358022,0.0633744855967078,0.027160493827160494
30,30,0.831275720164609,0.8303815798369175,0.8013986013986014,0.8583527583527584,0.8072682435791728,1.2929399814314013,-0.037429714705093674,1.4852625152070753,0.9906489849676611,0.11275720164609053,0.10288065843621394,0.07901234567901234,0.044855967078189285
31,31,0.8600823045267489,0.8588922531119063,0.8241959064327485,0.8763807667316439,1.5067573730355868,1.6702970526115146,-0.05177875420196426,0.2595568328469406,0.8259883896725557,0.10823045267489709,0.12510288065843617,0.09259259259259256,0.062139917695473224
32,32,0.8518518518518519,0.8508799012040753,0.8271604938271605,0.8867550678250267,1.814774278270971,1.6060268178945327,0.057022388356682385,0.7216678299783323,0.13337812444747627,0.09547325102880659,0.10576131687242799,0.10617283950617284,0.06666666666666668
33,33,0.8271604938271605,0.8236553569886903,0.7921159029649596,0.8763851452530698,0.5813590355707036,1.5868280323863992,0.6422322519610477,0.47833994560421483,0.9744021017794615,0.08806584362139917,0.09218106995884774,0.05843621399176955,0.03950617283950618
34,34,0.8065843621399177,0.801272156057095,0.7697947214076246,0.8210410557184751,1.3306087509682103,1.0716178123068771,0.4616513719828059,0.9152842814228628,1.006734913692567,0.10987654320987654,0.11275720164609053,0.10205761316872426,0.05390946502057612
35,35,0.7818930041152263,0.7789102876906592,0.7497037475929492,0.8360983557991408,0.8816173428437261,1.84223951767321,0.4534093737982324,1.4182767297627352,-0.0763747451851756,0.08971193415637858,0.10658436213991766,0.07860082304526747,0.02716049382716048
36,36,0.8271604938271605,0.8246551018890376,0.8006598240469208,0.880791788856305,0.9469494787647993,1.872618508491987,0.16632689095872477,1.4899150819506555,-0.27367703330874993,0.06954732510288067,0.09382716049382718,0.0806584362139918,0.054320987654320994
37,37,0.7983539094650206,0.7956812849855425,0.7692307692307692,0.8430592396109637,1.062942823768609,1.5822611710692192,0.21929783436668485,0.7830580896103734,0.6384091687796947,0.08600823045267492,0.10041152263374489,0.0666666666666667,0.032921810699588494
38,38,0.8600823045267489,0.8562989822249082,0.8259887424085322,0.8990519922974374,1.7523162406264854,1.6016151355239472,0.2718423935574389,0.3159867424616897,0.3618453146958673,0.08765432098765427,0.12263374485596708,0.08971193415637854,0.04444444444444442
39,39,0.8189300411522634,0.8146459850163554,0.7819434102755026,0.841548771407297,1.2210055221320328,1.699726160896642,-0.2749773027940437,0.7893944954855874,0.8477521430461952,0.10041152263374489,0.09711934156378606,0.08806584362139921,0.05144032921810704
40,40,0.8148148148148148,0.8114168522331788,0.7684762054837693,0.8777182477150962,0.823559877627312,1.4426980553893918,0.22781829654910662,0.9213590839886221,1.0927217404469294,0.08189300411522629,0.09012345679012343,0.05925925925925921,0.0246913580246913
41,41,0.7901234567901234,0.7847020414020737,0.7555555555555555,0.8151053013798112,1.5147437571064561,1.086975653461209,0.09399947802030956,1.287173934893423,0.6675182453236915,0.07366255144032915,0.08683127572016457,0.07777777777777771,0.02263374485596701
42,42,0.8518518518518519,0.8475634166757652,0.8064102564102564,0.9,1.3961308955732006,1.1421036937903266,0.009684710356272604,1.0418813140409184,0.8937692161008168,0.1074074074074074,0.08765432098765433,0.07818930041152264,0.035802469135802484
