,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled
38,38,0.9176954732510288,0.9176954732510288,0.9100133313583173,0.9657087838838689,3.44747542840354,0.7334463040744523,0.5627373481535369,1.3441330544518748,-0.2823309994589526,0.15226337448559674,0.11604938271604945,0.021399176954732556,0.013168724279835443,0.032921810699588515,0.014814814814814859,0.004115226337448629,0.008230452674897193
39,39,0.8847736625514403,0.8847736625514403,0.873343261355175,0.9442293373045422,2.8764995992120492,0.9150500151459374,0.5791265225022463,0.8650546115910372,0.5242998457587246,0.11028806584362134,0.06460905349794235,0.001646090534979383,0.011934156378600791,0.020987654320987627,0.005761316872427968,-0.0016460905349794496,0.00411522633744853
40,40,0.897119341563786,0.8956919751629924,0.867790734320832,0.9554837693034982,3.4796686439098488,0.6181694355282905,0.7695567345749533,1.4759713983196894,-0.5076275118924429,0.17530864197530865,0.13497942386831277,0.010699588477366285,0.015226337448559701,0.027160493827160515,0.01111111111111115,0.008230452674897148,0.006172839506172867
41,41,0.8641975308641975,0.8637058977687578,0.8509803921568628,0.9404502541757443,3.9976284421358708,0.8951958814161318,0.09378579816292311,0.9266966180630258,-0.1580173214298552,0.11810699588477362,0.17242798353909458,-0.014403292181069994,0.004526748971193373,0.009053497942386801,0.0008230452674896748,-0.0069958847736625975,-0.00246913580246918
42,42,0.9053497942386831,0.9048482033231489,0.8863636363636365,0.9585081585081585,3.214151450099291,0.9118389878525713,0.13953795930198656,1.6448476361863733,-0.30157325188795314,0.12181069958847734,0.10452674897119338,0.022633744855967076,-0.007407407407407429,0.026748971193415617,0.004115226337448574,0.013168724279835387,0.0020576131687242705
43,43,0.8724279835390947,0.8721678925760558,0.8450292397660819,0.9367283950617283,3.131314537599095,0.21290289003916213,1.110351494552253,1.1395724906723317,0.3238678089406059,0.09218106995884776,0.10041152263374489,0.0057613168724280125,0.0012345679012345733,0.018518518518518556,-0.0024691358024691136,0.004115226337448574,0.002469135802469169
44,44,0.9135802469135802,0.9141966849999063,0.9104938271604939,0.9576284103033074,4.216543028641948,0.7355767429535185,0.7028107830183562,0.6782528280407052,-0.6195595973285961,0.09218106995884767,0.07942386831275715,0.008230452674897071,0.01563786008230448,0.024691358024691322,0.025102880658436168,-0.0016460905349794607,0.016049382716049342
45,45,0.8930041152263375,0.8930041152263375,0.878872699386503,0.925920245398773,2.8149918653303403,0.8261806710028947,1.2132432896339538,1.6236771381048498,-0.5808550869714506,0.11481481481481484,0.09259259259259263,0.009876543209876586,0.012345679012345734,0.020164609053497973,0.020164609053497984,0.0004115226337448874,0.010699588477366318
46,46,0.8724279835390947,0.8737019555841683,0.8667177914110429,0.9432515337423313,4.008053277040384,0.7902602164782859,0.4805892917523051,0.892943513106498,-0.182910347515766,0.09012345679012349,0.06995884773662554,0.004938271604938293,-0.0024691358024691024,0.002057613168724304,0.01399176954732514,-0.0061728395061728,-0.011522633744855936
47,47,0.8847736625514403,0.8853594728435086,0.8787788533134773,0.9545048399106477,3.0106686580935826,1.0673392992529134,0.4997075219500342,1.3117010943402738,-0.30775202274349445,0.11563786008230448,0.09135802469135798,0.005349794238683092,0.0032921810699588438,0.010288065843621363,0.001646090534979383,-0.004938271604938293,-0.0020576131687242926
48,48,0.9053497942386831,0.9055073827174834,0.8931235431235431,0.9668220668220668,2.6927482533183893,0.8146500923745571,0.6064097044097014,1.1421695411989843,0.5127775867056346,0.11604938271604937,0.09382716049382714,0.004938271604938249,0.009876543209876543,0.006995884773662531,0.0074074074074073955,-0.002469135802469158,0.0020576131687242817
49,49,0.9135802469135802,0.9125116401804856,0.8910276073619632,0.9667944785276075,2.9212545213330317,0.48345550117177133,0.38888603186343496,0.9131371477953625,0.8855260801447067,0.13004115226337445,0.1316872427983539,0.01604938271604932,-5.551115123125783e-17,0.023045267489711908,0.000823045267489686,0.0057613168724279466,0.010288065843621352
50,50,0.8847736625514403,0.8858665725082703,0.8842144452717795,0.9370811615785555,3.5139767486060065,0.7771483332107024,0.08373575334401678,0.673366188970904,0.7818216010824316,0.12921810699588476,0.13456790123456785,0.004938271604938249,0.004938271604938249,0.007407407407407374,0.006995884773662531,0.007407407407407374,0.0037037037037036757
