,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.back_CO2_vd_fd2_scaled
40,40,0.9053497942386831,0.9051776519251505,0.8881184998424204,0.9628900094547745,3.6003442779773507,0.19216836601932347,0.07103290063910195,1.688747414731364,0.7352392576641893,0.09218106995884771,0.04979423868312756,0.053497942386831275,0.012345679012345668,0.006995884773662519,0.0024691358024691245,0.004938271604938249,-0.0024691358024691358,0.024691358024691346,0.006172839506172834,0.004938271604938249,-0.0012345679012345622
41,41,0.8765432098765432,0.8762504661381066,0.865359477124183,0.9537400145243282,4.025009494412801,0.6133192586504835,-0.180531577663436,1.1342486163761532,0.3975484322318135,0.10411522633744856,0.041975308641975316,0.030452674897119326,0.005349794238683115,-0.003703703703703687,-0.00781893004115225,-0.0024691358024691358,-0.006584362139917666,0.00493827160493826,-0.00493827160493826,-0.004938271604938249,0.0
42,42,0.9176954732510288,0.9176954732510288,0.9055944055944056,0.9667443667443667,2.933930741786607,0.6178754383616307,0.26239848194505366,2.1688537699118915,-0.10305211131097462,0.10246913580246919,0.08024691358024696,0.065843621399177,0.015637860082304566,0.01028806584362143,0.006995884773662609,0.001646090534979472,0.0008230452674897415,0.012345679012345723,0.0008230452674897415,0.009053497942386867,-0.006584362139917655
43,43,0.8847736625514403,0.8842971697540973,0.8578216374269005,0.9473684210526315,3.2686950773121386,0.3716812561225473,0.7178421096564978,1.4308587329399294,0.4133007909605978,0.08518518518518514,0.04032921810699586,0.02716049382716047,0.0016460905349793941,0.006584362139917676,-0.0016460905349794275,-0.01028806584362144,-0.002880658436214001,0.008641975308641947,-0.009465020576131754,0.004938271604938249,0.0008230452674896971
44,44,0.9135802469135802,0.9139620504106485,0.9074074074074074,0.9709647919524462,3.6903769677605642,0.5390783440462987,0.6141960604920982,1.493661949264854,-0.40015523590461677,0.1098765432098765,0.051028806584362076,0.030452674897119315,-0.0008230452674897526,-0.009053497942386902,-0.007407407407407485,-0.007818930041152316,-0.0032921810699588993,0.0127572016460905,-0.005349794238683181,-0.0037037037037037424,-0.008230452674897193
45,45,0.8888888888888888,0.888709377544413,0.872622699386503,0.9351226993865032,3.4930410157778855,0.5169942131348082,0.6544157381077547,1.9276916771235428,-0.32325772851922724,0.07777777777777774,0.050617283950617244,0.04732510288065837,0.00411522633744853,-0.0012345679012346177,0.0004115226337448319,-0.0016460905349794607,0.0016460905349794052,0.008230452674897071,0.005761316872427957,-0.002057613168724326,-0.0032921810699589214
46,46,0.9053497942386831,0.9057812563629916,0.8976226993865031,0.9536042944785276,3.783696990042422,0.5632393135817895,0.6369274106407009,1.2898124918344898,-0.12616251688628946,0.06502057613168724,0.03868312757201644,0.060905349794238686,-0.0024691358024691466,0.010288065843621385,-0.0016460905349794165,0.008230452674897092,0.0,0.0,-0.0012345679012345622,-0.0041152263374485635,-0.0037037037037036978
47,47,0.8847736625514403,0.8844501384683077,0.8706254653760238,0.9626209977661951,3.410462561500853,0.6361375912202702,0.31079364248002783,1.4534292825971271,-0.040577175148467676,0.06913580246913578,0.03744855967078187,0.03209876543209873,-0.0008230452674897415,0.0012345679012345622,-0.006172839506172878,-0.011522633744855992,-0.010699588477366318,0.010288065843621352,-0.004938271604938283,0.00905349794238679,-0.006172839506172867
48,48,0.9423868312757202,0.9427535408619252,0.9406759906759907,0.9748251748251748,3.346512248338399,0.05281403086179996,0.5730436969713142,1.8555845865998846,0.20339577401586045,0.1329218106995885,0.08641975308641979,0.06625514403292188,0.016049382716049422,0.0037037037037037533,0.0016460905349794496,0.009053497942386902,-0.0004115226337448208,0.020164609053497984,0.0004115226337449096,0.005349794238683192,0.007818930041152338
49,49,0.9053497942386831,0.9048770288022822,0.8880751533742332,0.9687116564417177,3.1552857032525474,0.35293243297326593,0.6462849844584118,1.8222560388149596,-0.2573036265310298,0.1119341563786008,0.035390946502057596,0.045679012345679004,0.010288065843621385,0.004115226337448541,-0.0004115226337448541,0.0016460905349794052,0.011111111111111105,0.0074074074074073955,-0.0016460905349794275,0.006584362139917676,0.006172839506172811
50,50,0.9053497942386831,0.9063418878189884,0.9081906180193596,0.9574832464631422,4.022995319884831,0.58844408388014,0.5267622534722799,1.050908948547564,-0.12143193104963473,0.0987654320987654,0.03168724279835389,0.046913580246913576,0.009053497942386801,0.003703703703703687,0.0016460905349794165,0.0028806584362139785,-0.0028806584362139785,0.013168724279835375,-0.004526748971193406,0.0004115226337448541,-0.0016460905349794165
51,51,0.8806584362139918,0.8800443406513856,0.8591000308737264,0.9448903982710714,3.0549903449863685,0.44487275026724643,0.10569568648771982,1.747967369530451,0.6101920002182813,0.07160493827160491,0.07901234567901233,0.03662551440329217,-0.0012345679012345733,-0.0008230452674897193,-0.0020576131687242817,-0.0020576131687242817,0.008230452674897082,0.0016460905349794165,-0.0028806584362139785,0.0016460905349794165,0.0012345679012345622
