,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
40,40,0.9259259259259259,0.9256525573192239,0.9102584305074062,0.9788843365899779,3.0894560409231078,0.21590438079324997,1.2618323970926113,1.0443025033938975,0.5893054174806165,0.1794238683127572,0.04444444444444445,0.023456790123456785,0.0028806584362139785,-0.0024691358024691245,0.013168724279835398,0.0016460905349794386,-0.0012345679012345622
41,41,0.8806584362139918,0.8788451341229793,0.8594771241830066,0.9567175018155412,2.525800961009993,-0.18809584976498617,1.8495980475759246,1.5393290989656616,0.9095867510236628,0.1259259259259259,0.02510288065843619,0.018930041152263367,-0.004526748971193406,-0.010288065843621418,0.02057613168724278,-0.0004115226337448541,-0.006584362139917699
42,42,0.9135802469135802,0.9139991067173572,0.9059440559440559,0.9751359751359752,2.7970690081674108,0.11354553470827718,1.0713726217405026,1.8291328953619708,0.6752352966612213,0.2189300411522633,0.048148148148148086,0.04197530864197526,0.0004115226337448208,0.0008230452674896527,-0.006584362139917754,0.006584362139917666,-0.025102880658436254
43,43,0.8806584362139918,0.8825557583727518,0.875,0.9438758934372969,2.4103769266514328,0.5107783311089801,2.361279878097718,1.3220574927780473,0.11093370619443994,0.15925925925925927,0.03662551440329217,-0.003292181069958855,0.0012345679012345512,-0.00493827160493826,-0.0016460905349794275,0.0024691358024691245,0.0004115226337448652
44,44,0.9218106995884774,0.9225667158207804,0.9228395061728395,0.9643347050754458,3.0303546770534746,0.2764392724983464,1.1237995532195741,1.3407762263117429,0.5255391207754231,0.23333333333333334,0.037037037037037056,0.014814814814814847,0.0020576131687243147,0.0012345679012345956,0.012345679012345711,0.0037037037037037203,0.0037037037037037203
45,45,0.897119341563786,0.8966054660894371,0.8787576687116564,0.9404907975460122,2.3819121061089064,0.685802115628235,1.9213451694669128,0.9081160391441682,0.584837589109535,0.1609053497942387,0.05473251028806586,0.022633744855967107,0.006172839506172878,0.002469135802469158,0.018930041152263412,0.009876543209876566,-0.0028806584362139785
46,46,0.9094650205761317,0.9106952985913853,0.913420245398773,0.9616564417177914,2.2949708919116887,-0.12134641955242344,1.0406324834194878,1.6718124478675027,1.4146423863009456,0.23209876543209873,0.06954732510288064,0.02345679012345676,-0.01028806584362144,-0.002469135802469169,0.002057613168724259,0.013168724279835353,-0.002469135802469169
47,47,0.8847736625514403,0.8841055580346074,0.8679076693968727,0.9573343261355175,2.6839400010795744,0.44985550564150767,1.7960899633339353,0.98453222794558,0.4956034372394545,0.16625514403292177,0.015226337448559635,0.005349794238683115,-0.018518518518518556,-0.009876543209876576,0.010699588477366207,-0.004526748971193451,0.002057613168724259
48,48,0.9053497942386831,0.9055073827174834,0.8931235431235431,0.9644910644910645,2.4251978454181784,0.2741953548412653,1.3150756589585728,1.9034037658837981,0.4956074821395458,0.17695473251028804,0.023868312757201627,0.008641975308641959,-0.004526748971193406,-0.0012345679012345622,0.016872427983539072,0.010699588477366217,0.01275720164609052
49,49,0.9218106995884774,0.9211401354683902,0.9035276073619631,0.9663343558282209,3.528767117517919,-0.25245021409184604,1.7660675786674975,0.892787975394165,0.6441952812479728,0.1641975308641975,0.03456790123456791,0.009876543209876576,0.0012345679012345733,0.0,0.005349794238683159,0.007407407407407462,0.009465020576131711
