,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
28,28,0.8065843621399177,0.802142738235694,0.7661521084337349,0.8448795180722892,1.6459402697143926,0.8564981474950609,-0.09435010040598282,1.3556212804663403,1.0731919829845895,0.07777777777777775,0.08436213991769545,0.08477366255144034,0.0691358024691358
29,29,0.8065843621399177,0.8009739258896692,0.7771337126600284,0.8469416785206259,1.5424530861540535,0.2723503859547746,0.21592205329020855,1.1768360066526498,1.8834385495151773,0.10082304526748971,0.11069958847736625,0.09259259259259259,0.06502057613168724
30,30,0.8106995884773662,0.8061331311818641,0.7625874125874126,0.8611499611499611,1.0327047457285061,0.2671390397403526,0.36705417553737363,1.6280160521918223,1.7618729593854903,0.09423868312757197,0.07489711934156376,0.08724279835390944,0.06460905349794237
31,31,0.7654320987654321,0.7593866630693826,0.6966374269005848,0.8153021442495126,1.1382550603233998,0.843183872063361,0.05167165301874108,1.8571709707498034,0.8979338329417769,0.043621399176954664,0.030452674897119326,0.03868312757201642,0.04814814814814809
32,32,0.8024691358024691,0.7980952380952382,0.7592592592592593,0.8501752781588172,2.3352978064625076,0.37999924073216707,0.004547426428815703,0.640711167575471,1.826789363344397,0.0699588477366255,0.05596707818930043,0.05185185185185186,0.06049382716049384
33,33,0.7983539094650206,0.7946608577226999,0.7616801437556155,0.864031147050015,1.2645034238323956,0.7823272691169167,0.07078185066611323,1.5479363378359694,1.0875170012524513,0.08312757201646093,0.06090534979423869,0.06502057613168727,0.04979423868312759
34,34,0.7860082304526749,0.7787754084050379,0.743841642228739,0.8473607038123168,1.7348701775438218,0.787285995539257,0.5206307347629797,1.4290435891269415,0.47631478786585973,0.07160493827160493,0.06131687242798348,0.08518518518518514,0.055555555555555525
35,35,0.7407407407407407,0.7282545925613771,0.6836764923715005,0.8180269589690417,2.1583824299788694,0.6270244958534068,-0.8309144850567677,1.4207092565984176,1.4713610274285216,0.04897119341563781,0.05925925925925921,0.04279835390946497,0.04526748971193412
36,36,0.7818930041152263,0.7730315646074541,0.7357038123167156,0.8347507331378298,1.746124607512041,0.3788661976986769,0.22107102553563343,1.4938115519015982,1.1279074403340195,0.08148148148148147,0.06954732510288066,0.048559670781892994,0.04362139917695475
37,37,0.7983539094650206,0.7908736623333574,0.7539787798408488,0.8471853816681404,1.4712632218279729,0.30785144131204495,0.01049424360981448,0.9077111460940164,2.127108891313667,0.07325102880658438,0.09465020576131689,0.08477366255144034,0.05967078189300414
38,38,0.8024691358024691,0.7934660498763063,0.7524811139090506,0.8500962820322915,1.4415739332488442,0.9789832475930818,-0.1660538585365644,1.2855095016477724,1.21591227534332,0.0851851851851852,0.08106995884773663,0.07242798353909465,0.05761316872427984
39,39,0.8024691358024691,0.7977956200178421,0.763849590469099,0.8521221146686524,1.531880509801243,0.583721613319231,0.14680173270793415,1.2226210838842138,1.338188505789818,0.10082304526748972,0.07530864197530865,0.07572016460905352,0.061728395061728406
40,40,0.831275720164609,0.8273840839846253,0.7840371887803341,0.8679483138985188,1.4579088214466247,0.5136327412139867,0.09560394290034946,1.334470001316471,1.3750443373544545,0.09300411522633743,0.10288065843621397,0.07818930041152264,0.0711934156378601
41,41,0.7777777777777778,0.7654761904761904,0.7274509803921568,0.8328976034858387,0.8212410576345022,0.5341497603768622,0.442887579342555,1.3171616332140579,1.8005451648016098,0.07654320987654324,0.07160493827160494,0.08024691358024691,0.05185185185185185
42,42,0.8065843621399177,0.7973268615243924,0.7426573426573426,0.8278166278166279,1.8812358812696548,0.6460479832627938,-0.3363850716097276,1.9674920920806371,0.7359278479766154,0.07860082304526747,0.06831275720164608,0.07654320987654319,0.05925925925925925
43,43,0.8065843621399177,0.8069677119732738,0.7701023391812866,0.8450292397660818,2.0125689318062636,0.5849659752904045,0.40106310603630724,1.3716694359390174,0.8501207783184106,0.08641975308641973,0.10082304526748968,0.06008230452674897,0.06255144032921808
44,44,0.8148148148148148,0.8085751845484882,0.7654320987654321,0.870827617741198,1.5901413934053639,0.33031756544771285,0.30053131813460104,0.9210154820670865,1.8671636296802268,0.07201646090534976,0.05720164609053492,0.076954732510288,0.05020576131687239
45,45,0.7942386831275721,0.7886096769165979,0.7447852760736196,0.8359662576687117,2.1766965651668206,0.42183007024966446,-0.042542633105014584,1.3900666824261394,1.3415691271378125,0.07078189300411526,0.08230452674897124,0.06378600823045273,0.062962962962963
46,46,0.8065843621399177,0.8041927184991818,0.7699003067484662,0.869861963190184,1.3981922132104494,0.8897836997914972,-0.09190106621894174,0.9976839097649143,1.5511822005655664,0.08189300411522633,0.0921810699588477,0.08847736625514402,0.07489711934156379
47,47,0.7860082304526749,0.7781109151479522,0.737602382725242,0.8658227848101266,1.9485557025228564,0.17815168530758643,0.1266021719000415,0.7765412474473078,2.1261613477664834,0.07572016460905348,0.0679012345679012,0.06913580246913577,0.026748971193415606
48,48,0.8271604938271605,0.823783090100576,0.7848484848484849,0.8668220668220669,1.309890706583385,0.6658858101979122,-0.10188545603302239,1.8901749284799827,1.2072258399956357,0.09094650205761318,0.0991769547325103,0.0794238683127572,0.08724279835390948
