,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_CO2_vd_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled
111,111,0.9275945293644409,0.927549422674702,0.9174918747987,0.9746171639387462,1.8580209616438956,-0.12630807622786905,-0.5371826130416786,2.7786777562075375,2.5294733633804474,0.09975864843121482,0.06371681415929202,0.06017699115044246,0.041029766693483474,0.015526950925181037,0.04778761061946899,0.013193885760257462,0.013032984714400665,0.02212389380530977,0.0008045052292839916,0.0004022526146419958,0.0008849557522123908
112,112,0.917940466613033,0.9175804866534027,0.903550433618532,0.9622780978988417,3.270420742455207,-0.7833016154961844,-0.6533196984264227,2.7331969478214955,2.165085559966877,0.09404666130329845,0.06709573612228478,0.052212389380530945,0.03572003218020912,0.01745776347546262,0.04899436846339498,0.012952534191472265,0.0095736122284795,0.011584875301689479,0.00096540627514079,0.0017699115044247816,0.0008849557522123908
113,113,0.918744971842317,0.91804821416706,0.8995491911959692,0.9688028521759627,2.4764219062056068,-0.38395850564717104,-0.7913373838389121,2.873136027885464,2.4997201980010915,0.10611423974255829,0.06323411102172163,0.06138374899436845,0.041432019308125456,0.01818181818181821,0.06822204344328238,0.008849557522123908,0.006275140788415135,0.023411102172164133,0.0001609010458567983,0.0007240547063555924,-0.0005631536604987942
114,114,0.919549477071601,0.9190210135238951,0.9028196644511464,0.9643720902995344,2.7992711645779167,-0.5197545441735126,-0.7682635983674727,2.8242046021310645,2.3439285452483323,0.10281576830249392,0.08004827031375705,0.0470635559131134,0.03016894609814962,0.020353982300884976,0.0563153660498793,0.01053901850362029,0.013757039420756257,0.01745776347546262,0.0008849557522123908,8.045052292839915e-05,0.0013676588897827858
115,115,0.911504424778761,0.9106526422047418,0.8921959357694,0.9696196445536066,2.7704939528156722,-0.4235435460285667,-0.8522744010405563,3.0442126779642114,2.0311183876841516,0.09444891391794043,0.07320997586484312,0.04030571198712787,0.03137570394207556,0.011263073209975882,0.03789219629927589,0.006838294448913929,0.008769106999195508,0.01681415929203538,-0.002493966210780374,-0.003620273531777962,-0.002011263073209979
116,116,0.9308125502815768,0.9302707455509659,0.9130773948824219,0.9664088226712162,2.3566886287612534,-0.09968190127441354,-0.6442526596092171,3.0581773664738856,1.8634958882832433,0.11166532582461786,0.06355591311343523,0.0464199517296862,0.03869670152855993,0.021319388576025777,0.04931617055510858,0.01335478680611426,0.021560740144810974,0.024537409493161744,0.0032180209171359664,0.0006436041834271932,0.0026548672566371724
117,117,0.9324215607401448,0.9321016848879639,0.9182461651315361,0.9775764459509823,2.961065395474773,-0.3711969041777756,-0.5342037189016066,2.396235621168936,2.1734174583528434,0.11061946902654869,0.07023330651649236,0.06001609010458566,0.03419147224456963,0.03145615446500407,0.050844730490748155,0.011263073209975882,0.02123893805309738,0.021560740144810974,0.0022526146419951766,0.00096540627514079,0.002172164119066777
118,118,0.916331456154465,0.9162708727926726,0.9013039023088862,0.9662519402405898,2.467289747563383,-0.27321427495300993,-0.7293105917452039,2.9372837952937676,2.135381089462447,0.09726468222043438,0.06757843925985518,0.05446500402252612,0.04247787610619465,0.01528559935639584,0.05237329042638774,0.016009654062751434,0.023089300080450504,0.01697506033789222,0.003620273531777962,0.0004022526146419958,0.0
119,119,0.914722445695897,0.9146705761253949,0.9034195206377511,0.9664953409905421,2.8108633912267686,0.004363668832898428,-0.5490174588693599,3.04330117123444,1.3102172020158231,0.0835076427996782,0.05993563958165726,0.037811745776347494,0.02703137570394203,0.011343523732904282,0.02075623491552695,0.008769106999195508,0.012067578439259874,0.013596138374899458,-0.0016894609814963823,-0.004263877715205156,-0.002574416733708773
120,120,0.914722445695897,0.914893451742499,0.9035682469073798,0.9635014020675264,3.1382779584294247,-0.2525400137205603,-0.7069679709399767,2.3975803550461854,2.1018115917598825,0.09927594529364436,0.07144006436041835,0.05969428801287206,0.03572003218020912,0.012067578439259874,0.06419951729686242,0.015768302493966234,0.011987127916331474,0.01987127916331456,0.00193081255028158,0.0006436041834271932,0.0026548672566371724
