,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled
63,63,0.9219629927594529,0.9211679882327592,0.9042797446847592,0.9663779446204711,2.7512275548236915,-0.26647864917279634,-0.6356586296129796,3.174886251451121,1.6513866708286011,0.13781174577634753,0.11898632341110213,0.07280772325020113,0.09452936444086887,0.0743362831858407,0.06275140788415123,0.038374899436846285,0.053982300884955724
64,64,0.9356395816572808,0.9354257231115998,0.9233354011579817,0.9776025050218599,2.675485717869389,-0.12339948871732188,-0.7154815251071824,3.4779473614412506,1.189215706892238,0.1596138374899437,0.08970233306516495,0.07843925985518907,0.10836685438455351,0.05100563153660496,0.06299275945293643,0.04601769911504423,0.05462590506838292
65,65,0.9259855189058729,0.9258520808899314,0.9153269537480064,0.970703204291721,2.7562843963019037,0.007547619030361993,-0.8266778244503924,2.929839969838019,1.6958323079933235,0.15888978278358812,0.10901045856798067,0.0941271118262269,0.10305711987127916,0.06452131938857601,0.06886564762670958,0.04014481094127107,0.052212389380530945
66,66,0.9227674979887369,0.9218676708435473,0.9006630787071452,0.9687579911391277,2.092775032429843,-0.1727144362689829,-0.7020116110393324,3.5516111686819616,1.758831386458693,0.14368463395012068,0.0935639581657281,0.07248592115848754,0.09283990345937251,0.06339501206757843,0.06798069187449718,0.03781174577634751,0.053901850362027326
67,67,0.9356395816572808,0.9356020632163385,0.9275837855644364,0.9722275199241754,1.9523476968130096,-0.4996186521188919,-0.6973696358203383,3.6575314814582214,2.131144762014022,0.15816572807723253,0.1026548672566372,0.11625100563153659,0.09629927594529368,0.06838294448913917,0.06717618664521319,0.05076427996781976,0.05687851971037809
68,68,0.9275945293644409,0.9267717644232429,0.9082329563002978,0.9705861785633118,2.8280122466724333,-0.5611412019177413,-0.7352986760263549,2.9272955678676547,2.164950157999815,0.14859211584875304,0.09718423169750608,0.0847948511665326,0.09115044247787614,0.09026548672566374,0.05583266291230891,0.0404666130329847,0.06444086886564762
69,69,0.9259855189058729,0.9258528861054517,0.9154352132910073,0.9612664225965659,2.7763171977265872,-0.5471269718711718,-0.9697151876312353,3.1338659991178583,2.184924351673792,0.14843121480289623,0.10772325020112627,0.09131134352373294,0.0931617055510861,0.09115044247787614,0.0846339501206758,0.04818986323411099,0.0659694288012872
70,70,0.917135961383749,0.9167522431726457,0.9027591706539075,0.9621922575032622,2.0776593205764993,-0.23251875327632368,-0.47354805834730157,3.3755539718748495,1.8487637300315964,0.14577634754625907,0.0851971037811746,0.07763475462590508,0.09106999195494772,0.060498793242156054,0.07168141592920355,0.03982300884955747,0.05012067578439257
71,71,0.9316170555108608,0.93094511977545,0.9158212870299091,0.9743848544464403,2.4497686860067622,-0.14337704420396938,-0.6344056362513563,3.3688523698971373,1.4265572431895261,0.13491552695092518,0.09621882542236529,0.08045052292839905,0.09300080450522932,0.06516492357200321,0.06355591311343523,0.04296057924376508,0.050844730490748155
72,72,0.9251810136765889,0.925442743122829,0.9179077698695136,0.9641488730723606,2.9851030271895804,-0.18249787086840538,-0.86666343815664,3.08202006709954,1.5642434637453007,0.16508447304907486,0.11600965406275136,0.10860820595333864,0.11230893000804505,0.09340305711987132,0.08334674175382142,0.050201126307320966,0.061625100563153644
