,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled
80,80,0.8519710378117458,0.8487554593781524,0.8149508445403892,0.8833775781090464,0.446220008779801,0.028957190498997393,1.4870571462021245,1.7454777411958433,2.271963623636621,0.12493966210780368,0.09718423169750605,0.06765888978278359,0.07916331456154466
81,81,0.8463395012067578,0.843103283375692,0.8095425178976776,0.8862260636749899,0.7465137267913357,-0.1807953691501923,1.4170590022580467,1.7743667812727923,2.3594525810491183,0.11673370876910696,0.08382944489139181,0.06452131938857601,0.07345132743362832
82,82,0.8551890587288817,0.8512268614433914,0.8190203290280272,0.8971373991389389,0.4346257716379293,-0.1629411535072322,1.4708197926477142,2.0801394588518036,2.1819829430067723,0.12107803700724051,0.0851971037811746,0.06991150442477875,0.06436041834271922
83,83,0.8503620273531778,0.8448860493473213,0.8042892562463346,0.881016252373404,1.215846560692988,-0.31277073682394485,1.4226763940700546,1.2132572220970124,2.66136080827219,0.1145615446500402,0.08020917135961383,0.05969428801287206,0.06564762670957361
84,84,0.8632341110217217,0.8600605208346237,0.8165740374391058,0.8875188555602265,0.41847441297377863,-0.1978071198761473,1.4567013308461718,1.8689683103102552,2.491379553473463,0.11480289621882542,0.0945293644408689,0.06717618664521319,0.0743362831858407
85,85,0.8415124698310539,0.8356537046128306,0.7966733824677412,0.8927423428387748,0.45983850435638923,-0.3307335708708774,1.580547753283491,2.2921820208370427,2.1711517468534387,0.10957361222847943,0.0758648431214803,0.05060337892196296,0.06701528559935639
86,86,0.8656476267095736,0.8628019925808539,0.8309572093727965,0.8998036164868912,1.0129658041443599,-0.09356056904352328,1.1069663532421654,1.1888880386517524,2.8167004092941172,0.13958165728077232,0.10378117457763478,0.059855189058728865,0.08077232502011264
87,87,0.8543845534995977,0.852192432184211,0.8200283140130671,0.8848099466298623,0.6967708071680387,-0.18192900374374102,1.2254865892739855,2.3702162504713002,1.9254629476774978,0.12646822204344327,0.09823008849557524,0.06781979082864038,0.07280772325020113
88,88,0.8567980691874497,0.8536521108447913,0.8197744127830806,0.8920579496537526,0.42126752496843917,-0.0013771322301072669,1.7659700148280315,2.2544745965939303,1.661952408627453,0.12115848753016892,0.0951729686242961,0.07296862429605792,0.07103781174577635
89,89,0.8608205953338697,0.8580047368081254,0.8264216285431581,0.8973109830626855,1.1713074263882375,-0.23782369938195305,0.8243476628870573,1.557633343084762,2.7980374473253122,0.12067578439259855,0.09605792437650848,0.0654867256637168,0.0758648431214803
