,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd3_scaled
69,69,0.9227674979887369,0.9225340267765882,0.9106619436012697,0.9675950598975831,1.3852001045338491,0.05864926743538454,-0.0501494851341088,4.209901320391933,0.9744537306184584,0.06983105390185036,0.048028962188254185,0.04416733708769103,0.04223652453740945,0.031536604987932405,0.027916331456154464,0.020032180209171378,0.012148028962188273,0.013274336283185861,0.0005631536604987942,0.002574416733708773,-0.0001609010458567983
70,70,0.909895414320193,0.9095071460632471,0.8949441786283892,0.9600985935914166,1.6266144017946194,-0.4311029068102146,-0.07574337011128236,4.048879994061234,1.5926823784058588,0.06001609010458566,0.04392598551890583,0.03684633950120671,0.029042638777151984,0.04304102976669344,0.021560740144810873,0.017779565567176157,0.009814963797264698,0.013354786806114249,0.0012872083668543865,0.002413515687851975,0.0012067578439259874
71,71,0.9227674979887369,0.9223255141436917,0.909568614033587,0.9677387163915263,1.8860808347728915,-0.6388913630212585,-0.5189390549858063,4.268118240015243,1.7304632598435248,0.06452131938857601,0.04875301689460978,0.032180209171359574,0.03459372485921155,0.02365245374094934,0.0320193081255028,0.013596138374899458,0.00860820595333871,0.012630732099758669,-0.0017699115044247816,0.0008045052292839916,0.0004022526146419958
72,72,0.919549477071601,0.9194963221423598,0.9071871293001186,0.9619988137603797,1.177290369366915,0.10677358084277296,-0.09625862393355392,3.575459629965786,1.861725933141075,0.07932421560740147,0.04835076427996778,0.0370876910699919,0.056798069187449694,0.04135156878519706,0.04223652453740945,0.02308930008045055,0.00860820595333871,0.010860820595333887,0.0026548672566371724,0.0015285599356395841,0.003459372485921164
73,73,0.9340305711987128,0.9340759559318895,0.9242012175353913,0.9733529051547134,1.7052177688424321,-0.8938864515865952,-0.6041567147226312,4.919459855763393,1.6651282165405483,0.066130329847144,0.06009654062751406,0.0365245374094932,0.029364440868865693,0.030249396621078083,0.033628318584070824,0.01995172968624299,0.013676588897827857,0.013596138374899458,-0.0002413515687851975,0.004424778761061954,0.0023330651649235757
74,74,0.918744971842317,0.9180956789875528,0.9029708090932989,0.9696147120341057,1.3507146551454885,-0.1088280144264802,-0.2639586434429648,4.061828255584226,1.560513138158947,0.05430410297666932,0.056476267095736096,0.039742558326629075,0.031214802896218787,0.038616251005631486,0.024215607401448104,0.014159292035398252,0.012148028962188273,0.015607401448109437,-0.0012872083668543865,-0.0003218020917135966,0.0018503620273531806
75,75,0.9219629927594529,0.9211679882327592,0.9042797446847592,0.9715181154428985,1.9002351717349648,0.14814853542988074,-0.2611673807616555,3.7912797795774256,0.9727075223410306,0.05921158487530167,0.055671761866452105,0.03322606596942877,0.024698310539018508,0.030732099758648424,0.028559935639581667,0.006757843925985529,0.005711987127916341,0.012228479485116673,-0.002574416733708773,-0.002011263073209979,-0.003539823008849563
76,76,0.9235720032180209,0.9233124656577602,0.9109050902241652,0.9781154078690355,1.8033020050141662,0.03894593294371466,-0.4302518122647436,3.6999886188564703,1.446725779255095,0.05116653258246175,0.05559131134352371,0.028801287208366867,0.026548672566371712,0.03660498793242152,0.030088495575221242,0.027353177795655693,0.01238938053097347,0.011021721641190686,0.000482703137570395,8.045052292839915e-05,0.001045856798069189
77,77,0.9219629927594529,0.9222991100435406,0.9141136478092999,0.9732937240701215,0.9356886497732095,-0.15425379039076687,-0.22823110034181068,4.400957291887033,1.6624586038132845,0.06629123089300079,0.05711987127916329,0.05752212389380529,0.03925985518905868,0.04593724859211581,0.033226065969428766,0.028077232502011263,0.01246983105390187,0.016009654062751434,0.0006436041834271932,0.002493966210780374,0.0016894609814963823
78,78,0.913917940466613,0.9137182985225362,0.9040213555232328,0.9636595293666633,1.4187450517903177,0.24079015963738543,-0.4480606978314931,4.1552683022871,1.243563344295177,0.09340305711987126,0.051327433628318556,0.037570394207562294,0.03451327433628313,0.03282381335478675,0.046339501206757804,0.01802091713596139,0.012067578439259874,0.011906677393403075,0.002172164119066777,0.0003218020917135966,0.0008849557522123908
79,79,0.9243765084473049,0.9243293970157999,0.9138523702163792,0.9704476912716306,1.2994392600733755,-0.5037181922152987,-0.5636079441115521,4.159935686430065,2.27698233894568,0.07868061142397427,0.05583266291230891,0.04111021721641186,0.05189058728881735,0.05116653258246175,0.03813354786806111,0.029847144006436056,0.02091713596138378,0.02011263073209979,0.0018503620273531806,0.0014481094127111848,0.002091713596138378
80,80,0.9219629927594529,0.9218911506515619,0.9111540593366201,0.9673677761895038,1.441356571604432,-0.8070302033301435,-0.3460186405513396,4.443293625815108,2.007576893736041,0.06082059533386965,0.041512469831053854,0.042558326629123046,0.022526146419951765,0.026548672566371702,0.04102976669348346,0.012791633145615466,0.012067578439259874,0.011745776347546278,0.0,0.0003218020917135966,0.0004022526146419958
81,81,0.916331456154465,0.9163814337314352,0.9065493859495954,0.9633752400907981,1.4339011472489647,-0.07867698368158081,-0.3998645974188525,3.9171791337293245,1.8222248792749212,0.061866452131938844,0.04392598551890583,0.04553499597747381,0.042638777152051444,0.03821399839098949,0.04279967819790824,0.03443282381335474,0.008527755430410311,0.013757039420756257,0.0012872083668543865,0.0004022526146419958,-0.0012872083668543865
82,82,0.9203539823008849,0.9199701399950865,0.9077167621817352,0.9691671656259802,1.4821178701521929,0.0725188103958388,-0.3472399225973635,4.189060477858749,1.1654434376976754,0.05583266291230891,0.05164923572003215,0.03572003218020912,0.02719227674979887,0.034915526950925126,0.03330651649235716,0.02011263073209977,0.015848753016894635,0.011745776347546278,0.0007240547063555924,0.0027353177795655715,0.002172164119066777
