,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled
109,109,0.671862182116489,0.7175141242937854,0.6873251062217531,0.7056737300749643,0.11263330598851529,0.02690730106644801,0.04413453650533217,0.00533223954060702
110,110,0.6636587366694011,0.7176308539944903,0.681245433141187,0.6973234824497307,0.09844134536505322,0.008613617719442135,0.014191960623461841,0.02305168170631655
111,111,0.6529942575881871,0.7084769124741558,0.6704635869123975,0.7766501583177723,0.09335520918785889,0.015422477440525051,0.01246923707957348,0.01845775225594748
112,112,0.6685808039376538,0.7236662106703147,0.6867960271711184,0.7816405509999729,0.11271534044298603,0.011730926989335533,0.02026251025430681,0.029450369155045175
113,113,0.6710418375717802,0.7255304585900069,0.6892100349110986,0.7510243295174691,0.129532403609516,0.010582444626743293,0.03970467596390481,0.026989335520918756
114,114,0.6521739130434783,0.7079889807162535,0.6696990609185137,0.6120538009796759,0.1768662838392125,0.011156685808039413,0.01960623461853994,0.008285479901558701
115,115,0.6685808039376538,0.7236662106703147,0.6867960271711184,0.799189467132148,0.12444626743232168,0.01304347826086949,0.018785890073831135,0.043150123051681755
116,116,0.6546349466776046,0.7086505190311418,0.6717517793835079,0.5412898162431328,0.15389663658736674,0.008859721082854821,0.034208367514356075,0.007465135356849895
117,117,0.6685808039376538,0.7236662106703147,0.6867960271711184,0.6852236745960867,0.09745693191140281,0.00894175553732568,0.023625922887612893,0.02551271534044297
118,118,0.6702214930270713,0.7239010989010989,0.6880842196422289,0.8359719628697464,0.01009023789991792,0.009023789991796538,0.010500410172272323,0.03691550451189507
119,119,0.6554552912223134,0.7091412742382271,0.6725163053773917,0.5303049985115422,0.1570959803117309,0.010336341263330495,0.02264150943396226,0.021082854799015616
120,120,0.660377358490566,0.7136929460580913,0.6775851803740088,0.7397797082622933,0.10090237899917953,0.014766201804757961,0.01722723543888427,0.014356029532403558
121,121,0.6521739130434783,0.706777316735823,0.6693377716435279,0.6027238775675895,0.14191960623461863,0.014766201804757961,0.02797374897456928,0.010418375717801354
