,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
43,43,0.9203899268887084,0.9149305555555556,0.9213266363708842,0.9590980360891864,0.0013809910641754408,0.05637692932575156,0.035174654752233914,0.0030056864337935085,0.0006498781478472271,0.04882209585702668,0.04053614947197404,0.0034930950446790954
44,44,0.9228269699431356,0.9176062445793582,0.9238472986260597,0.9478274734911903,0.004630381803411798,0.08505280259951264,0.06336311941510964,0.0021121039805036546,0.0037367993501218333,0.023801787164906663,0.03842404549147027,0.017627944760357228
45,45,0.9236393176279447,0.9178321678321678,0.9240612293709639,0.9538255069228522,0.0038992688870835845,0.028919577579203715,0.01941510966693738,0.0037367993501216112,0.002030869212022557,0.02063363119415107,0.02843216896831835,0.008935824532900205
46,46,0.9220146222583265,0.9173838209982789,0.9236333678811555,0.958035026176619,0.0034930950446790954,0.027294882209585758,0.038748984565393996,0.0034930950446790954,-0.0018683996750608056,0.039561332250202974,0.008367181153533743,0.012103980503655576
47,47,0.9236393176279447,0.9186851211072664,0.9248664593797338,0.954936352281485,-0.000893582453290076,0.07262388302193334,0.0386677497969129,0.048578391551584055,0.002274573517465406,0.02160844841592191,0.006173842404549212,0.0103980503655563
48,48,0.9195775792038993,0.9153122326775022,0.9216495256318264,0.9473810093279121,0.006336311941511075,0.11779041429731907,0.09699431356620647,0.052965069049553226,0.009748172217709183,0.0662063363119414,0.0294069861900893,0.023476848090982938
49,49,0.9203899268887084,0.9153713298791019,0.9217292513752691,0.9581439846926572,0.00601137286758735,0.05385865150284319,0.09455727051177909,0.0705117790414298,0.007148659626320164,0.019252640129975518,0.04825345247766044,0.0059301380991062524
50,50,0.9220146222583265,0.917098445595855,0.9233649578782321,0.953583672167743,-0.002680747359870006,0.09236393176279445,0.05272136474411049,0.010966693744922873,0.006986190089358302,0.02705117790414291,0.06750609260763607,0.0074735987002435555
51,51,0.9285134037367994,0.9245283018867925,0.9304446038959313,0.947362406654442,0.0012997562956944542,0.0871649065800163,0.033549959382615735,0.012185215272136563,0.003086921202274495,0.03866774979691312,0.04386677497969127,0.02761982128350937
52,52,0.9236393176279447,0.9189655172413793,0.925134869382657,0.9623535039464244,-0.0007311129163283248,0.05621445978878947,0.008692120227457356,0.018521527213647415,-0.001137286758732814,0.0124289195775793,0.05434606011372867,0.0017059301380990544
