,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled
92,92,0.8491343775762572,0.8307123034227567,0.8456476018791652,0.878138315306457,0.0029678483099752073,0.08697444352844186,0.05754328112118723,0.0345424567188789
93,93,0.8458367683429514,0.8234183191690274,0.8410876215448487,0.8864142903965913,0.00016488046166529546,0.04608408903544925,0.10585325638911802,0.03874690849134388
94,94,0.8458367683429514,0.8244131455399061,0.8414276739866711,0.8682617720965805,0.0016488046166528436,0.03495465787304208,0.12085737840065958,0.06356141797197024
95,95,0.841714756801319,0.8185255198487713,0.8368895444116683,0.8640937397574566,-0.002473206924979543,0.03124484748557299,0.08631492168178068,0.06463314097279471
96,96,0.8342951360263808,0.8116213683223993,0.8299450999672238,0.8675461597290506,-0.0008244023083265883,0.01640560593569651,0.06298433635614176,0.10774938169826875
97,97,0.8342951360263808,0.8087535680304472,0.8290382934556976,0.8830356167376816,-8.244023083259222e-05,0.05647155812036275,0.12943116240725472,0.03635614179719693
98,98,0.843363561417972,0.8214285714285714,0.8388861575439747,0.8644652026657926,-0.00032976092333070195,0.04946413849958786,0.11162407254740314,0.059604286892003255
99,99,0.8375927452596867,0.8194317140238313,0.8346184311154813,0.8717442368622309,0.0023907666941467287,0.02671063478977742,0.11038746908491359,0.030832646331409697
100,100,0.8351195383347073,0.8148148148148148,0.831510160603081,0.8722823118103353,-0.007831821929101368,0.05894476504534196,0.053173948887056954,0.0413025556471559
101,101,0.8474855729596042,0.8288621646623496,0.8439910411886813,0.8605894242324921,0.005935696619950415,0.020527617477328897,0.07914262159934049,0.07535037098103858
102,102,0.8367683429513603,0.8166666666666667,0.833166721293565,0.8628646345460504,-0.002143446001648841,0.023495465787304104,0.0753503709810387,0.09027205276174766
103,103,0.8400659521846661,0.8166351606805293,0.8352329837211843,0.8777859718125205,-0.0013190436933223637,0.039241549876339654,0.08565539983511938,0.06422093981863142
104,104,0.830997526793075,0.8071495766698025,0.8264052769583743,0.8776371135146945,-0.00395713107996698,0.06669414674361085,0.04542456718878807,0.031244847485573102
105,105,0.8408903544929925,0.8184383819379115,0.8363446411012783,0.8802059434065335,0.0007419620774937741,0.021022258862324783,0.10379225061830177,0.07782357790601813
106,106,0.8400659521846661,0.822992700729927,0.8373866491860592,0.8652791434502349,0.012283594394064234,0.07205276174773279,0.04583676834295136,0.05910964550700726
107,107,0.8408903544929925,0.8163653663177926,0.8356645362176336,0.8634901125314104,-0.00016488046166518444,0.023165704863973624,0.12184666117065124,0.11022258862324796
108,108,0.8367683429513603,0.8121442125237192,0.8316931607123348,0.8639243963727739,-0.0015663643858202514,0.020362737015663712,0.1133553173948888,0.054740313272877095
109,109,0.8384171475680132,0.8195211786372008,0.8351633344258713,0.8622145744564623,-0.00041220115416318315,0.031986809563066765,0.08746908491343774,0.05267930750206096
110,110,0.8392415498763397,0.8189415041782729,0.8354815361083797,0.8655577406314869,-0.002473206924979321,0.04253915910964556,0.04905193734542468,0.07065127782357794
111,111,0.8491343775762572,0.827521206409048,0.8445140937397575,0.8745848355730361,-0.0004946413849959974,0.10395713107996696,0.03668590272052774,0.08458367683429513
112,112,0.8400659521846661,0.8155893536121673,0.834892931279362,0.8755544630175898,-8.244023083270324e-05,0.025638911788952945,0.06512778235779049,0.07807089859851601
113,113,0.8392415498763397,0.8165569143932268,0.8346880804107943,0.873459521468371,0.004122011541632276,0.0242374278647981,0.10123660346248964,0.06471558120362741
114,114,0.8441879637262985,0.8264462809917356,0.8411313230634765,0.87164044575549,0.0016488046166529546,0.07089859851607594,0.05391591096455073,0.056224237427864865
115,115,0.8400659521846661,0.8162878787878788,0.8351196329072436,0.8644815907352781,0.0005770816158283676,0.032646331409727836,0.10552349546578732,0.12934872217642202
116,116,0.8384171475680132,0.8147448015122873,0.8335764230307003,0.8710532065989293,-0.0006595218466610708,0.046826051112943134,0.09991755976916739,0.048969497114591976
117,117,0.8499587798845837,0.8314814814814815,0.8464192068174369,0.8758958811318693,0.007749381698268776,0.038994229183841767,0.0584501236603463,0.12448474855729597
118,118,0.843363561417972,0.8240740740740741,0.8397929640555009,0.8635556648093522,0.0005770816158284786,0.03528441879637256,0.046496290189612544,0.09530090684253922
119,119,0.8342951360263808,0.8137164040778498,0.8306252048508687,0.8697394296951819,-0.002555647155812135,0.02333058532563892,0.07625721352019776,0.08384171475680124
120,120,0.8450123660346249,0.8233082706766918,0.8405427182344587,0.8640008740303726,-0.0012366034624897715,0.07650453421269587,0.08318219291014017,0.050783182192910226
121,121,0.8450123660346249,0.8229755178907722,0.8404293674205179,0.8783322407953675,-0.0002473206924979987,0.10873866446826053,0.10997526793075019,0.03091508656224229
122,122,0.843363561417972,0.8230912476722533,0.8394529116136786,0.868999235223424,-0.0023083264633141365,0.03305853256389113,0.07617477328936517,0.08120362737015663
123,123,0.8342951360263808,0.8065447545717036,0.8283581885720528,0.8727329837211844,-0.0030502885408080216,0.04830997526793068,0.0757625721352021,0.07230008244023078
124,124,0.843363561417972,0.8210922787193974,0.838772806730034,0.8728203867584399,-8.244023083259222e-05,0.0414674361088212,0.06026380873866444,0.08252267106347899
125,125,0.8301731244847486,0.8056603773584906,0.8254069703922211,0.8613378127389927,0.0012366034624895494,0.12085737840065947,0.028936521022258854,0.11970321516900251
