,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled
87,87,0.874487284659557,0.8668407310704961,0.8749587291277638,0.932242699791616,-0.009351927809680083,0.020180475799836062,0.05061525840853143,0.08679245283018877
88,88,0.8687448728465955,0.8613518197573656,0.8694866174122486,0.9294931125003383,-0.009926168990976425,-0.004347826086956497,0.055537325676784155,0.05684987694831822
89,89,0.8662838392124692,0.8543342269883825,0.8649048740223539,0.9363941435955725,-0.006070549630844968,0.008285479901558479,0.09360131255127146,0.04265791632485649
90,90,0.8712059064807219,0.8624014022787029,0.8711780466022571,0.9293226164379854,0.001476620180476007,0.015750615258408596,0.0707957342083676,0.09269893355209191
91,91,0.8695652173913043,0.8620988725065047,0.8702511434061324,0.9373602879489052,-0.00024610336341268635,0.013781788351107438,0.06308449548810491,0.039540607054962984
92,92,0.8679245283018868,0.8606060606060606,0.8687220914183649,0.9269113149847094,0.0045118949958982135,-0.0017227235438884714,0.0527481542247743,0.06439704675963909
93,93,0.8728465955701394,0.8614834673815907,0.8715028010067387,0.9288003031041109,-0.004429860541427355,0.012797374897456915,0.04864643150123049,0.09655455291222315
94,94,0.8703855619360131,0.8626086956521739,0.8708952396416876,0.9224513544964954,-0.001640689089417502,0.010172272354389,0.05250205086136195,0.058572600492206806
95,95,0.8826907301066448,0.8708220415537489,0.8806771129333442,0.9328272577196828,0.006070549630844968,0.01665299425758826,0.08351107465135355,0.10648072190319935
96,96,0.8572600492206727,0.8517887563884157,0.8591445427728615,0.9194933831290086,0.0061525840853159375,0.023543888433141924,0.017883511074651248,0.08416735028712063
97,97,0.8613617719442166,0.8536796536796537,0.8621241644339801,0.9293767421720656,0.00024610336341268635,0.013371616078753035,0.053814602132895906,0.08187038556193593
98,98,0.8621821164889254,0.8561643835616438,0.8637316987361641,0.9282806960569402,-0.0036095159967184376,0.004101722723544032,0.04232977850697295,0.053896636587366875
99,99,0.8679245283018868,0.8591426071741033,0.8679995128683933,0.9312413737111309,-0.006234618539786574,0.006316652994257765,0.09942575881870386,0.0716160787530763
100,100,0.8613617719442166,0.8556789069171649,0.8630876025006089,0.9253064869692295,0.004429860541427466,0.009023789991796649,0.032485643970467715,0.05865463494667755
101,101,0.8613617719442166,0.8551842330762639,0.8628467429839517,0.9325403913290574,-0.00885972108285471,0.017473338802296956,0.06759639048400312,0.07538966365873667
102,102,0.8539786710418376,0.8433098591549296,0.8535574138724257,0.9296771399962113,-0.0003281378178835448,0.021493027071369908,0.12657916324856433,0.04815422477440512
103,103,0.8589007383100903,0.8527397260273972,0.8604327352439718,0.9204256988985414,0.0013945857260049266,0.011156685808039413,0.06242821985233815,0.04995898277276456
104,104,0.8654634946677605,0.8581314878892734,0.8663080836783849,0.9255419339124786,0.0013945857260050376,0.015504511894995798,0.023543888433142035,0.05479901558654632
105,105,0.8654634946677605,0.8568935427574171,0.865705934886742,0.9304240751265189,-8.203445447085844e-05,0.013863822805578407,0.04232977850697295,0.08687448728465963
106,106,0.8703855619360131,0.8626086956521739,0.8708952396416876,0.9329463343346592,-0.002789171452009964,0.04479081214109948,0.05824446267432337,0.06308449548810502
107,107,0.8638228055783429,0.8536155202821869,0.8633338745906742,0.9326053422099538,-0.0037735849056602655,0.020016406890894123,0.0935192780968006,0.04085315832649716
108,108,0.8687448728465955,0.8608695652173913,0.8692457578955914,0.9283023463505724,-0.0024610336341264194,0.0037735849056603765,0.03191140278917137,0.07112387202625103
109,109,0.8646431501230517,0.8543689320388349,0.864098400584558,0.9302995859381342,-0.008367514356029448,0.017391304347826098,0.07440525020508615,0.07210828547990156
110,110,0.8621821164889254,0.8513274336283185,0.8614435333279207,0.9331871938513165,-0.010336341263330606,0.009187858900738366,0.091878589007383,0.07744052502050869
111,111,0.8720262510254306,0.8607142857142858,0.870738275012855,0.9392709263619388,-0.0011484823625924623,0.032977850697292865,0.07662018047579977,0.0657916324856439
