,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
64,64,0.9191836734693878,0.9148753224419605,0.9207964601769911,0.9426521855725396,0.06612244897959185,0.004571428571428671,0.018040816326530762,0.0026938775510204627,0.0313469387755102,0.040081632653061305,0.007428571428571451,0.06138775510204064
65,65,0.7706122448979592,0.7929255711127488,0.783681952266023,0.9411263073209976,0.03338775510204084,0.034367346938775634,0.04848979591836744,0.0594285714285715,-0.08579591836734679,0.04236734693877553,0.05469387755102051,0.029387755102040836
66,66,0.8914285714285715,0.8890742285237698,0.895166264414052,0.9520943952802359,0.07608163265306123,0.02906122448979609,0.021551020408163146,-0.004326530612244861,0.0004081632653060163,0.04179591836734686,0.01820408163265308,0.0377142857142857
67,67,0.9159183673469388,0.9095697980684812,0.9159828372217753,0.954341646554036,0.011918367346938852,0.018448979591836667,0.011755102040816534,-0.002448979591836875,0.026775510204081643,0.008081632653061166,0.033795918367346967,0.006775510204081514
68,68,0.9175510204081633,0.9117903930131004,0.9180075087154733,0.9549048002145346,0.025387755102040943,0.004734693877550988,0.00914285714285712,-0.0022857142857143353,0.05893877551020399,0.043265306122449054,0.0271020408163265,0.03216326530612246
69,69,0.9322448979591836,0.9291204099060631,0.9344462322338428,0.9702815768302494,0.136,0.03281632653061217,0.016979591836734698,0.0046530612244897185,0.14465306122448973,0.009306122448979548,0.03763265306122443,0.014367346938775505
70,70,0.9061224489795918,0.9042464612822648,0.910076427996782,0.9636765888978279,0.0040000000000000036,0.009632653061224516,0.02440816326530615,0.0013877551020408108,-0.028489795918367422,0.03175510204081633,-0.000653061224489826,0.022040816326530543
71,71,0.9028571428571428,0.896611642050391,0.9036068651112898,0.9341405202467151,0.0053061224489796555,0.053632653061224556,0.007918367346938737,0.021469387755101987,-0.027918367346938866,0.10408163265306114,0.03779591836734697,0.01648979591836741
72,72,0.9118367346938776,0.9084745762711864,0.9144877983373558,0.9579753285063021,0.09861224489795917,0.014122448979591917,0.020816326530612272,0.002367346938775605,0.08465306122448979,0.006448979591836657,0.06538775510204076,0.03502040816326546
73,73,0.9216326530612244,0.9157894736842105,0.9217953875033521,0.9575167605256101,-0.0013877551020409218,0.01967346938775505,0.026204081632653087,-0.0006530612244896039,-0.008816326530612373,0.029306122448979566,-0.00759183673469388,0.03804081632653067
74,74,0.8979591836734694,0.8962655601659751,0.9021185304371145,0.9525341914722447,0.04195918367346929,0.0346938775510206,0.03648979591836743,0.02710204081632661,0.02742857142857147,0.01795918367346927,0.05093877551020409,0.1251428571428571
75,75,0.9175510204081633,0.9127052722558341,0.9187717886832931,0.9501340842048805,0.10024489795918368,0.02000000000000013,0.02408163265306118,0.020489795918367415,0.08922448979591846,0.02693877551020396,0.02114285714285724,0.03289795918367344
76,76,0.8922448979591837,0.890728476821192,0.896560740144811,0.9530812550281578,0.14057142857142857,0.0780408163265307,0.03640816326530605,0.012897959183673424,0.04685714285714293,0.07036734693877544,0.10865306122448981,0.05934693877551023
77,77,0.9028571428571428,0.9002514668901928,0.9062818449986592,0.9547868061142398,0.08187755102040817,0.018775510204081525,-0.0004897959183675082,0.008571428571428452,-0.003673469387755035,0.06040816326530607,0.07689795918367337,0.007346938775510181
78,78,0.9371428571428572,0.932868352223191,0.9378452668275677,0.9554223652453739,0.008571428571428674,0.012653061224489837,0.007428571428571451,0.009632653061224627,0.0560816326530611,0.020734693877551114,0.019346938775510303,0.015510204081632728
79,79,0.793469387755102,0.8096313017306245,0.8048940734781442,0.948452668275677,-0.035591836734693905,0.02889795918367344,0.028326530612244882,0.04097959183673472,-0.106122448979592,0.04628571428571426,0.07085714285714284,0.056897959183673574
