,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled
134,134,0.8047808764940239,0.7562189054726368,0.8092698933552092,0.8733251298878861,-0.011553784860557692,0.1318725099601593,0.11633466135458148,0.11752988047808755
135,135,0.8406374501992032,0.8058252427184466,0.8536026797921794,0.9096253759912496,0.09601593625498006,0.22430278884462151,0.22470119521912346,0.2749003984063745
136,136,0.8685258964143426,0.8307692307692308,0.871035001367241,0.9242548537052229,0.021912350597609542,0.18286852589641422,0.1294820717131474,0.14462151394422307
137,137,0.9163346613545816,0.8923076923076924,0.9225116215477167,0.9477713973202079,0.10597609561752985,0.31872509960159345,0.34342629482071707,0.29322709163346605
138,138,0.8167330677290837,0.7653061224489796,0.8164137270987148,0.8779053869291771,0.02749003984063747,0.08844621513944217,0.10239043824701188,0.08884462151394423
139,139,0.8645418326693227,0.8425925925925926,0.890791632485644,0.932526661197703,0.15458167330677286,0.3406374501992032,0.32868525896414347,0.28406374501992027
140,140,0.8565737051792829,0.8269230769230769,0.8730516817063168,0.9159830462127427,0.21633466135458168,0.3227091633466135,0.35856573705179295,0.35617529880478094
141,141,0.8605577689243028,0.8387096774193549,0.8876469783975937,0.9284933005195515,0.18087649402390438,0.35697211155378483,0.3689243027888447,0.3996015936254981
142,142,0.8685258964143426,0.8465116279069768,0.8939362865736943,0.9232294230243369,0.0346613545816733,0.23824701195219122,0.2928286852589642,0.2872509960159363
143,143,0.8087649402390438,0.7525773195876289,0.8055441618813235,0.9147525293956795,-0.042231075697211184,0.07649402390438231,0.11314741035856557,0.06374501992031867
144,144,0.8804780876494024,0.8557692307692307,0.8987899917965545,0.9308176100628931,0.24820717131474102,0.2868525896414341,0.3474103585657372,0.3199203187250995
145,145,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9069592562209461,0.16772908366533856,0.39721115537848606,0.401195219123506,0.40398406374502
146,146,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9202898550724637,0.0346613545816733,0.3482071713147411,0.33864541832669337,0.36653386454183257
147,147,0.8725099601593626,0.8504672897196262,0.8970809406617446,0.9144790812141099,0.12988047808764935,0.33466135458167323,0.39322709163346614,0.3852589641434263
148,148,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9238446814328685,0.15139442231075695,0.38645418326693237,0.34223107569721123,0.35019920318725106
149,149,0.8047808764940239,0.7562189054726368,0.8092698933552092,0.8794777139732021,0.05776892430278879,0.15936254980079667,0.142629482071713,0.11235059760956156
150,150,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9143423571233251,0.31314741035856586,0.2964143426294821,0.30239043824701206,0.2697211155378485
151,151,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.91106097894449,0.26095617529880466,0.35179282868525896,0.3250996015936256,0.35179282868525896
152,152,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9207683893902104,0.21314741035856566,0.2788844621513944,0.32231075697211164,0.31075697211155373
153,153,0.8725099601593626,0.8490566037735849,0.8947908121410992,0.9176237353021602,0.34382470119521913,0.39561752988047816,0.3816733067729083,0.38645418326693215
154,154,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9116762373530216,0.27091633466135456,0.27011952191235056,0.2860557768924302,0.2880478087649403
155,155,0.852589641434263,0.821256038647343,0.867616899097621,0.9023106371342631,0.24980079681274892,0.199601593625498,0.2079681274900398,0.18964143426294822
