,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled
79,79,0.7591836734693878,0.6740331491712708,0.7400184711565785,0.7612247797669793,-0.0065306122448980375,0.03591836734693876,0.11183673469387756,0.19183673469387763
80,80,0.7387755102040816,0.6144578313253012,0.7020105143506679,0.8712702472293266,-0.020816326530612272,0.019183673469387652,0.014285714285714235,0.06775510204081625
81,81,0.7755102040816326,0.7027027027027027,0.7617576015913612,0.8308468314862176,-0.028163265306122565,0.0636734693877552,0.15755102040816316,0.04816326530612247
82,82,0.6244897959183674,0.0,0.5,0.8508098891730604,0.0,0.0,0.0,0.0
83,83,0.6244897959183674,0.0,0.5,0.7779198635976129,0.0,0.0,0.0,0.0
84,84,0.7387755102040816,0.627906976744186,0.7085109406081274,0.7330207445296959,0.010204081632652962,0.11061224489795918,0.14693877551020407,0.10571428571428565
85,85,0.8163265306122449,0.7668393782383419,0.8139386189258312,0.7806194941744814,0.0106122448979592,0.14489795918367343,0.17387755102040814,0.1914285714285714
86,86,0.6244897959183674,0.0,0.5,0.8493179880647911,0.0,0.0,0.0,0.0
87,87,0.7306122448979592,0.5769230769230769,0.6824737141233305,0.7624325092355783,-0.010612244897959089,0.030612244897959218,0.11836734693877549,0.056326530612244796
88,88,0.7673469387755102,0.6850828729281768,0.7487212276214834,0.8093918726911056,-0.011428571428571455,0.0620408163265308,0.07469387755102042,0.09306122448979604
89,89,0.8081632653061225,0.7589743589743589,0.8074026712134129,0.8174197215117931,0.004081632653061162,0.024489795918367308,0.19673469387755105,0.06897959183673474
90,90,0.7714285714285715,0.6888888888888889,0.7519892014776925,0.8544330775788576,-0.017551020408163254,0.10979591836734703,0.09224489795918378,0.13918367346938776
91,91,0.7795918367346939,0.7032967032967034,0.7628587666950839,0.7950412048877522,0.0008163265306123657,0.10244897959183685,0.14204081632653076,0.156734693877551
92,92,0.8122448979591836,0.7628865979381443,0.810670645069622,0.8061238988348962,0.0065306122448979265,0.22163265306122448,0.13755102040816325,0.11469387755102045
93,93,0.7183673469387755,0.5490196078431373,0.6661693662972435,0.8663682864450128,-0.004897959183673528,0.033469387755102,0.022040816326530654,0.017551020408163254
94,94,0.6653061224489796,0.2807017543859649,0.5673486786018755,0.8674339300937767,-0.033877551020408236,0.005714285714285672,0.014693877551020362,0.02734693877551031
95,95,0.726530612244898,0.6081871345029239,0.6943734015345269,0.7495737425404944,0.006122448979591799,0.028571428571428692,0.046122448979591946,0.05102040816326525
96,96,0.7714285714285715,0.6781609195402298,0.745488775220233,0.8715544188689968,0.005714285714285672,0.017551020408163365,0.01959183673469389,0.0881632653061225
97,97,0.6244897959183674,0.0,0.5,0.4903381642512078,0.0,0.0,0.0,0.0
98,98,0.7795918367346939,0.7032967032967034,0.7628587666950839,0.8125177607274793,-0.0065306122448978154,0.11346938775510207,0.15142857142857147,0.19428571428571428
99,99,0.6244897959183674,0.0,0.5,0.8566354077863029,0.0,0.0,0.0,0.0
100,100,0.6244897959183674,0.0,0.5,0.866510372264848,0.0,0.0,0.0,0.0
101,101,0.7755102040816326,0.6783625730994152,0.7465899403239558,0.8746092639954532,-0.002448979591836764,0.08081632653061221,0.09795918367346934,0.06204081632653058
102,102,0.8204081632653061,0.7731958762886598,0.8193734015345269,0.7877948280761581,0.012653061224489837,0.09224489795918367,0.1489795918367346,0.16163265306122432
103,103,0.7551020408163265,0.6629213483146067,0.7324168797953964,0.7504973003694231,0.0106122448979592,0.037142857142857144,0.1126530612244897,0.11755102040816334
104,104,0.8040816326530612,0.75,0.7998010798522308,0.7860897982381357,0.002448979591836653,0.136734693877551,0.1791836734693878,0.22163265306122437
105,105,0.6244897959183674,0.0,0.5,0.8395851094060813,0.0,0.0,0.0,0.0
106,106,0.7755102040816326,0.7058823529411765,0.7639244103438476,0.7511366865586815,-0.007346938775510181,0.12530612244897954,0.13428571428571423,0.1489795918367347
107,107,0.8204081632653061,0.7684210526315789,0.8150397840295538,0.8591929525433363,0.015918367346938744,0.11959183673469387,0.0653061224489796,0.17918367346938768
108,108,0.8204081632653061,0.7755102040816326,0.8215402102870133,0.8339727195225917,0.014285714285714235,0.0053061224489796555,0.09061224489795916,0.012653061224489726
109,109,0.6244897959183674,0.0,0.5,0.8570616652458085,0.0,0.0,0.0,0.0
110,110,0.6244897959183674,0.0,0.5,0.7342995169082125,0.0,0.0,0.0,0.0
111,111,0.6244897959183674,0.0,0.5,0.7789855072463768,0.0,0.0,0.0,0.0
112,112,0.6244897959183674,0.0,0.5,0.8464052287581699,-0.004897959183673417,-0.0004081632653060163,0.0,-0.0004081632653060163
113,113,0.8081632653061225,0.7539267015706806,0.80306905370844,0.8402955385052572,0.010204081632653073,0.032653061224489854,0.12979591836734705,0.14285714285714302
114,114,0.6244897959183674,0.0,0.5,0.8778772378516624,0.0,0.0,0.0,0.0
115,115,0.8122448979591836,0.7676767676767676,0.815004262574595,0.8670787155441887,-0.004081632653061051,0.10897959183673467,0.21469387755102054,0.2416326530612245
116,116,0.7387755102040816,0.5897435897435898,0.6911764705882353,0.8619636260301222,0.004081632653061162,0.020408163265306145,0.04326530612244883,0.02571428571428569
117,117,0.7142857142857143,0.5454545454545454,0.6629013924410344,0.8450554134697358,0.002448979591836764,0.030612244897959218,0.0379591836734694,0.027755102040816326
