,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
21,21,0.8166666666666667,0.7904761904761904,0.8328437132784958,0.9014394829612221,0.12208333333333332,0.05291666666666661,0.05833333333333324,0.03249999999999997,0.235,0.013333333333333308,0.05499999999999994,0.036250000000000004
22,22,0.775,0.7610619469026548,0.8052291421856639,0.8910840188014102,0.12583333333333335,0.02750000000000008,0.018750000000000044,0.01333333333333342,0.22583333333333344,0.07250000000000001,0.06791666666666663,0.012500000000000067
23,23,0.7916666666666666,0.7706422018348624,0.8146298472385429,0.8875587544065805,0.12625000000000008,0.025416666666666643,0.02833333333333321,0.03916666666666657,0.23375,0.05874999999999997,0.04874999999999996,0.04583333333333328
24,24,0.7791666666666667,0.7644444444444445,0.8086075205640424,0.891671562867215,0.13875000000000004,0.039583333333333415,0.022916666666666807,0.02416666666666667,0.2383333333333334,0.06666666666666676,0.06000000000000005,-0.003750000000000031
25,25,0.7833333333333333,0.7592592592592593,0.8037602820211516,0.8929200940070505,0.11458333333333337,0.022499999999999964,0.01791666666666658,0.015000000000000013,0.22083333333333333,0.023333333333333317,0.05374999999999985,0.03083333333333338
26,26,0.8583333333333333,0.8,0.8357814336075206,0.9009253819036428,0.0029166666666665675,1.1102230246251565e-16,-0.0008333333333333526,1.1102230246251565e-16,0.11208333333333331,-0.0004166666666667318,0.003749999999999809,-0.0004166666666667318
27,27,0.8416666666666667,0.7888888888888889,0.8284371327849589,0.9101057579318449,0.042916666666666714,0.008333333333333415,0.036666666666666736,0.004166666666666652,0.2254166666666667,0.04541666666666666,0.025833333333333375,0.022500000000000075
28,28,0.8583333333333333,0.8152173913043478,0.8501762632197414,0.9069477085781434,0.07166666666666666,0.06041666666666656,0.01375000000000004,0.04999999999999993,0.2224999999999998,0.019583333333333397,0.05833333333333324,0.06333333333333313
29,29,0.8333333333333334,0.7872340425531915,0.8278495887191539,0.8851351351351352,0.0820833333333334,0.04000000000000015,0.04041666666666677,0.019166666666666665,0.22250000000000003,0.027083333333333348,0.06875000000000009,0.022916666666666807
30,30,0.8291666666666667,0.8,0.8409224441833137,0.9097385428907168,0.09083333333333343,0.04166666666666674,0.032083333333333464,0.025416666666666532,0.2587499999999999,0.05541666666666667,0.03875000000000017,0.029999999999999916
31,31,0.7833333333333333,0.7475728155339806,0.7934782608695652,0.8958578143360751,0.08583333333333332,0.02083333333333337,0.011249999999999982,0.0024999999999999467,0.2154166666666666,0.00666666666666671,0.03874999999999995,0.030416666666666647
32,32,0.8041666666666667,0.7661691542288557,0.8103701527614571,0.8993830787309047,0.08166666666666678,0.026666666666666616,0.02833333333333332,0.006666666666666599,0.21625000000000005,0.02416666666666667,0.05249999999999999,0.0050000000000000044
33,33,0.7916666666666666,0.7706422018348624,0.8146298472385429,0.8946827262044654,0.13291666666666657,0.029583333333333295,0.0462499999999999,0.040416666666666656,0.23166666666666658,0.04916666666666658,0.06249999999999989,0.021250000000000102
34,34,0.8,0.7818181818181819,0.8254994124559343,0.8987955346650999,0.11583333333333345,0.026250000000000107,0.033333333333333215,0.022499999999999964,0.2354166666666666,0.05500000000000005,0.0491666666666668,0.042916666666666714
35,35,0.7875,0.7649769585253456,0.8091950646298472,0.8974001175088131,0.12624999999999997,0.03833333333333322,0.02416666666666656,0.03249999999999986,0.23375000000000012,0.05166666666666653,0.04791666666666672,0.030000000000000027
36,36,0.7708333333333334,0.7393364928909952,0.7853995299647474,0.8880728554641599,0.10916666666666663,0.03083333333333338,-0.0004166666666666208,0.012083333333333557,0.20791666666666675,0.02749999999999997,0.011666666666666603,0.03083333333333338
37,37,0.7791666666666667,0.7389162561576355,0.7859870740305523,0.8931404230317275,0.0970833333333333,0.01708333333333334,0.008750000000000036,0.005833333333333246,0.2070833333333334,0.025416666666666754,0.04250000000000009,0.026666666666666727
38,38,0.8166666666666667,0.78,0.8225616921269094,0.901072267920094,0.10166666666666657,0.030833333333333268,0.036250000000000004,0.015833333333333366,0.22291666666666665,0.04375000000000007,0.05958333333333332,0.025416666666666643
39,39,0.7833333333333333,0.7475728155339806,0.7934782608695652,0.8940951821386603,0.10499999999999998,0.030000000000000027,0.022916666666666585,0.02833333333333332,0.21041666666666659,0.030833333333333268,0.026666666666666727,0.030000000000000027
40,40,0.8458333333333333,0.7932960893854749,0.8318155111633372,0.9053319623971798,0.0824999999999999,0.0016666666666667052,0.019166666666666554,0.007500000000000062,0.18125000000000002,0.028750000000000053,0.0050000000000000044,0.012916666666666798
41,41,0.8041666666666667,0.7661691542288557,0.8103701527614571,0.898207990599295,0.08166666666666678,0.01000000000000012,0.011666666666666714,0.03083333333333338,0.2170833333333333,0.05249999999999999,0.04375000000000007,0.0279166666666667
42,42,0.7833333333333333,0.7475728155339806,0.7934782608695652,0.8919653349001175,0.10333333333333339,0.03249999999999997,0.01416666666666666,0.010833333333333361,0.20708333333333329,0.03208333333333335,0.04875000000000007,0.011666666666666603
43,43,0.775,0.7352941176470589,0.7826086956521738,0.891891891891892,0.09833333333333338,0.0004166666666667318,0.014583333333333393,0.03041666666666676,0.18875000000000008,0.036666666666666736,0.030000000000000027,0.03749999999999998
44,44,0.8125,0.7593582887700535,0.8047884841363102,0.8937279670975322,0.08041666666666658,0.012083333333333335,0.008749999999999813,0.008333333333333415,0.1908333333333333,0.018749999999999933,0.03583333333333327,0.007499999999999951
