,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
61,61,0.8535564853556485,0.8258706467661692,0.8626515823720793,0.9562259686483289,0.0033472803347280866,-0.012552301255230103,-0.0188284518828451,-0.01087866108786617,0.14225941422594135,-0.009623430962342971,-0.00794979079497915,-0.005439330543932974,-0.003765690376568931,0.004602510460251064,0.00878661087866106,0.0071129707112970175
62,62,0.8702928870292888,0.845771144278607,0.880323868677906,0.9690919846199348,0.037238493723849464,0.006694560669456062,-0.013389121338912124,-0.0020920502092048876,0.3476987447698746,0.01004184100418426,-0.008368200836819883,0.005439330543933085,-0.002510460251045954,-0.002510460251045954,0.006276150627615107,-0.008368200836819883
63,63,0.8619246861924686,0.7924528301886793,0.8287858621709554,0.9662082224194025,0.01087866108786617,0.004602510460251175,0.0029288702928871313,-0.002510460251046065,0.04058577405857733,0.011715481171548192,0.007531380753138195,0.014644351464435101,0.011297071129707126,0.017154811715481166,0.0029288702928870203,0.009205020920502127
64,64,0.8493723849372385,0.8285714285714286,0.8673839100857734,0.9619934930493936,0.006694560669456173,-0.01171548117154797,-0.0033472803347279756,-0.019246861924686165,-0.0058577405857739295,-0.01757322175732212,-0.04267782426778233,-0.004184100418409997,-0.007949790794978928,-0.006694560669455951,-0.005439330543932974,-0.0004184100418409553
65,65,0.8870292887029289,0.8669950738916257,0.9000295770482106,0.9633244602188702,0.018410041841004143,0.002510460251046065,0.008786610878661172,0.002510460251046065,0.014225941422594035,-0.002510460251045954,-0.00041841004184117736,0.03138075313807531,-0.009623430962342971,0.053974895397489564,0.008786610878661172,0.005020920502092019
66,66,0.8702928870292888,0.841025641025641,0.8742236024844721,0.9628068618751848,0.021338912133891275,-0.009205020920502127,-0.0058577405857739295,-0.0033472803347280866,0.05523012552301254,-0.013389121338912124,-0.008368200836820106,0.001255230125523088,-0.009623430962343082,0.004602510460251064,-0.020920502092050097,-0.03933054393305424
67,67,0.891213389121339,0.8602150537634409,0.8871635610766045,0.94824016563147,-0.0046025104602508415,-0.00376569037656882,-0.00669456066945584,-0.0008368200836819106,0.01757322175732212,0.005439330543933085,-0.008368200836819883,0.012552301255230103,0.0008368200836821327,0.00041841004184117736,0.0020920502092049986,-0.0029288702928869093
68,68,0.8619246861924686,0.8390243902439024,0.8755545696539486,0.9527506654835847,0.08368200836820083,0.0071129707112971285,-0.004184100418409997,0.0016736401673641543,0.12384937238493732,1.1102230246251565e-16,0.00041841004184117736,-0.002510460251046065,0.004184100418410108,-0.0016736401673638213,0.01380753138075319,-0.0033472803347279756
69,69,0.9121338912133892,0.8864864864864865,0.908237207926649,0.975377107364685,0.025104602510460317,-0.0016736401673640433,0.004602510460251175,0.0029288702928871313,0.020502092050209364,0.01715481171548139,0.02468619246861936,0.0158995815899583,0.009623430962343305,0.004184100418410219,0.004602510460251175,0.005439330543933196
70,70,0.891213389121339,0.8452380952380952,0.8688627624963028,0.9749334516415262,0.008368200836820106,0.0029288702928869093,0.010460251046025104,-0.00669456066945584,0.006694560669456173,0.007531380753138084,1.1102230246251565e-16,0.028033472803347337,-0.0004184100418408443,0.0033472803347279756,-0.01087866108786606,-0.00669456066945584
