,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
93,93,0.8521400778210116,0.8155339805825242,0.8656126482213439,0.9572463768115942,0.3801556420233463,0.07587548638132302,0.06809338521400776,0.00739299610894939,-0.041245136186770504,0.009338521400778288,0.17704280155642016,-0.024902723735408694
94,94,0.8832684824902723,0.8484848484848485,0.8898550724637682,0.9651515151515151,0.11556420233463027,0.008171206225680794,0.007003891050583522,0.0038910505836574627,0.003112840466925948,0.01011673151750958,-0.02373540856031131,0.007782101167315036
95,95,0.8754863813229572,0.8160919540229885,0.8525362318840579,0.944532279314888,0.06926070038910503,0.009338521400778066,0.0007782101167314037,-0.005447470817120714,0.012451361867704347,0.0019455252918286758,0.02217898832684828,-0.0007782101167316258
96,96,0.8910505836575876,0.851063829787234,0.8862977602108038,0.9688405797101449,0.27431906614786006,0.019844357976653626,0.04591439688715959,0.04046692607003899,-0.00894941634241242,-0.024124513618677068,0.03151750972762657,0.006614785992217875
97,97,0.914396887159533,0.8877551020408163,0.9213109354413702,0.9693675889328064,0.00894941634241242,0.015564202334630295,0.06303501945525292,0.014396887159533023,0.008171206225680905,0.15525291828793775,0.12412451361867693,0.015953307392996052
98,98,0.8638132295719845,0.7682119205298014,0.8121870882740447,0.9672595520421607,0.04591439688715959,0.011673151750972832,0.043968871595330805,0.022178988326848392,0.04669260700389111,0.0027237354085601906,-0.0023346303501946553,0.04630350194552535
99,99,0.867704280155642,0.7792207792207793,0.8200263504611331,0.9716073781291172,0.018677042801556465,0.014785992217898891,0.017120622568093435,0.00894941634241253,0.01634241245136192,0.0077821011673152585,0.0007782101167314037,0.010116731517509803
100,100,0.8832684824902723,0.8275862068965517,0.8610013175230566,0.9513833992094862,0.04474708171206221,0.0019455252918286758,0.026459143968871612,0.007392996108949279,0.057198443579766556,0.033852140077821,0.02217898832684806,0.019844357976653515
101,101,0.8871595330739299,0.861244019138756,0.9073122529644269,0.9693675889328063,0.35214007782101153,0.010505836575875338,0.05992217898832686,0.011284046692606853,-0.02529182879377434,0.052918287937743225,0.027626459143968884,0.022957198443579574
102,102,0.8715953307392996,0.8023952095808383,0.8398880105401845,0.9629117259552041,0.09338521400778199,-0.007392996108949501,0.022957198443579796,0.0027237354085601906,0.008171206225680794,-0.006225680933852229,-0.004280155642023442,-0.005058365758754957
103,103,0.8365758754863813,0.704225352112676,0.7717391304347826,0.9721343873517787,0.03735408560311282,0.01206225680933859,0.028015564202334642,0.021400778210116767,0.026070038910505855,0.0038910505836576847,0.01634241245136192,-0.003112840466926059
104,104,0.8599221789883269,0.775,0.8187747035573123,0.9596179183135705,0.02840466926070051,0.007392996108949501,0.008171206225681016,0.01789883268482495,0.00894941634241253,0.005058365758754735,0.026459143968871612,0.0003891050583658684
105,105,0.8793774319066148,0.8050314465408805,0.8387351778656127,0.9655467720685111,0.09338521400778199,0.010505836575875338,0.00428015564202322,0.017898832684824728,0.027237354085603127,0.001167315175097161,0.018677042801556243,0.024124513618677068
106,106,0.8754863813229572,0.8072289156626506,0.8429183135704874,0.9637681159420289,0.031906614785992216,-0.012451361867704347,-0.0035019455252919274,0.0027237354085601906,0.019066147859922222,0.013618677042801397,0.009727626459143823,0.0015564202334629185
107,107,0.8404669260700389,0.7248322147651006,0.7843873517786562,0.969433465085639,0.06264591439688716,0.008560311284046773,0.01789883268482495,0.0015564202334630295,-0.005836575875486361,0.0,-0.0019455252918287869,-0.004280155642023331
108,108,0.8949416342412452,0.864321608040201,0.9037549407114625,0.9693675889328064,0.4019455252918288,0.11011673151750967,0.1392996108949417,0.11439688715953311,-0.0007782101167315147,0.13618677042801564,0.052918287937743225,0.017509727626459082
109,109,0.8988326848249028,0.8433734939759037,0.8683135704874836,0.9718708827404479,0.048638132295719894,0.011284046692606964,0.007003891050583633,0.010505836575875449,0.012840466926069993,0.022568093385213928,0.009727626459143934,0.02062256809338514
110,110,0.8910505836575876,0.8585858585858586,0.8983201581027668,0.971870882740448,0.03696498054474695,0.0011673151750972721,0.0046692607003890885,0.0019455252918287869,-0.0007782101167315147,-0.00894941634241242,-0.01478599221789878,-0.0027237354085603016
111,111,0.8754863813229572,0.8072289156626506,0.8429183135704874,0.9611989459815548,0.0933852140077821,0.008560311284046551,0.0007782101167314037,0.014396887159533134,0.025680933852140098,-0.0027237354085604126,0.013618677042801397,-0.0038910505836576847
