,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
88,88,0.642023346303502,0.0,0.5,0.92266139657444,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
89,89,0.914396887159533,0.8888888888888888,0.9237154150197628,0.9794466403162054,0.012451361867704236,0.2287937743190661,0.14435797665369654,0.028404669260700288,0.3031128404669261,0.16225680933852138,0.22568093385214005,0.17431906614785986
90,90,0.8949416342412452,0.8682926829268293,0.9109683794466403,0.9777338603425559,-0.0007782101167315147,0.11050583657587543,0.07859922178988332,-0.010116731517509692,0.007003891050583633,0.11595330739299625,0.15175097276264593,0.06575875486381333
91,91,0.8326848249027238,0.7542857142857143,0.8071805006587616,0.9367588932806324,0.009338521400778288,0.01206225680933859,0.023346303501945553,0.02256809338521404,0.0007782101167316258,0.01789883268482495,0.008171206225681016,0.014007782101167376
92,92,0.9105058365758755,0.8770053475935828,0.9062582345191041,0.9813570487483531,-0.013229571984435862,0.11750972762645906,0.14163424124513624,0.033463035019455356,-0.007392996108949501,0.16692607003891047,0.1035019455252918,0.03540856031128392
93,93,0.9182879377431906,0.896551724137931,0.9339591567852437,0.9826745718050066,0.005836575875486361,0.309727626459144,0.21595330739299612,0.14785992217898836,0.3132295719844358,0.22412451361867702,0.1766536964980544,0.21906614785992218
94,94,0.8210116731517509,0.7444444444444445,0.800494071146245,0.8936100131752306,0.01322957198443575,0.01478599221789878,0.010894941634241206,0.013618677042801508,0.010116731517509692,0.013618677042801508,0.01789883268482484,0.02217898832684817
95,95,0.8404669260700389,0.7783783783783784,0.8276679841897233,0.9365612648221344,0.0023346303501946553,0.011673151750972832,0.02684824902723737,0.02996108949416343,0.0035019455252919274,0.02256809338521404,0.03268482490272373,0.02217898832684828
96,96,0.914396887159533,0.89,0.9261198945981555,0.9793807641633728,-0.00311284046692617,0.18910505836575864,0.13540856031128412,0.005836575875486361,0.1198443579766536,0.20661478599221794,0.13229571984435795,0.20350194552529188
97,97,0.8910505836575876,0.8653846153846154,0.9103425559947299,0.9794466403162057,-0.00739299610894939,0.23657587548638137,0.09377431906614786,0.07665369649805454,0.005058365758754846,0.1739299610894942,0.20856031128404673,0.13696498054474715
98,98,0.8482490272373541,0.7845303867403315,0.8313241106719367,0.9450592885375495,0.0027237354085603016,0.028015564202334642,0.019066147859922222,0.00739299610894939,-0.010894941634241206,0.005836575875486361,0.024513618677042825,0.01050583657587556
99,99,0.9182879377431906,0.896551724137931,0.9339591567852437,0.975098814229249,0.0046692607003889774,0.1583657587548638,0.2233463035019455,0.055642023346303526,0.21750972762645915,0.1400778210116731,0.02529182879377423,0.19883268482490268
100,100,0.642023346303502,0.0,0.5,0.9469038208168643,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
101,101,0.933852140077821,0.9119170984455959,0.938866930171278,0.9824769433465086,0.012062256809338479,0.14319066147859916,0.15408560311284047,0.03229571984435797,0.04007782101167312,0.22568093385214016,0.10466926070038918,0.07276264591439674
102,102,0.8287937743190662,0.7608695652173914,0.813768115942029,0.9071146245059288,-0.0046692607003890885,0.012840466926070104,0.018287937743190708,0.017120622568093435,-0.0035019455252917053,0.013618677042801619,0.014007782101167376,0.015564202334630406
103,103,0.9066147859922179,0.8846153846153846,0.9272727272727272,0.9721343873517786,-0.0007782101167315147,0.12295719844357977,0.1245136186770428,0.005447470817120603,0.045136186770427855,0.14319066147859927,0.07665369649805454,0.0011673151750972721
104,104,0.642023346303502,0.0,0.5,0.8919631093544138,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
105,105,0.7937743190661478,0.6131386861313869,0.7191699604743083,0.9379446640316206,0.039299610894941606,0.02062256809338514,0.027237354085603127,0.024513618677042825,0.06614785992217886,0.00894941634241242,0.021789883268482524,0.028015564202334642
106,106,0.8054474708171206,0.7222222222222222,0.7835638998682477,0.8962450592885376,-0.011673151750972721,0.010894941634241206,0.012840466926069993,0.008560311284046662,-0.012451361867704236,0.009727626459143934,0.009338521400778177,0.008560311284046662
107,107,0.8365758754863813,0.78125,0.8318511198945981,0.8951910408432148,0.008171206225681016,0.018677042801556465,0.02217898832684828,0.010116731517509803,0.0,0.020622568093385252,0.015564202334630406,0.008560311284046773
108,108,0.8249027237354085,0.7169811320754716,0.7794795783926218,0.9442028985507247,0.010116731517509692,0.00894941634241242,0.0077821011673151474,0.0046692607003890885,-0.00038910505836575737,0.008171206225680905,0.005447470817120603,0.008171206225680905
