,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
10,10,0.8725099601593626,0.8222222222222222,0.8581487558107739,0.967528028438611,0.0011952191235059528,0.004382470119521864,-0.0031872509960159112,-0.01354581673306765,0.0023904382470120167,-0.015936254980079556,-0.0019920318725099584,-0.009163346613545786,0.007569721115537775,-0.005577689243027817,-0.01553784860557772,-0.0023904382470119057,-0.0023904382470119057,0.0007968127490040056,-0.02908366533864526,-0.0254980079681274,-0.010756972111553798,-0.007569721115537886,0.0015936254980080111,0.03067729083665338,-0.008764940239043728,-0.017529880478087567,0.011553784860557692,0.0035856573705178585,-0.005976095617529875,0.019521912350597526,-0.002788844621513964,-0.013944223107569709
11,11,0.8645418326693227,0.8316831683168316,0.8747607328411267,0.9340306261963358,-0.0003984063745020583,0.002788844621513964,-0.004382470119521975,-0.0023904382470119057,1.1102230246251565e-16,-0.005976095617529875,0.004780876494023922,0.003984063745020028,0.014741035856573714,0.005976095617529875,0.008764940239043839,0.00039840637450194727,0.005577689243027928,0.0019920318725099584,-0.0035856573705179695,-0.006772908366533881,-0.0031872509960159112,0.0019920318725099584,-0.012350597609561809,0.009163346613545786,0.019521912350597526,0.0007968127490040056,-0.0023904382470119057,0.0031872509960160222,-0.00517928286852587,0.0031872509960160222,-0.007569721115537886,0.013944223107569709
12,12,0.8247011952191236,0.7634408602150538,0.813542521192234,0.9470877768662839,0.002788844621513964,-0.02071713147410348,-0.009163346613545786,-0.0015936254980079,-0.030278884462151323,-0.04820717131474106,-0.009960159362549792,-0.009960159362549792,-0.011155378486055745,-0.023505976095617553,-0.02749003984063747,-0.03426294820717124,-0.03784860557768921,-0.0023904382470119057,0.005577689243027928,-0.005577689243027817,-0.01195219123505964,-0.026294820717131406,0.014741035856573825,-0.007968127490039723,-0.010756972111553798,-0.03625498007968131,-0.021115537848605537,-0.012749003984063645,1.1102230246251565e-16,-0.03386454183266929,-0.04661354581673305,-0.04143426294820707
13,13,0.8804780876494024,0.8148148148148148,0.8461170358217118,0.9773721629751163,1.1102230246251565e-16,0.012749003984063756,0.0035856573705178585,0.00039840637450194727,0.013545816733067761,0.017928286852589626,0.01912350597609569,-0.002788844621513964,0.005577689243027928,-0.009561752988047734,0.005976095617529875,-0.004780876494023811,-0.0031872509960159112,0.008764940239043839,-0.010756972111553798,-0.018326693227091573,-0.007569721115537886,0.017529880478087678,0.009960159362549792,-0.014342629482071656,0.02390438247011961,0.0031872509960160222,-0.0015936254980079,-0.005976095617529875,0.004382470119521864,0.018326693227091684,0.011553784860557692,0.01713147410358562
14,14,0.8804780876494024,0.8275862068965517,0.8598578069455838,0.9683483729833198,0.0023904382470120167,-0.013944223107569709,0.002788844621513964,-0.017928286852589514,-0.007171314741035828,0.0023904382470120167,0.010756972111553798,-0.024302788844621337,0.002788844621513964,0.015936254980079778,-0.025099601593625454,-0.015537848605577498,0.01035856573705185,-0.0063745019920318224,0.0063745019920319335,-0.007968127490039723,0.002788844621513964,0.002788844621513964,0.013147410358565703,0.013944223107569709,-0.0007968127490038945,0.013545816733067761,0.002788844621513964,-0.004780876494023811,-0.02430278884462156,-0.00517928286852587,0.0031872509960160222,0.005577689243027928
15,15,0.8366533864541833,0.7284768211920529,0.7863344271260596,0.9593929450369155,-0.005577689243027817,-0.0063745019920318224,-0.008764940239043728,-0.009163346613545786,0.020318725099601753,-0.009960159362549792,-0.004382470119521975,-0.010756972111553798,-0.0011952191235059528,0.00517928286852587,0.0011952191235059528,0.0019920318725099584,-0.01673306772908356,-0.01195219123505964,-0.007171314741035828,-0.002788844621513964,-0.011155378486055745,0.0015936254980080111,-0.005577689243027817,-0.007171314741035828,-0.0019920318725099584,0.002788844621513964,-0.014342629482071656,0.00039840637450194727,-0.009960159362549792,-0.025099601593625454,0.004780876494023922,-0.00517928286852587
16,16,0.8844621513944223,0.8542713567839196,0.8927741318020235,0.9596663932184851,-0.007171314741035828,0.005577689243027928,-0.005179282868525759,-0.02071713147410348,-0.004382470119521975,-0.007171314741035828,-0.02589641434262946,-0.02071713147410348,-0.0007968127490038945,-0.01035856573705174,-0.007171314741035828,-0.004382470119521975,-0.0035856573705179695,-0.013147410358565703,-0.005976095617529875,-0.019920318725099473,-0.007968127490039723,0.003984063745020028,-0.0003984063745020583,0.006772908366533881,-0.0011952191235059528,-0.0063745019920318224,-0.011155378486055745,-0.009561752988047734,-0.021115537848605537,-0.004382470119521975,-0.011553784860557581,-0.03705179282868509
17,17,0.8605577689243028,0.8,0.8395542794640416,0.9576155318567132,-0.004382470119521975,-0.004780876494023811,-0.01553784860557772,-0.01673306772908356,0.003984063745020028,-0.014342629482071656,-0.012350597609561809,-0.008764940239043728,-0.0063745019920318224,-0.027091633466135412,-0.028286852589641254,-0.026294820717131406,-0.019521912350597637,-0.01195219123505964,0.0023904382470120167,-0.01553784860557772,-0.009163346613545786,-0.007171314741035828,-0.019521912350597637,-0.0007968127490038945,-0.02071713147410348,-0.00517928286852587,-0.007171314741035828,-0.017529880478087567,-0.005976095617529875,-0.024701195219123395,-0.011155378486055745,-0.015139442231075662
18,18,0.8446215139442231,0.7771428571428571,0.8223954060705496,0.9481132075471699,0.00039840637450194727,-0.0063745019920318224,-0.004382470119521975,0.012350597609561698,-0.005577689243027817,-0.002788844621513964,-0.007968127490039723,-0.0035856573705179695,-0.004382470119521975,0.0035856573705178585,0.007569721115537775,0.01872509960159363,-0.01354581673306765,-0.004780876494023811,-0.0023904382470119057,0.0015936254980080111,0.0011952191235059528,-0.005976095617529875,0.00517928286852587,-0.010756972111553798,-0.017529880478087567,-0.012350597609561809,-0.0031872509960159112,-0.006772908366533881,-0.011553784860557803,-0.007968127490039723,-0.016334661354581725,0.007569721115537775
19,19,0.8884462151394422,0.8526315789473684,0.8867582718074924,0.9477030352748155,-0.012749003984063645,0.0031872509960160222,-0.014342629482071656,-0.0019920318725099584,0.015537848605577609,-0.014342629482071656,0.013944223107569709,-0.009561752988047734,0.007569721115537775,-0.01195219123505964,0.011952191235059861,0.0031872509960160222,0.007171314741035939,0.005976095617529875,0.011155378486055856,-0.005976095617529764,-0.012749003984063645,0.019521912350597526,0.017529880478087678,0.009561752988047845,0.0019920318725099584,-0.011553784860557803,-0.012749003984063645,0.007171314741035939,0.0035856573705178585,0.013545816733067761,-0.002788844621513742,0.012350597609561698
