,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
51,51,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9125531219352729,0.0039999999999998925,0.000888888888888828,0.000888888888888828,-0.003555555555555534,-0.007111111111111179,0.014666666666666717,-0.0004444444444444695,0.005333333333333301,-0.005333333333333412,0.0031111111111110645,0.01155555555555543,0.008000000000000007
52,52,0.8577777777777778,0.813953488372093,0.8428407976462897,0.907813010787839,-0.0004444444444444695,-0.0022222222222222365,-0.008888888888888835,-0.008444444444444477,-0.0031111111111110645,0.006222222222222351,0.0013333333333334085,0.000888888888888828,0.010666666666666713,0.0119999999999999,-0.0013333333333334085,-0.002666666666666706
53,53,0.9066666666666666,0.8852459016393442,0.9026234063419418,0.9149231775089898,0.004444444444444362,0.0004444444444444695,-0.000888888888888828,-0.00088888888888905,0.09999999999999998,0.01911111111111108,0.055111111111111,0.05422222222222217,0.24311111111111094,0.02400000000000002,0.01155555555555543,0.06133333333333313
54,54,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9206440013076168,-1.1102230246251565e-16,-0.000888888888888939,0.0004444444444444695,-0.004444444444444473,0.03155555555555556,0.01200000000000001,0.005333333333333412,0.000888888888888939,0.021333333333333426,0.010222222222222133,0.003555555555555645,-0.007111111111111068
55,55,0.8533333333333334,0.7924528301886793,0.8273537103628636,0.9147597254004577,-0.0031111111111109535,0.0031111111111111756,0.009333333333333416,-0.0004444444444444695,0.06000000000000005,0.012888888888888839,0.011111111111111183,0.0022222222222222365,0.0040000000000000036,0.007111111111111068,0.01155555555555543,0.004000000000000115
56,56,0.8755555555555555,0.8461538461538461,0.8696060804184373,0.9101830663615561,-0.005777777777777771,-0.005777777777777771,0.009333333333333416,-0.001777777777777767,0.1684444444444444,0.05022222222222217,0.01155555555555543,0.016444444444444373,0.25377777777777777,0.05644444444444441,0.021777777777777896,0.01111111111111096
57,57,0.7466666666666667,0.7466666666666667,0.7723112128146452,0.9045439686171952,-0.04755555555555546,-0.0004444444444443585,-0.009333333333333305,-0.022666666666666613,0.07244444444444453,0.008000000000000007,-0.01288888888888895,-0.028444444444444383,0.28666666666666674,-0.014222222222222247,-0.010222222222222244,-0.0431111111111111
58,58,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9262013729977117,-0.000888888888888828,-0.0022222222222222365,-0.006666666666666599,-0.0013333333333334085,0.02400000000000002,0.0,-0.006222222222222351,-0.005777777777777771,0.02400000000000002,0.001777777777777656,-0.0031111111111112866,-0.0004444444444443585
59,59,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9198267407649559,0.001777777777777767,-0.007555555555555649,0.0022222222222222365,0.0004444444444443585,-0.004000000000000115,-0.011111111111111183,-0.005777777777777771,0.004888888888888943,0.23066666666666658,0.0013333333333331865,0.03066666666666651,-0.014222222222222247
60,60,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9144328211833932,-0.0004444444444444695,-0.0022222222222222365,-0.004444444444444584,-0.005777777777777771,0.026666666666666616,-0.0031111111111111756,-0.004888888888888943,-0.0004444444444444695,-0.0004444444444444695,0.0,-0.0022222222222223476,-0.005777777777777993
61,61,0.8622222222222222,0.8187134502923976,0.8466001961425302,0.9122262177182086,-0.002666666666666706,0.0013333333333331865,0.002666666666666595,-0.0004444444444444695,-0.005777777777777771,0.002666666666666595,0.008000000000000007,0.001777777777777767,0.007111111111111068,0.0040000000000000036,0.007111111111111068,0.010666666666666602
62,62,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9191729323308271,-0.005333333333333412,0.0031111111111110645,0.0004444444444443585,0.000888888888888939,0.18488888888888888,0.009333333333333416,0.01822222222222214,0.0,0.03600000000000003,0.0031111111111110645,0.004000000000000115,0.008000000000000007
63,63,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9275089898659691,-0.003555555555555534,-0.002666666666666706,0.0013333333333334085,-0.0031111111111109535,-0.0004444444444444695,0.0013333333333334085,-0.0031111111111109535,-0.001777777777777656,0.028444444444444494,0.0004444444444443585,0.008444444444444366,0.009777777777777774
64,64,0.8933333333333333,0.8666666666666667,0.8863190585158549,0.9285714285714285,0.014666666666666606,0.013777777777777778,0.000888888888888939,-0.002666666666666595,0.0324444444444445,0.027555555555555555,0.03733333333333322,0.008888888888888835,0.1897777777777777,0.014222222222222136,0.019555555555555548,0.01822222222222214
65,65,0.8666666666666667,0.8235294117647058,0.8503595946387709,0.9084668192219679,0.001777777777777767,-1.1102230246251565e-16,-0.003555555555555534,-0.0040000000000000036,0.00666666666666671,0.002666666666666595,0.002666666666666595,0.00622222222222224,0.0808888888888889,0.03022222222222226,0.003555555555555645,0.014222222222222247
66,66,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9186008499509644,1.1102230246251565e-16,-0.002666666666666595,0.0004444444444444695,-0.0013333333333332975,0.011111111111111183,0.0040000000000000036,1.1102230246251565e-16,-1.1102230246251565e-16,0.011111111111111183,0.00666666666666671,0.00666666666666671,-0.0013333333333332975
67,67,0.8355555555555556,0.7701863354037267,0.8106407322654462,0.9029911735861392,-0.007555555555555538,-0.002666666666666595,-0.0013333333333334085,0.0022222222222223476,0.034666666666666734,-0.003555555555555534,0.001777777777777878,0.0004444444444443585,-0.004888888888888943,0.001777777777777656,0.019555555555555548,0.008444444444444477
68,68,0.8444444444444444,0.7878787878787878,0.8231856815952926,0.9083850931677018,-0.0013333333333334085,-0.0022222222222222365,0.001777777777777656,0.002666666666666484,0.019555555555555548,0.01288888888888895,0.014666666666666606,0.0119999999999999,0.027999999999999914,0.008444444444444477,0.021777777777777785,0.008444444444444477
69,69,0.84,0.7777777777777778,0.8160755148741419,0.9127983000980713,-0.020000000000000018,-1.1102230246251565e-16,-0.007111111111111068,-0.0013333333333334085,-0.0022222222222222365,-0.0013333333333332975,0.005777777777777771,-0.009777777777777774,0.10444444444444434,0.007111111111111068,0.003555555555555534,-0.01911111111111119
70,70,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9122262177182084,0.0004444444444443585,0.0,-0.0022222222222222365,-0.001777777777777878,-0.009333333333333416,0.0031111111111110645,-0.0004444444444443585,0.009777777777777663,0.07822222222222219,0.0057777777777776596,0.005333333333333301,0.005333333333333301
71,71,0.8844444444444445,0.8488372093023255,0.8704233409610984,0.9162307943772475,0.016888888888888842,0.0,0.00622222222222224,0.0,0.00088888888888905,0.01822222222222225,-0.00044444444444458053,0.0013333333333332975,0.16622222222222227,0.021777777777777785,0.01244444444444437,-0.000888888888888828
72,72,0.8311111111111111,0.7654320987654321,0.8068813337692056,0.9053612291598562,-0.007111111111111068,0.005333333333333412,0.0,0.0031111111111111756,-0.012888888888888839,0.015555555555555656,-0.002666666666666595,-0.008444444444444366,0.01644444444444426,-0.007111111111111179,-0.005777777777777882,0.05111111111111111
73,73,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9105099705786205,0.004444444444444473,1.1102230246251565e-16,0.000888888888888717,-0.0031111111111109535,0.003555555555555534,0.010666666666666602,0.0022222222222221255,0.0013333333333332975,0.09422222222222221,0.008000000000000118,0.005333333333333412,0.008888888888888946
74,74,0.8711111111111111,0.8361581920903954,0.8608205295848317,0.9199084668192219,0.0031111111111109535,0.0,-0.0004444444444444695,0.001777777777777767,0.000888888888888828,-0.00622222222222224,0.0004444444444443585,-0.003555555555555534,0.057333333333333236,-0.007111111111111179,0.016444444444444373,-0.01288888888888895
75,75,0.8444444444444444,0.7928994082840237,0.8265364498202027,0.9262013729977118,-0.01244444444444448,-0.005333333333333523,-0.005333333333333523,-0.005777777777777771,-0.0119999999999999,-0.006222222222222129,-0.019999999999999907,-0.008000000000000007,-0.009777777777777885,-0.002666666666666706,-0.0022222222222222365,-0.005777777777777771
76,76,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8943282118339327,-0.008444444444444477,-0.006222222222222351,-0.0031111111111110645,-0.000888888888888828,-0.00711111111111129,0.0,-0.006222222222222351,0.001777777777777656,0.000888888888888828,0.001777777777777656,-0.005777777777777771,0.0031111111111110645
