,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled
65,65,0.730593607305936,0.5693430656934306,0.6883344744950359,0.9103902773022937,0.005022831050228382,0.018721461187214627,0.018721461187214627,0.012328767123287565
66,66,0.5799086757990868,0.0,0.5,0.7098596371105785,0.0,0.0,0.0,0.0
67,67,0.7625570776255708,0.6578947368421053,0.7323690516946251,0.8264293050325231,-0.004109589041095929,0.004109589041095929,0.010045662100456654,-0.004566210045662045
68,68,0.5799086757990868,0.0,0.5,0.6452413557001028,0.0,0.0,0.0,0.0
69,69,0.5799086757990868,0.0,0.5,0.7117425539198905,0.0,0.0,0.0,0.0
70,70,0.8401826484018264,0.8148148148148148,0.8397381033892503,0.9180931187949333,0.03150684931506842,0.04292237442922375,0.026940639269406486,0.06484018264840175
71,71,0.5799086757990868,0.0,0.5,0.8958404655939747,0.0,0.0,0.0,0.0
72,72,0.8493150684931506,0.8290155440414507,0.8521054433413214,0.8836015063334474,-0.008675799086757974,0.03196347031963476,0.020547945205479312,0.09771689497716884
73,73,0.7579908675799086,0.6535947712418301,0.7284320438206093,0.891133173570695,-0.005022831050228382,0.005936073059360614,0.045205479452054775,0.04885844748858448
74,74,0.5799086757990868,0.0,0.5,0.8283122218418348,0.0,0.0,0.0,0.0
75,75,0.5799086757990868,0.0,0.5,0.8062307428962684,0.0,0.0,0.0,0.0
76,76,0.5799086757990868,0.0,0.5,0.8945566586785346,0.0,0.0,0.0,0.0
77,77,0.5799086757990868,0.0,0.5,0.4303320780554605,0.0,0.0,0.0,0.0
78,78,0.6940639269406392,0.42735042735042733,0.6358695652173914,0.8859979459089352,-0.01461187214611881,0.008219178082191747,0.02237442922374422,0.03515981735159812
79,79,0.7488584474885844,0.6153846153846154,0.7115713796644985,0.7489729544676481,0.021461187214611877,0.015068493150684925,0.03835616438356171,0.015525114155251263
80,80,0.7488584474885844,0.6405228758169934,0.719060253337898,0.8968675111263267,-0.008675799086758085,0.05890410958904102,0.02511415525114158,0.07899543378995422
81,81,0.5799086757990868,0.0,0.5,0.5104416295789114,0.0,0.0,0.0,0.0
82,82,0.8493150684931506,0.8216216216216217,0.8461143444026018,0.8022937350222527,-0.026484018264840148,0.04063926940639262,0.3360730593607306,0.41643835616438357
83,83,0.7579908675799086,0.6936416184971098,0.7434097911674085,0.781752824375214,-0.06438356164383552,0.08538812785388128,0.08858447488584476,0.07899543378995433
84,84,0.726027397260274,0.5384615384615384,0.6784063676823007,0.7149092776446423,0.004566210045662156,0.045662100456621,0.06301369863013706,0.05159817351598184
85,85,0.7031963470319634,0.48,0.6512324546388224,0.9071379664498459,-0.012785388127854014,0.016438356164383605,0.021917808219178103,0.022831050228310557
86,86,0.7442922374429224,0.6705882352941176,0.7271054433413214,0.8515919205751454,-0.033333333333333215,-0.010045662100456543,0.007305936073059405,0.11278538812785388
87,87,0.8310502283105022,0.8082901554404145,0.8333618623758987,0.8928021225607669,-0.03561643835616435,0.08767123287671219,0.27305936073059356,0.17031963470319633
88,88,0.7990867579908676,0.7582417582417582,0.7923228346456692,0.905426223895926,-0.04429223744292221,0.020547945205479534,0.06210045662100461,0.14840182648401834
89,89,0.776255707762557,0.7231638418079096,0.765148921602191,0.8473981513180419,-0.05890410958904113,0.00913242009132409,0.022831050228310557,0.057077625570776114
90,90,0.6438356164383562,0.2641509433962264,0.5760869565217391,0.7464909277644642,-0.00639269406392684,0.009589041095890427,0.012785388127853792,0.012785388127853903
91,91,0.5799086757990868,0.0,0.5,0.7201300924340979,0.0,0.0,0.0,0.0
92,92,0.771689497716895,0.647887323943662,0.734251968503937,0.9076514892160219,0.012328767123287676,0.03561643835616446,0.042465753424657526,0.07625570776255708
93,93,0.5799086757990868,0.0,0.5,0.7123416638137624,0.0,0.0,0.0,0.0
94,94,0.7123287671232876,0.5039370078740157,0.6621020198562136,0.8792365628209516,-0.00502283105022816,0.03378995433789944,0.036073059360730575,0.07214611872146115
95,95,0.7808219178082192,0.7303370786516854,0.7705837042108867,0.8719616569667921,-0.031050228310502193,-0.017808219178082174,0.0031963470319635867,0.022831050228310557
96,96,0.5799086757990868,0.0,0.5,0.4971756247860322,0.0,0.0,0.0,0.0
97,97,0.6621004566210046,0.32727272727272727,0.5978260869565217,0.7245806230742896,0.005936073059360836,0.0182648401826484,0.031050228310502304,0.02648401826484026
98,98,0.7442922374429224,0.6056338028169014,0.7061365970558028,0.8148750427935639,0.01598173515981738,0.008219178082191747,0.016894977168949832,0.006849315068493178
99,99,0.6301369863013698,0.21359223300970873,0.5597826086956522,0.8206949674768914,-0.007305936073059294,-0.004566210045662156,0.005479452054794609,0.004109589041095929
100,100,0.6666666666666666,0.34234234234234234,0.6032608695652174,0.8675967134542965,0.005022831050228382,0.015068493150684925,0.030593607305936077,0.03424657534246578
101,101,0.817351598173516,0.7849462365591398,0.8140619650804519,0.9146696336870934,-0.033333333333333326,0.009589041095890427,0.10913242009132429,0.03196347031963476
102,102,0.7808219178082192,0.7073170731707317,0.7600992810681273,0.9162957891133173,-0.014611872146118587,-0.017351598173515947,0.03698630136986303,0.031050228310502415
103,103,0.771689497716895,0.691358024691358,0.749229715850736,0.844402601848682,-0.007305936073059294,0.020091324200913196,0.038812785388127824,0.07031963470319635
104,104,0.7168949771689498,0.7350427350427351,0.7469188634029442,0.8136768230058199,-0.0420091324200913,-0.025114155251141468,0.16849315068493154,0.14155251141552516
105,105,0.6757990867579908,0.37168141592920356,0.6141304347826086,0.716706607326258,0.0022831050228309113,0.0022831050228311334,0.022831050228310446,0.02237442922374422
106,106,0.7899543378995434,0.7386363636363636,0.7784577199589182,0.8295960287572749,-0.03378995433789955,0.03972602739726039,0.04977168949771693,0.05296803652968041
107,107,0.7808219178082192,0.68,0.7496148579253681,0.8895926052721671,-0.0031963470319633647,0.05616438356164388,0.01735159817351606,0.03835616438356171
108,108,0.8127853881278538,0.768361581920904,0.8026360835330366,0.8851420746319753,0.07077625570776258,0.045205479452054775,0.13926940639269414,0.11461187214611879
109,109,0.5799086757990868,0.0,0.5,0.6015919205751455,0.0,0.0,0.0,0.0
110,110,0.8036529680365296,0.7542857142857143,0.7917665183156453,0.8807771311194798,0.028310502283105055,0.055707762557077545,0.07625570776255708,0.11324200913242011
111,111,0.726027397260274,0.5652173913043478,0.6843974666210202,0.7440089010612805,0.014155251141552583,0.005936073059360836,0.005936073059360836,0.02648401826484026
112,112,0.5799086757990868,0.0,0.5,0.6751112632660048,0.0,0.0,0.0,0.0
113,113,0.7899543378995434,0.7415730337078652,0.779955494693598,0.9031153714481341,-0.041095890410958735,0.03424657534246578,0.058447488584474905,0.026940639269406375
114,114,0.684931506849315,0.42016806722689076,0.6279955494693599,0.6962512838069154,0.004566210045662045,0.02237442922374433,0.01461187214611881,0.037442922374429255
115,115,0.7351598173515982,0.5857142857142857,0.6952670318384115,0.8543307086614172,0.01689497716894961,0.001369863013698791,0.013242009132420018,0.004566210045662045
