,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
48,48,0.9037656903765691,0.883248730964467,0.9116015971606033,0.9687222715173026,-0.0008368200836817996,0.01673640167364021,0.01673640167364021,0.010878661087866281,0.04184100418410042,0.038912133891213396,0.03974895397489542,0.028033472803347448,0.032217573221757445,0.08242677824267775,0.01297071129707128,0.056903765690376584
49,49,0.9121338912133892,0.8955223880597015,0.9245045844424726,0.9736764270925762,0.0158995815899583,0.016317991631799367,0.040167364016736484,0.02384937238493734,0.16234309623430965,0.05857740585774063,0.05648535564853563,0.06903765690376562,0.36401673640167365,0.13514644351464433,0.06945606694560669,0.12050209205020934
50,50,0.9037656903765691,0.882051282051282,0.9095681750961254,0.9690919846199348,0.0029288702928872423,0.020083682008368187,0.028870292887029247,0.025523012552301272,0.09539748953974891,0.09916317991631807,0.08786610878661094,0.021757322175732452,0.1313807531380754,0.10334728033472806,0.03723849372384935,0.030962343096234357
51,51,0.8786610878661087,0.8557213930348259,0.8891600118308194,0.9638420585625554,-0.013389121338912124,0.025104602510460206,-0.017154811715481055,-0.01087866108786606,0.07615062761506275,0.09832635983263605,0.04184100418410042,0.003765690376569042,0.12008368200836828,0.0912133891213387,0.008368200836820106,0.04142259414225946
52,52,0.9037656903765691,0.8866995073891626,0.9177018633540373,0.9591836734693877,0.007531380753138195,0.015062761506276279,0.028033472803347448,0.011297071129707237,0.02594142259414245,0.07573221757322168,0.025523012552301272,-0.008368200836820328,0.19205020920502103,0.09121338912133892,0.04142259414225935,0.042259414225941594
53,53,0.9079497907949791,0.8888888888888888,0.9170363797692991,0.9762644188110028,-0.0008368200836821327,0.033054393305439356,0.030962343096234246,0.009623430962343194,0.23096234309623442,0.1343096234309623,0.09748953974895391,0.01297071129707128,0.35104602510460237,0.09330543933054392,0.12635983263598327,0.04979079497907957
54,54,0.8786610878661087,0.8599033816425121,0.8952602780242531,0.9523070097604258,0.0016736401673640433,-0.001255230125522866,0.0179916317991633,-0.010460251046025104,0.10251046025104604,0.041004184100418284,0.004184100418410108,-0.001255230125522866,0.2267782426778242,0.09790794979079487,0.03640167364016722,0.020083682008368298
55,55,0.9163179916317992,0.9,0.9279059449866903,0.9721975746820468,0.0071129707112970175,0.0046025104602509526,0.020083682008368298,0.011297071129707126,0.02677824267782436,0.013389121338912346,0.007531380753138195,0.0033472803347278646,0.2669456066945607,0.11297071129707104,0.07907949790794988,0.0158995815899583
56,56,0.8870292887029289,0.8615384615384616,0.8918958887902987,0.9619195504288671,-0.0029288702928871313,-0.0016736401673639323,-0.003765690376568931,-0.0029288702928870203,0.12552301255230125,0.011715481171548192,0.006694560669456062,-0.0020920502092049986,-0.0008368200836820217,0.030543933054393402,0.01380753138075319,-0.0008368200836821327
57,57,0.9079497907949791,0.89,0.919069801833777,0.9672434191067731,-0.001255230125522977,0.01589958158995819,0.03054393305439318,0.017154811715481277,0.022175732217573185,0.04435146443514637,0.03138075313807542,0.0020920502092051096,0.12845188284518827,0.0682008368200836,0.023430962343096273,0.0016736401673640433
58,58,0.8786610878661087,0.8585365853658536,0.8932268559597752,0.9622892635314996,-0.0004184100418409553,0.012552301255230103,0.04644351464435137,-0.0071129707112971285,0.07907949790794955,0.08786610878661072,0.05313807531380743,0.0167364016736401,0.3539748953974896,0.10334728033472795,0.05941422594142254,0.09958158995815902
59,59,0.8619246861924686,0.835820895522388,0.8714877255249927,0.9367790594498668,-0.0008368200836820217,0.001255230125523199,0.0016736401673641543,0.005857740585774152,1.1102230246251565e-16,0.008368200836820106,0.006276150627615107,0.0016736401673641543,0.009623430962343194,0.005439330543933196,0.003765690376569153,0.002510460251046176
60,60,0.8870292887029289,0.8708133971291866,0.9061298432416445,0.9614758947057084,-0.0033472803347279756,0.033054393305439356,0.051046025104602544,0.004602510460251064,0.013389121338912235,0.10418410041840986,0.07489539748953966,0.002510460251046065,0.22928870292887016,0.1585774058577406,0.13682008368200838,0.014225941422594146
61,61,0.9121338912133892,0.8944723618090452,0.9224711623779946,0.9723454599230997,0.005857740585774374,0.02175732217573234,0.014644351464435323,0.00502092050209213,0.12761506276150625,0.07531380753138084,0.05230125523012563,0.03347280334728031,0.3330543933054393,0.14769874476987455,0.07112970711297062,0.06778242677824264
62,62,0.8535564853556485,0.8223350253807107,0.8585847382431233,0.9577787636793849,-0.009205020920501905,0.002510460251046065,0.0,0.01966527196652723,0.102928870292887,0.029288702928870425,0.03556485355648542,0.00711297071129724,0.2920502092050209,0.06025104602510467,-0.003765690376568931,0.003765690376569042
63,63,0.8577405857740585,0.8333333333333334,0.8701197870452528,0.8905649216208222,-0.004184100418409997,0.003765690376569042,0.0,0.0016736401673640433,-0.0020920502092049986,0.012552301255229992,0.01589958158995808,0.006694560669456062,-0.003765690376569153,0.005439330543933085,0.007531380753138084,0.0029288702928870203
64,64,0.9205020920502092,0.9054726368159204,0.933340727595386,0.9716799763383615,0.0008368200836817996,0.021338912133891386,0.03138075313807531,0.028033472803347337,0.06443514644351467,0.07405857740585764,0.006694560669456173,0.013389121338912124,0.13263598326359838,0.06820083682008371,0.046861924686192546,0.06359832635983265
65,65,0.899581589958159,0.8823529411764706,0.9143005028098196,0.9675391895888791,0.004184100418410108,0.051882845188284454,0.017154811715481166,-0.0008368200836819106,0.20460251046025102,0.11255230125522997,0.03138075313807509,0.004184100418410108,0.27364016736401675,0.15690376569037656,0.10251046025104593,-0.001255230125522866
66,66,0.8786610878661087,0.8625592417061612,0.8993271221532091,0.9665779355220349,0.0016736401673640433,0.025104602510460206,-0.009623430962343305,-0.0033472803347280866,-0.001255230125523088,0.10962343096234295,0.030962343096234246,0.0029288702928869093,0.40083682008368193,0.1439330543933054,0.09037656903765678,0.09581589958158987
