,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled
106,106,0.7511111111111111,0.6363636363636364,0.7174321673749591,0.885665250081726,-0.0031111111111111756,0.07822222222222219,0.0968888888888888,0.11066666666666669
107,107,0.7822222222222223,0.7167630057803468,0.765527950310559,0.8712814645308924,0.011555555555555541,0.052888888888888985,0.08977777777777785,0.09244444444444444
108,108,0.7244444444444444,0.5866666666666667,0.6864988558352403,0.8828865642366787,-0.029333333333333433,0.07199999999999995,0.08311111111111102,0.0835555555555555
109,109,0.7466666666666667,0.6415094339622641,0.7170235371036286,0.8826413860738804,-0.012888888888888839,0.047111111111111104,0.07111111111111101,0.10177777777777786
110,110,0.8133333333333334,0.7717391304347826,0.8069221967963387,0.8646616541353384,-0.03155555555555567,0.06133333333333335,0.11111111111111105,0.1319999999999999
111,111,0.7555555555555555,0.6745562130177515,0.7345946387708402,0.8588591042824452,0.022222222222222254,0.0431111111111111,0.10399999999999998,0.0942222222222221
112,112,0.7555555555555555,0.6745562130177515,0.7345946387708402,0.8604936253677673,0.04355555555555546,0.06755555555555559,0.10488888888888892,0.11777777777777776
113,113,0.8,0.7513812154696132,0.7906178489702517,0.8707911082052958,-0.03200000000000003,0.068888888888889,0.08755555555555561,0.10044444444444456
114,114,0.7422222222222222,0.6282051282051282,0.7099133703824779,0.8885256619810395,-0.012888888888888839,0.05066666666666664,0.07866666666666666,0.11199999999999999
115,115,0.7866666666666666,0.7272727272727273,0.7726381170317097,0.8683393265773129,0.01822222222222214,0.05111111111111111,0.0888888888888888,0.05999999999999994
116,116,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8816606734226872,-0.010666666666666713,0.05022222222222217,0.04399999999999993,0.07733333333333337
117,117,0.7288888888888889,0.5850340136054422,0.6885828702190259,0.8895063746322328,-0.004444444444444362,0.06488888888888888,0.10266666666666668,0.10133333333333328
118,118,0.7822222222222223,0.7262569832402235,0.7705541026479241,0.8196305982347173,0.01911111111111119,0.10311111111111115,0.10799999999999998,0.11066666666666658
119,119,0.7111111111111111,0.5911949685534591,0.6802468126838837,0.8666230794377248,0.020000000000000018,0.034666666666666734,0.0768888888888889,0.06933333333333336
120,120,0.7333333333333333,0.6296296296296297,0.7057453416149069,0.8655606407322655,0.032888888888888745,0.07644444444444431,0.08799999999999986,0.08222222222222209
121,121,0.7555555555555555,0.6745562130177515,0.7345946387708402,0.8657240928407977,0.013777777777777667,0.06444444444444442,0.09555555555555562,0.10799999999999998
122,122,0.76,0.6823529411764706,0.7400294213795358,0.8710362863680943,0.007555555555555538,0.052444444444444405,0.058222222222222175,0.08666666666666656
123,123,0.7777777777777778,0.7126436781609196,0.7617685518143185,0.8698103955541026,-0.000888888888888828,0.03111111111111109,0.0768888888888889,0.09244444444444455
124,124,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8770022883295194,0.0,0.0377777777777778,0.07066666666666677,0.07644444444444443
125,125,0.7955555555555556,0.7444444444444445,0.785183066361556,0.8604118993135011,0.008444444444444477,0.06355555555555559,0.07866666666666666,0.09199999999999997
126,126,0.8,0.7513812154696132,0.7906178489702517,0.8568159529257927,-0.029777777777777792,0.06177777777777782,0.08800000000000008,0.08977777777777785
127,127,0.7244444444444444,0.6172839506172839,0.6965511605099706,0.8644982020268062,0.02577777777777779,0.06044444444444441,0.09066666666666678,0.10711111111111116
128,128,0.7688888888888888,0.6941176470588235,0.7492236024844721,0.8596763648251062,0.04133333333333333,0.05599999999999994,0.09377777777777785,0.12355555555555542
129,129,0.7422222222222222,0.6463414634146342,0.7166149068322981,0.8717718208564891,-0.027111111111111197,0.011555555555555541,0.05466666666666664,0.06444444444444442
130,130,0.7955555555555556,0.7415730337078652,0.783507682249101,0.8590225563909774,0.005333333333333301,0.06177777777777782,0.10577777777777775,0.11288888888888893
131,131,0.7155555555555555,0.5844155844155844,0.6806554429552141,0.8590225563909775,-0.014222222222222247,0.07111111111111101,0.09244444444444433,0.09022222222222209
132,132,0.8133333333333334,0.7692307692307693,0.8052468126838837,0.8703007518796992,0.000888888888888939,0.07511111111111113,0.12177777777777776,0.10711111111111116
133,133,0.8088888888888889,0.7650273224043715,0.801487414187643,0.8756129454069957,-0.03200000000000003,0.0888888888888889,0.10177777777777774,0.10488888888888892
134,134,0.7688888888888888,0.675,0.7408466819221968,0.8759398496240602,0.006222222222222129,0.0484444444444444,0.09733333333333316,0.07022222222222207
135,135,0.7955555555555556,0.7415730337078652,0.783507682249101,0.8563255966001962,0.005777777777777771,0.08000000000000007,0.10755555555555552,0.09555555555555562
136,136,0.72,0.6086956521739131,0.691116377901275,0.8467636482510625,0.007111111111111068,0.07022222222222219,0.10533333333333328,0.10044444444444434
137,137,0.7466666666666667,0.632258064516129,0.7136727688787186,0.8831317423994771,-0.015111111111111075,0.06000000000000005,0.07644444444444454,0.1146666666666668
138,138,0.7288888888888889,0.6257668711656442,0.7019859431186662,0.853792088917947,0.041333333333333444,0.08266666666666656,0.09644444444444455,0.09200000000000008
139,139,0.7777777777777778,0.7126436781609196,0.7617685518143185,0.8718535469107551,0.028888888888888853,0.06533333333333335,0.09466666666666668,0.09955555555555562
140,140,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8622098725073554,0.01288888888888895,0.039999999999999925,0.11333333333333329,0.10799999999999998
141,141,0.7111111111111111,0.5751633986928104,0.6752206603465185,0.8639261196469434,-0.01244444444444437,0.07733333333333325,0.06311111111111112,0.09066666666666678
142,142,0.8133333333333334,0.7717391304347826,0.8069221967963387,0.8664596273291926,-0.022222222222222254,0.08444444444444443,0.09866666666666668,0.11644444444444446
143,143,0.76,0.6823529411764706,0.7400294213795358,0.8657240928407977,0.01333333333333342,0.059111111111111114,0.08044444444444443,0.10044444444444434
144,144,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8672768878718535,-0.030666666666666842,0.07866666666666666,0.10755555555555552,0.09644444444444444
145,145,0.7422222222222222,0.6419753086419753,0.7149395227198431,0.8694834913370382,-0.0022222222222222365,0.06755555555555559,0.0715555555555556,0.08933333333333338
146,146,0.8133333333333334,0.7692307692307693,0.8052468126838837,0.884030728996404,-0.014666666666666717,0.040888888888888864,0.09022222222222231,0.09333333333333338
147,147,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8631088591042825,0.0048888888888887205,0.04222222222222216,0.0848888888888889,0.10266666666666657
148,148,0.7688888888888888,0.675,0.7408466819221968,0.8837038247793396,0.008888888888888835,0.03866666666666674,0.0848888888888889,0.08177777777777773
149,149,0.7777777777777778,0.7126436781609196,0.7617685518143185,0.8597580908793724,0.011555555555555541,0.05155555555555558,0.07733333333333337,0.11822222222222212
150,150,0.8044444444444444,0.7582417582417582,0.7960526315789473,0.84472049689441,0.0022222222222222365,0.1048888888888887,0.12177777777777765,0.11599999999999988
151,151,0.7866666666666666,0.7108433734939759,0.7642611964694344,0.8890977443609023,0.006666666666666599,0.032888888888888745,0.05644444444444441,0.09911111111111104
152,152,0.7244444444444444,0.6125,0.6948757763975155,0.8651520104609349,-0.01866666666666661,0.044888888888888756,0.06044444444444441,0.07733333333333337
153,153,0.7911111111111111,0.7374301675977654,0.7797482837528604,0.8616377901274926,-0.014222222222222136,0.05600000000000005,0.09955555555555551,0.08133333333333326
154,154,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8590225563909775,0.026666666666666727,0.0875555555555555,0.12888888888888883,0.1022222222222221
155,155,0.8044444444444444,0.7555555555555555,0.7943772474664923,0.8738966982674077,0.0022222222222222365,0.0417777777777778,0.10266666666666657,0.09466666666666668
156,156,0.7688888888888888,0.6976744186046512,0.7508989865969271,0.8670317097090553,0.02577777777777779,0.07644444444444454,0.11022222222222222,0.08044444444444432
157,157,0.7955555555555556,0.7444444444444445,0.785183066361556,0.863517489375613,-0.0431111111111111,0.04533333333333334,0.07422222222222219,0.09111111111111114
158,158,0.76,0.686046511627907,0.7417048054919908,0.8680941484145145,0.03288888888888897,0.06533333333333335,0.06400000000000006,0.09777777777777763
159,159,0.76,0.6931818181818182,0.7450555737169009,0.8394083033671135,0.020000000000000018,0.0862222222222222,0.07377777777777783,0.13111111111111118
160,160,0.7777777777777778,0.7126436781609196,0.7617685518143185,0.8664596273291927,0.03555555555555556,0.058222222222222286,0.10088888888888892,0.11155555555555552
161,161,0.7822222222222223,0.7231638418079096,0.7688787185354691,0.8628636809414841,-0.012888888888888839,0.05422222222222228,0.09155555555555561,0.12977777777777777
162,162,0.7111111111111111,0.5859872611464968,0.6785714285714286,0.8637626675384112,-0.0022222222222222365,0.06088888888888888,0.059555555555555584,0.08044444444444443
163,163,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8774109186008501,-0.0004444444444444695,0.04533333333333345,0.07866666666666666,0.08933333333333338
164,164,0.7288888888888889,0.6257668711656442,0.7019859431186662,0.8613926119646943,0.022222222222222254,0.07777777777777783,0.09333333333333327,0.06533333333333335
165,165,0.68,0.52,0.640527950310559,0.852974828375286,-0.008888888888888835,0.027111111111111197,0.0484444444444444,0.04355555555555557
166,166,0.7555555555555555,0.6745562130177515,0.7345946387708402,0.8574697613599216,0.01822222222222225,0.04755555555555557,0.08799999999999997,0.08311111111111102
167,167,0.7555555555555555,0.6706586826347305,0.7329192546583851,0.8618012422360248,0.015111111111111075,0.07466666666666666,0.10844444444444434,0.11866666666666659
168,168,0.7155555555555555,0.6,0.6856815952925792,0.8571428571428571,0.025333333333333208,0.058222222222222175,0.05688888888888877,0.08666666666666667
169,169,0.8133333333333334,0.7692307692307693,0.8052468126838837,0.8786368094148415,-0.005777777777777771,0.059555555555555584,0.06755555555555548,0.07422222222222208
170,170,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8731611637790128,0.033333333333333215,0.08177777777777784,0.09999999999999998,0.09333333333333327
171,171,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8623733246158876,0.027111111111111197,0.07822222222222219,0.10133333333333328,0.0888888888888889
172,172,0.7244444444444444,0.6172839506172839,0.6965511605099706,0.8627002288329519,0.021777777777777674,0.05022222222222228,0.08711111111111125,0.06755555555555548
173,173,0.8044444444444444,0.7582417582417582,0.7960526315789473,0.8667865315462568,-0.011555555555555652,0.06444444444444442,0.09599999999999997,0.11555555555555552
174,174,0.7822222222222223,0.72,0.767203334423014,0.870137299771167,0.015555555555555545,0.04133333333333333,0.07466666666666677,0.10355555555555551
175,175,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8556717881660674,0.02355555555555544,0.0617777777777776,0.07955555555555549,0.0915555555555555
176,176,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8642530238640078,0.004444444444444473,0.07377777777777772,0.09866666666666668,0.10755555555555552
177,177,0.7688888888888888,0.6976744186046512,0.7508989865969271,0.8575514874141876,0.019999999999999907,0.04311111111111099,0.06933333333333336,0.10311111111111104
178,178,0.7822222222222223,0.7231638418079096,0.7688787185354691,0.8811703170970905,-0.014666666666666717,0.0311111111111112,0.05733333333333346,0.052888888888888874
179,179,0.6888888888888889,0.6354166666666666,0.6849051977770513,0.7723112128146453,-0.009333333333333305,0.027555555555555444,0.040000000000000036,0.06311111111111112
180,180,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8716900948022229,-0.003555555555555534,0.04888888888888898,0.0795555555555556,0.08622222222222209
