,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
20,20,0.8454106280193237,0.813953488372093,0.8369565217391304,0.8758034026465028,-0.007729468599033895,0.0024154589371980784,0.0019323671497584183,0.005797101449275366,-0.016425120772947,0.004347826086956608,-0.005314009661835706,-0.0028985507246377384,0.01256038647342994,0.010144927536231974,-0.0028985507246377384,-0.0019323671497585293
21,21,0.7246376811594203,0.7574468085106383,0.7489130434782609,0.9415879017013232,-0.008212560386473333,0.01642512077294689,0.01256038647342994,0.018357487922705418,0.25458937198067627,0.008695652173913104,0.0024154589371981894,0.0019323671497585293,0.23719806763285028,0.008212560386473333,0.009661835748792313,-0.0033816425120772875
22,22,0.8405797101449275,0.8023952095808383,0.8293478260869565,0.9378071833648393,-0.0019323671497585293,-0.0009661835748793202,-0.004830917874396157,-0.0028985507246377384,-0.01449275362318847,-0.0038647342995169476,-0.010628019323671634,-0.007729468599033895,-0.0038647342995169476,0.0004830917874396601,-0.006763285024154686,-0.012560386473430052
23,23,0.8454106280193237,0.8431372549019608,0.8543478260869566,0.9293950850661625,-0.004830917874396157,0.01642512077294689,0.01352657004830915,0.01352657004830915,0.2855072463768116,0.02898550724637672,0.011594202898550732,0.012077294685990392,0.2908212560386474,0.03091787439613536,0.025120772946859993,0.01594202898550723
24,24,0.8840579710144928,0.88,0.8913043478260869,0.9537807183364838,0.010628019323671523,0.010144927536231862,0.013043478260869601,0.019806763285024176,0.07149758454106281,0.013526570048309261,0.009178743961352653,0.009178743961352653,0.28260869565217395,0.020289855072463725,0.011594202898550843,0.006763285024154686
25,25,0.9130434782608695,0.9,0.9097826086956522,0.9266540642722118,-0.018357487922705418,0.00048309178743954906,0.0009661835748792091,0.0,0.009178743961352542,0.008695652173913104,-0.0033816425120773985,0.00048309178743954906,0.009178743961352542,0.016908212560386437,0.0014492753623187582,0.0009661835748789871
26,26,0.642512077294686,0.7063492063492064,0.675,0.8513232514177693,-0.038647342995169254,-0.0024154589371980784,-0.0024154589371980784,0.0009661835748792091,0.18019323671497578,0.030917874396135137,0.0270531400966183,0.024154589371980673,0.15942028985507234,0.01207729468599028,0.009178743961352653,0.010628019323671523
27,27,0.8067632850241546,0.8058252427184466,0.816304347826087,0.8727788279773155,-0.051207729468599084,-0.0028985507246377384,-0.0014492753623187582,-0.0038647342995169476,0.29661835748792276,0.02801932367149762,0.020772946859903385,0.01690821256038655,0.23623188405797102,0.02898550724637683,0.01739130434782621,0.013043478260869601
28,28,0.8357487922705314,0.8191489361702128,0.8358695652173913,0.9282608695652174,-0.02898550724637683,0.007246376811594235,0.011594202898550843,0.006763285024154686,0.2657004830917875,0.005314009661835928,-0.0014492753623186472,-0.005314009661835595,0.23623188405797102,0.03864734299516914,0.010628019323671634,-0.0033816425120771765
29,29,0.6521739130434783,0.41935483870967744,0.6152173913043478,0.8359168241965973,0.02608695652173909,0.0038647342995168366,0.0038647342995168366,0.004830917874396157,0.01594202898550723,0.009661835748792313,0.007246376811594235,0.010628019323671523,0.057487922705314,-0.0019323671497585293,0.009661835748792313,0.011111111111111072
30,30,0.8840579710144928,0.8736842105263158,0.8858695652173914,0.9448960302457468,-0.0019323671497584183,0.011111111111111072,0.019323671497584516,0.020289855072463725,0.24975845410628017,0.021739130434782594,0.019806763285024176,0.015458937198067568,0.25990338164251214,0.033816425120772986,0.01497584541062802,0.01449275362318847
31,31,0.8309178743961353,0.8167539267015707,0.8326086956521739,0.9256143667296785,-0.03140096618357491,-0.0024154589371979673,-0.0019323671497584183,0.005797101449275477,0.2840579710144928,0.010144927536231862,0.005314009661835706,0.009661835748792202,0.23913043478260876,0.023188405797101463,0.0019323671497585293,0.006763285024154686
32,32,0.8599033816425121,0.8527918781725888,0.8652173913043478,0.9382797731568998,-0.018357487922705307,0.018840579710145078,0.018840579710145078,0.022705314009662025,0.2560386473429952,0.03043478260869581,0.01690821256038655,0.007246376811594235,0.31932367149758467,0.020772946859903496,0.01594202898550734,0.020289855072463836
33,33,0.855072463768116,0.8387096774193549,0.8543478260869566,0.9289224952741021,-0.017874396135265758,0.017391304347826098,0.010144927536231974,0.014009661835748921,0.17294685990338166,0.011111111111111183,0.005314009661835817,0.005797101449275366,0.15603864734299533,0.025120772946859993,0.008212560386473555,0.007246376811594235
34,34,0.8115942028985508,0.8020304568527918,0.816304347826087,0.9182419659735349,-0.04057971014492756,0.013043478260869601,0.01690821256038655,0.01642512077294689,0.2777777777777779,0.007729468599033895,0.0,0.0024154589371981894,0.24927536231884062,0.02995169082125615,0.01449275362318847,0.0019323671497584183
35,35,0.8599033816425121,0.8497409326424871,0.8630434782608696,0.9408317580340264,-0.04299516908212553,0.013043478260869712,0.010628019323671523,0.020289855072463836,0.327536231884058,0.050724637681159535,0.023671497584541235,0.01449275362318847,0.28695652173913055,0.06811594202898563,0.05458937198067648,0.023671497584541235
36,36,0.7971014492753623,0.7961165048543689,0.8065217391304348,0.9158790170132326,-0.038164251207729594,0.016908212560386437,0.022705314009661914,0.02705314009661841,0.2623188405797102,0.024154589371980673,0.01690821256038655,0.013526570048309261,0.24154589371980673,0.0270531400966183,0.033333333333333326,0.007729468599033895
37,37,0.8599033816425121,0.8481675392670157,0.8619565217391305,0.9279773156899811,-0.008695652173912993,-0.00048309178743954906,0.0033816425120773985,0.0004830917874396601,0.21111111111111114,0.008695652173912993,0.010628019323671523,0.009661835748792313,0.25990338164251214,0.0038647342995168366,0.008212560386473555,-0.0028985507246377384
