,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled
13,13,0.8353909465020576,0.8330304952148984,0.8009202453987729,0.913803680981595,1.3686590116392678,1.2035001154502558,1.3904727885602097,1.317817009959227,0.2666933074845447,0.07119341563786004,0.013991769547325072,0.020987654320987627,0.028806584362139908
14,14,0.9135802469135802,0.9145282629340601,0.9123767798466593,0.956657800031294,1.8094405973512506,0.8936317137343408,0.9465187521495173,1.6386295174396455,0.1317516977363215,0.10329218106995879,0.046090534979423815,0.04197530864197526,0.0444444444444444
15,15,0.8888888888888888,0.8874162182573399,0.8677055702917772,0.948570586501621,1.679752715980239,0.8813355376984715,1.1148065887076506,1.8023177720241053,-0.011193865525435203,0.10288065843621394,0.012757201646090488,0.035802469135802414,0.04074074074074069
16,16,0.8600823045267489,0.8597737815574074,0.8491937805931471,0.9518427872156636,1.7094562932663706,0.7689746513588609,1.4530519795777044,1.2609422040194629,0.3357295868297017,0.11152263374485594,0.0028806584362139564,0.010288065843621375,0.009053497942386801
17,17,0.8683127572016461,0.865379080512005,0.8389699381078691,0.9249189507810198,1.4981329699058539,1.0655217448074872,1.611168998895553,1.4247484043929775,-0.13196751803957782,0.08847736625514406,0.019753086419753117,0.024691358024691402,0.033333333333333395
18,18,0.8683127572016461,0.8676432597249966,0.8534218590398366,0.9200350211586167,1.5356045494907178,0.9370420793466308,1.3836170641258556,1.993425234460043,-0.09930070002274008,0.1020576131687243,0.04609053497942393,0.038271604938271656,0.019341563786008265
19,19,0.8930041152263375,0.8936851473150041,0.884032634032634,0.9496503496503497,1.5173815685941636,1.0889151913599129,1.6929937175565402,1.5937721741251325,-0.33770557246192046,0.09711934156378606,0.03127572016460911,0.02839506172839511,0.03456790123456795
20,20,0.8395061728395061,0.8397896807482864,0.8151197604790419,0.9046643554995274,1.5388855151550596,1.1114360711312397,0.8318678866070097,1.4759883945203378,0.6037384773828968,0.07242798353909459,0.01975308641975304,0.05720164609053493,0.03168724279835387
21,21,0.9012345679012346,0.9000093007080671,0.8720214297137374,0.9252358867743483,1.5111689929252539,0.7058408410548983,1.9850224048699125,1.5969691669251835,-0.19975078867905724,0.13292181069958847,0.019753086419753107,0.043621399176954734,0.04403292181069961
22,22,0.8436213991769548,0.844733825383014,0.8369130499185307,0.9149014960746557,1.5262677238233164,0.9610422269990264,1.6438018113529913,1.671055281683661,-0.1713015023638181,0.10329218106995888,0.007407407407407451,0.01687242798353914,0.030864197530864244
23,23,0.8930041152263375,0.8926092494611013,0.8719665931295304,0.939253072801765,1.6273643353323979,0.9122404486014444,1.3224497683580003,1.3914352564130863,0.1632501060495751,0.10740740740740744,0.027983539094650234,0.04567901234567906,0.03168724279835396
24,24,0.8395061728395061,0.8392916447497345,0.8232113760924308,0.9231965634720782,2.2856414480551495,1.2250277590380756,1.4818139240055928,0.3628837777318473,0.09983195094329425,0.08806584362139912,0.008641975308641903,0.02921810699588472,0.02139917695473248
25,25,0.8847736625514403,0.8850868242280504,0.8754492362982929,0.945717280622941,1.7044741110220034,0.8649945816589946,1.528557636462101,1.7119407507412079,-0.2381143517380046,0.09465020576131686,0.024691358024691346,0.03497942386831273,0.014403292181069926
26,26,0.8641975308641975,0.8639047135650431,0.8323286540049546,0.9132947976878614,2.1517950150032177,0.7235401911376662,1.2881202995209633,1.6767376444659836,-0.1478590120562099,0.08724279835390944,0.009053497942386779,0.02469135802469131,0.017283950617283904
27,27,0.8477366255144033,0.8491212484710777,0.8286462530217567,0.8909750201450443,1.6254536319445327,1.1967377732250732,1.445312042402105,1.6477759988446063,-0.2693197079849204,0.07448559670781896,0.025514403292181097,0.05144032921810702,0.03539094650205763
28,28,0.9012345679012346,0.9015118742582054,0.8931099397590361,0.9496987951807229,1.2741080572415262,1.0293055873128987,1.3861913520874636,1.6462074073196422,0.05411969096937509,0.09876543209876544,0.01810699588477368,0.04279835390946503,0.028395061728395066
29,29,0.8353909465020576,0.8339390737051556,0.8196301564722617,0.9188477951635847,2.1272186123902626,0.8383887682528288,1.3045454815645998,1.197627636525751,0.03768972477235308,0.09835390946502053,0.008641975308641959,0.02551440329218104,0.009053497942386812
30,30,0.8559670781893004,0.8562068867439965,0.8364801864801865,0.9221445221445221,2.196946683982106,0.6381518944585879,1.4995024527914629,1.3041475230847877,-0.1423915629219899,0.08806584362139915,0.014814814814814814,0.039094650205761305,0.0127572016460905
31,31,0.8806584362139918,0.8813481472562805,0.8629385964912281,0.9467186484730343,1.8688720918466866,0.8161403872087334,1.1920480684068273,1.54524693485458,0.09803631421228988,0.07613168724279833,0.004115226337448552,0.03251028806584361,0.018106995884773668
32,32,0.8930041152263375,0.8933242438014442,0.882716049382716,0.9441396128638926,1.9641877444065592,0.555124705539211,0.904750809530683,1.6267688095811506,0.6253480083926253,0.11851851851851855,0.03621399176954737,0.046913580246913625,0.059670781893004156
33,33,0.897119341563786,0.8963377072806185,0.8792677448337826,0.9502845163222522,1.898411166963446,0.5854146543505485,1.7160043291370004,0.9216241984269973,0.5547963223851742,0.1049382716049383,0.04197530864197535,0.04650205761316874,0.022633744855967097
34,34,0.831275720164609,0.8296443167159552,0.8087976539589443,0.8972140762463343,1.8941743360885,0.7485455523949687,1.6960647944258227,1.1612148501962332,0.13188809267228707,0.08641975308641975,0.009465020576131666,0.02222222222222221,0.026748971193415638
35,35,0.8559670781893004,0.8557745529805308,0.8412087098207672,0.9151236853799437,1.3690514401633118,0.7293662174310073,1.6260461306801406,2.401008592260143,-0.38747833119255404,0.09465020576131686,0.0251028806584362,0.052674897119341556,0.030452674897119336
36,36,0.8724279835390947,0.870790019481143,0.8508797653958944,0.9354105571847507,1.7979571663964908,0.9541807064694215,1.6466600297329697,1.1337445185630612,0.09417620459042388,0.07242798353909466,0.016872427983539107,0.017283950617283973,0.014403292181069982
37,37,0.8683127572016461,0.8675969590836804,0.8516799292661361,0.927571470674919,1.4201908015503129,1.0171411887157291,1.9207116176703023,1.1643350547648887,-0.06176890613858229,0.111522633744856,0.018106995884773713,0.039917695473251094,0.032510288065843676
