,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_humidity_fd2_scaled
120,120,0.9711934156378601,0.9712385592578829,0.9689800613496933,0.9950920245398773,1.7348797715877977,2.0764658003295646,1.6119453627321323,1.4033848891943013,0.6297612416496681,0.1580246913580247,0.08847736625514406,0.037860082304526775,0.015226337448559701,0.010288065843621453,0.020576131687242816,0.006584362139917743,0.009465020576131722,0.018518518518518545,0.005761316872428002,0.010699588477366306,0.010699588477366306
121,121,0.9547325102880658,0.9548034502623874,0.9503450920245399,0.9918711656441718,1.9614829608505395,1.9107170682418406,1.7439070691407315,1.3107108632265485,0.582273063740563,0.13209876543209875,0.07283950617283949,0.020987654320987637,0.004938271604938249,0.008230452674897082,0.007407407407407385,-0.0074074074074073955,-0.011522633744856004,-0.007407407407407374,-0.010288065843621408,-0.003703703703703687,0.0008230452674897082
122,122,0.9218106995884774,0.9219187019073778,0.9149820305480683,0.9839772386942198,1.588039873282383,2.3650506176994153,1.7462977812653107,1.872276167032899,0.27198666069315347,0.12098765432098771,0.04609053497942388,0.023456790123456805,-0.007407407407407374,-0.0032921810699588216,0.0008230452674897303,-0.013991769547325051,-0.0004115226337448541,-0.005761316872427957,-0.0012345679012345622,-0.004115226337448541,-0.008230452674897082
123,123,0.9547325102880658,0.955101549929049,0.9597096726410902,0.9810398459487484,1.8764626760005885,1.4937089331315836,1.410364824744202,2.135876945585215,0.49974109612711554,0.1452674897119341,0.08436213991769546,0.026337448559670774,0.0008230452674897082,0.0012345679012345622,0.01358024691358023,-0.0028806584362139785,0.0004115226337448541,-0.0008230452674897082,-0.0024691358024691245,-0.0020576131687242705,0.004938271604938249
124,124,0.9300411522633745,0.9306957379731908,0.9322451143766095,0.9837903347977579,1.5966428677784683,1.5831933493962433,1.8644958155972424,2.1368952944474233,0.3785770531724659,0.1613168724279835,0.08724279835390947,0.03374485596707819,0.009465020576131656,0.010288065843621363,0.005761316872427957,-0.00864197530864197,0.0024691358024691245,0.0004115226337448541,0.01358024691358024,0.0012345679012345622,-0.0004115226337448541
125,125,0.9465020576131687,0.9468596044294549,0.9477786144578313,0.9850903614457832,2.1000990459982476,1.3740043519740548,1.8043526722032583,2.127411486725996,0.6302681019089064,0.11563786008230452,0.0909465020576132,0.016872427983539117,0.0024691358024691245,-0.0012345679012345622,0.007818930041152305,-0.011111111111111061,0.0008230452674897082,0.0016460905349794275,-0.0024691358024691245,-0.0004115226337448541,-0.0016460905349794165
126,126,0.9547325102880658,0.9549774244779266,0.9571720414417044,0.9908799066102437,1.433114952061155,1.6292041072016412,1.5653116219507548,2.2660645734597122,0.6471157515164532,0.13456790123456788,0.0905349794238683,0.04567901234567902,0.009465020576131656,-0.004938271604938249,0.014814814814814814,-0.004526748971193406,-0.003292181069958833,0.0,0.0008230452674897082,0.0004115226337448541,-0.004938271604938249
127,127,0.9465020576131687,0.9468135845828297,0.9481653404067196,0.9870321249631594,1.8390500685969506,1.9494922353375372,1.4369771921709424,1.3888254639981819,0.7149178115750222,0.1588477366255144,0.07654320987654323,0.04032921810699591,0.00823045267489716,0.007818930041152295,0.016872427983539117,0.006172839506172867,0.0049382716049383045,0.00658436213991771,0.012345679012345723,0.002057613168724304,0.00823045267489716
128,128,0.9465020576131687,0.9466439644790376,0.9466571834992887,0.9795874822190611,1.6696125604947203,1.524184748668758,1.9143899449522128,1.6246096380276052,1.0310691018142801,0.16255144032921814,0.11440329218107,0.042386831275720196,0.007407407407407451,0.009465020576131722,0.012345679012345723,0.006172839506172856,0.003703703703703731,0.009053497942386867,0.011934156378600846,0.0024691358024691466,0.0004115226337448652
129,129,0.9300411522633745,0.9311041224546576,0.9383297313985799,0.9823247916023464,0.8727550261125384,1.999929623842229,1.8859573221230077,2.1744501202427355,1.2134530775556522,0.1637860082304527,0.07201646090534977,0.03292181069958847,0.003292181069958833,0.0028806584362139785,0.008641975308641959,0.0,0.0,0.0008230452674896971,-0.0012345679012345622,0.0,-0.003703703703703687
130,130,0.9465020576131687,0.9470428030502097,0.9533402458894978,0.9866686416827137,2.281212246959731,1.6871149384609636,1.8039440347733198,1.652845574666172,0.16789293493714844,0.18436213991769546,0.10164609053497946,0.03251028806584364,0.0024691358024691358,0.0012345679012345622,0.012757201646090555,-0.0024691358024691245,0.0008230452674897082,0.01316872427983543,0.006584362139917743,0.0012345679012345733,0.003292181069958855
