,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_temperature_fd1_scaled
48,48,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9978752337242903,2.604343731576657,1.4616298220675181,1.2761632269662075,1.7388737960921805,1.8673451990521477,0.1756363636363636,0.018909090909090875,0.009818181818181771,0.0018181818181817854,-0.0025454545454545617,-0.00545454545454549,-0.0007272727272727431,-0.006909090909090953,-0.003272727272727294,0.0010909090909090424,-0.006909090909090953,-0.006909090909090953
49,49,0.9745454545454545,0.9748161047618865,0.9695584684373922,0.9964642980338048,2.6168550153478383,2.130116647848223,0.9801137919314045,1.430598358565912,1.7722849681100563,0.1818181818181818,0.034909090909090855,0.013090909090909052,0.012363636363636299,0.0065454545454544984,0.008363636363636306,0.012727272727272676,0.007999999999999941,-0.0007272727272727653,-0.0014545454545454861,0.003272727272727227,0.0032727272727272163
50,50,0.9745454545454545,0.9742274567537726,0.9445548130756727,0.9975618566010475,2.3134667822766724,1.4520186312195873,0.8591366342943363,3.098659449220315,0.9644819241280728,0.17090909090909084,0.03527272727272723,0.006545454545454477,0.0003636363636363438,0.00545454545454539,0.003999999999999948,0.0018181818181817633,0.00472727272727268,0.0003636363636363438,0.003636363636363582,0.005818181818181745,0.002909090909090839
51,51,0.9854545454545455,0.9853444104914694,0.9689116936874784,0.9989651604001379,2.5990796412645207,2.139407012791373,0.6149463343828019,1.8155776133408146,1.729881909262102,0.17309090909090913,0.029454545454545476,0.010181818181818214,0.000363636363636366,0.0025454545454545617,0.005818181818181856,-0.0014545454545454417,-0.0007272727272727208,0.002181818181818207,-0.0018181818181818188,0.00618181818181821,0.0043636363636363916
52,52,0.9818181818181818,0.9815122225145005,0.9568965517241379,0.9994438264738598,2.9927982036669634,1.445678519583055,0.5349133960372404,1.767639246177258,2.0115612198323487,0.20545454545454542,0.03236363636363635,0.008363636363636361,0.008363636363636373,0.011999999999999978,0.007636363636363619,0.0021818181818181958,0.0069090909090909315,0.003272727272727294,0.000727272727272732,0.00872727272727274,0.004727272727272758
53,53,0.9781818181818182,0.9784312915616868,0.9800387596899225,0.9972093023255814,2.700230145143725,1.714084465325203,1.2272809564992873,1.9179624958491561,1.1991496788375935,0.17127272727272724,0.03890909090909087,0.014181818181818151,0.000727272727272732,0.003999999999999981,0.006181818181818155,0.010545454545454502,0.0,0.0010909090909090868,0.007999999999999941,0.002545454545454551,0.0010909090909090868
54,54,0.9672727272727273,0.9675640062416923,0.9606873822975518,0.9951349654739485,2.9115397156114073,1.524045364715562,0.8287600822972535,1.8116233691619488,2.4757858549751033,0.18909090909090912,0.03636363636363639,0.016727272727272723,0.0021818181818181958,0.00545454545454549,0.009818181818181827,0.002909090909090928,0.005454545454545467,0.002909090909090928,0.004727272727272747,0.003272727272727294,0.009090909090909094
55,55,0.96,0.9604253074829644,0.9458433942738875,0.9950845119006554,2.508747988174351,1.6825032947976937,0.8711469549486823,2.501197376603417,1.612756832748269,0.16436363636363632,0.013818181818181762,0.0072727272727272085,-0.002909090909090928,-2.2204460492503132e-17,0.0010909090909090534,-0.001090909090909109,-0.005090909090909123,-0.0010909090909090979,-0.0018181818181818633,-0.003272727272727294,-0.001454545454545464
56,56,0.9854545454545455,0.9854545454545455,0.9751670579736319,0.9987357774968394,3.026948266658928,1.4976215427081496,1.3669942458553195,2.3879137558553833,0.71997176024597,0.18145454545454548,0.011636363636363667,0.007272727272727308,0.006545454545454588,0.010909090909090946,0.006909090909090953,-0.0010909090909090979,0.0025454545454545617,0.00545454545454549,0.0018181818181818299,0.007636363636363675,0.003272727272727294
57,57,0.96,0.9595746925170355,0.9272727272727272,0.9974380165289256,2.222953956715269,2.1622599675354883,1.3734436648696342,1.2853533424262182,1.8495505831750523,0.14654545454545453,0.018181818181818153,0.0007272727272726875,-0.0036363636363636598,-0.001818181818181852,-0.0032727272727273047,0.0007272727272726986,-0.00545454545454549,-0.009454545454545493,-0.0007272727272727653,-0.012727272727272743,-0.005090909090909123
58,58,0.9709090909090909,0.9710928448637014,0.962216320618059,0.9962980846611943,2.860693530742735,1.4859568462450183,0.8726625595031974,2.1653864544518484,1.7676008490493766,0.16581818181818186,0.03272727272727275,0.012000000000000021,0.002909090909090939,0.002181818181818229,0.001818181818181841,0.002909090909090928,-0.0014545454545454195,0.000727272727272732,0.009454545454545504,-0.0032727272727272163,-0.0010909090909090534
59,59,0.9818181818181818,0.9817520307407946,0.9671936087030426,0.998895121536631,2.8932479938254243,1.3328201897421863,1.1858242638243757,1.4130364224192962,1.9585222034255036,0.14218181818181821,0.01963636363636363,0.001454545454545464,-0.0036363636363636598,0.007636363636363641,0.0025454545454545617,0.007272727272727275,-0.0025454545454545617,0.001454545454545464,-0.0010909090909090979,0.0010909090909090979,-0.000363636363636366
60,60,0.9818181818181818,0.9820331922327488,0.9807727606461086,0.9983480176211454,3.032978480809202,1.1304167709083222,1.0300858061954012,1.6117197070453158,1.8890268991039374,0.1810909090909091,0.01599999999999998,0.012363636363636332,0.010181818181818158,0.007272727272727297,0.002909090909090928,0.004000000000000015,0.009454545454545438,-0.000727272727272732,0.0069090909090909315,0.005454545454545478,0.005818181818181845
61,61,0.9672727272727273,0.9678680869692105,0.9644444444444444,0.9977777777777778,2.616780658404805,1.9052466330169744,1.6029299307304845,1.4376144020053012,1.1227803604568785,0.15636363636363634,0.009818181818181837,0.000363636363636366,-0.0076363636363635965,-0.004727272727272724,-0.005818181818181789,-0.004363636363636359,-0.013090909090909065,-0.005454545454545445,-0.0018181818181818188,-0.007999999999999962,-0.007999999999999962
62,62,0.9854545454545455,0.9855617924676221,0.983499649859944,0.999124649859944,2.9006070928448535,1.217877958800772,1.2575186095882056,2.38804651290005,0.9072111389927731,0.19963636363636367,0.01745454545454548,0.00981818181818186,0.005090909090909123,0.005090909090909123,0.0043636363636363916,0.000363636363636366,0.0010909090909090979,0.0,0.005818181818181856,0.006545454545454588,0.001454545454545464
63,63,0.9781818181818182,0.978503559221048,0.9788888888888889,0.9939555555555556,2.686182450933889,1.23986269894936,1.6692570035073457,1.2501898178013988,1.8985291984878092,0.16981818181818178,0.02290909090909087,0.014909090909090894,0.006909090909090876,0.0036363636363636377,0.0072727272727272415,0.005818181818181811,0.006181818181818144,0.0032727272727272605,0.0058181818181818005,0.0069090909090908535,0.0018181818181818188
64,64,0.9854545454545455,0.9856478681136216,0.9909502262443439,0.9975699681582035,2.8878215694522997,1.2747281420415995,1.1971522085867137,1.2300735309119428,2.139833941041618,0.18218181818181822,0.03600000000000002,0.005818181818181856,0.0072727272727273196,0.004727272727272758,0.003272727272727294,0.002909090909090928,0.0112727272727273,0.00545454545454549,0.000727272727272732,0.005818181818181856,-0.0032727272727272605
65,65,0.9854545454545455,0.9855512067840836,0.9840909090909091,0.9989256198347107,2.951560166646136,2.5362255569998315,0.6452876898420524,1.8576435808609162,0.6457233061823509,0.17381818181818182,0.0330909090909091,0.012000000000000044,0.0061818181818182215,0.0018181818181818188,0.0025454545454545617,-0.000727272727272732,-0.0018181818181818299,0.000363636363636366,0.0,0.005090909090909123,-0.000363636363636366
