,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
38,38,0.9547325102880658,0.9549021853987913,0.9544511924159385,0.9889645978373575,1.3107759973682747,2.7932207560705513,1.4579421784602915,0.8609848646184651,0.4957040645170847,0.34320987654320984,0.22716049382716044,0.18148148148148147
39,39,0.9670781893004116,0.9671647486456815,0.966530156366344,0.9886075949367088,1.2406145385754965,2.748283416568743,1.5424059231103406,0.8846505601504773,0.4312069409293793,0.2913580246913581,0.27489711934156386,0.1427983539094651
40,40,0.9588477366255144,0.9591259220888851,0.9593050740624015,0.9919634415379767,0.7791419408981467,2.4880190255114267,1.914785034367354,1.1545512273415062,0.758291406601611,0.2777777777777778,0.2720164609053498,0.17695473251028804
41,41,0.9423868312757202,0.9426315172068125,0.9428104575163399,0.9795206971677559,1.5573056591617622,2.543210371468031,1.4657460228764034,1.629793559643108,-0.1937053549466122,0.23209876543209879,0.260082304526749,0.15514403292181073
42,42,0.9465020576131687,0.945801011149294,0.9268065268065269,0.9895104895104895,0.5864779159560713,2.3964741349679324,1.678045475288603,1.5621344350665716,1.0155558802135245,0.3267489711934156,0.2518518518518519,0.17078189300411523
43,43,0.9259259259259259,0.9267460317460319,0.9232456140350878,0.9808317089018843,0.99026145479962,2.8959277489502595,1.783115223786335,0.5542864908258407,0.7182067663449997,0.29958847736625516,0.24814814814814815,0.1794238683127572
44,44,0.9629629629629629,0.9631265930331352,0.9629629629629629,0.990474013107758,0.8564588013125214,2.549897470542118,1.3893923841713076,1.1737438729210454,0.9694510393791904,0.3539094650205761,0.2670781893004115,0.19053497942386827
45,45,0.934156378600823,0.93371128185943,0.9190950920245399,0.9826687116564418,1.8588235341002433,2.614240091916819,1.5222811523446418,0.7169851962691289,0.5461926227959457,0.33456790123456787,0.22139917695473246,0.18600823045267484
46,46,0.934156378600823,0.9350511262482802,0.941372699386503,0.9837423312883435,1.4408860326900859,2.395534748503971,1.9905701979090542,0.3835363835942116,0.8389535310554356,0.31111111111111106,0.24691358024691357,0.1716049382716049
47,47,0.9382716049382716,0.9385109992569656,0.9362248696947133,0.9893521965748324,1.7468621336684493,2.7662444112204234,1.657397555809943,0.5136388965256975,0.24606834465149988,0.28600823045267487,0.2613168724279834,0.17037037037037028
48,48,0.9547325102880658,0.9550872101596739,0.9565268065268066,0.9864801864801864,0.7547719428177972,2.0267901744550003,1.4603533999512175,1.3077423349819488,1.4092114013406998,0.2806584362139918,0.2164609053497942,0.17736625514403292
49,49,0.9423868312757202,0.9423868312757202,0.9347776073619631,0.9907208588957056,1.8699103576087992,1.8514321546655104,1.8076921611828545,0.4317706251436392,1.0779843761825272,0.305761316872428,0.20617283950617288,0.15144032921810704
50,50,0.9547325102880658,0.9546699826297551,0.9488830975428146,0.990692479523455,1.3920996605753846,2.282373567807093,1.4479882149257908,1.456816484438251,0.2374359546712066,0.3300411522633745,0.2473251028806584,0.18353909465020574
51,51,0.9465020576131687,0.9467535720675817,0.9439641864773078,0.9798548934856439,1.406098183451115,2.7825980909463537,1.0680154701384792,1.266504012639509,0.42905392020681804,0.3197530864197531,0.2646090534979424,0.17037037037037042
