,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
74,74,0.8641975308641975,0.8647421021690028,0.85411051212938,0.9264749925127285,2.173511917051074,1.5648566200228702,1.2653867774845826,0.5876074487163915,0.2715581598885766,0.10617283950617278,0.10205761316872422,0.08436213991769544,0.01851851851851847
75,75,0.8888888888888888,0.8887200558837247,0.8742614755340099,0.9478109377367064,2.0744719806359027,1.5814769397835842,1.058178619621177,0.48121693287844725,0.7384771861845557,0.12469135802469129,0.12139917695473246,0.09300411522633739,0.0893004115226337
76,76,0.8641975308641975,0.8648165852164662,0.8510352760736196,0.9329754601226994,2.067258669350332,1.2683425987891341,0.8346807228149438,1.1298756172263582,0.5081666585598723,0.10493827160493821,0.12880658436213985,0.07777777777777775,0.04485596707818925
77,77,0.8683127572016461,0.868670656260629,0.8572551662174304,0.9201856843366277,2.430388613912032,1.314596679874963,0.6635760626555651,0.9721829080717208,0.5133050152971507,0.11851851851851855,0.11522633744855973,0.08189300411522638,0.06502057613168727
78,78,0.9176954732510288,0.9179340820070405,0.9109604605362824,0.9601575518860778,1.7708609803366038,1.0869130310078354,0.9433564872509977,0.9034169213561704,0.7972469504528699,0.1374485596707819,0.09876543209876547,0.12181069958847739,0.05802469135802474
79,79,0.8683127572016461,0.8683127572016461,0.8499536894103119,0.9495214572398888,1.7074322552848327,1.7164187897177945,1.194556197759579,0.7395264657381966,0.43016567825448904,0.10823045267489714,0.11234567901234574,0.10658436213991773,0.059670781893004156
80,80,0.8888888888888888,0.8885281970820033,0.8793548387096775,0.9483154121863799,2.595419269372501,1.197841472875618,1.0333398996683745,0.7745894559229827,0.17022535080368087,0.10082304526748964,0.131275720164609,0.08930041152263371,0.06790123456790118
81,81,0.8600823045267489,0.8606448391211224,0.834998362266623,0.9217982312479529,2.272591212520153,1.23461461384079,0.4611965747206106,0.8807504969585265,1.1540604464904498,0.12510288065843622,0.08724279835390943,0.10781893004115224,0.10411522633744852
82,82,0.8724279835390947,0.8728266102943106,0.8671558704453441,0.92820994794679,2.325438423261399,1.8547884323893244,0.6811700904636306,0.7495142718468112,0.16121472002646664,0.14691358024691362,0.12757201646090538,0.1263374485596708,0.09218106995884776
83,83,0.8683127572016461,0.8692164931816347,0.8643899204244032,0.9448865310934276,2.266637286680024,1.6259299070839626,0.8325148661199402,0.5178382820000841,0.5634625454924996,0.12016460905349798,0.10493827160493832,0.08888888888888893,0.10864197530864199
