,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
35,35,0.9506172839506173,0.9507428147274891,0.9486372389275664,0.9866686416827137,1.9748626231227802,2.3562067673535028,1.670746796286614,0.4471009414817822,0.808741441437775,0.34074074074074073,0.1979423868312757,0.14444444444444446
36,36,0.9547325102880658,0.9548906701342014,0.954692082111437,0.9851173020527859,2.33482731869543,2.209222691966514,1.6474341169757527,0.744992344786562,0.41686998143080684,0.35843621399176956,0.17736625514403287,0.1345679012345679
37,37,0.9300411522633745,0.9297606155305959,0.9200928381962865,0.986737400530504,2.334993729510241,2.4099342409029236,1.2193501259710724,1.0605301523584956,0.6324204637360685,0.3234567901234568,0.1567901234567901,0.11893004115226335
38,38,0.9711934156378601,0.9713672253180662,0.9750777662568508,0.9942230780625093,1.9443975940609262,2.3006773413103443,1.362290576088242,0.9896261228851333,0.5510873579680682,0.36954732510288063,0.17366255144032924,0.15555555555555559
39,39,0.9670781893004116,0.9670781893004116,0.9638123603871929,0.9911392405063291,2.285333293258705,1.9941192899777824,1.3937125754913924,0.9072492868574877,0.8346892402267867,0.3176954732510289,0.174485596707819,0.11810699588477372
40,40,0.9588477366255144,0.9591259220888851,0.9593050740624015,0.9938543964702173,2.1998329435303385,2.1480409108885943,1.4085185724121354,0.6681965493517633,0.8484563192792562,0.32098765432098764,0.18600823045267484,0.1576131687242798
41,41,0.9588477366255144,0.9588477366255144,0.9558823529411764,0.9876543209876543,1.6304937875454837,2.2431011600582225,0.9799808420526945,1.3355753042146914,0.9546699468210023,0.33086419753086416,0.18641975308641973,0.12633744855967075
42,42,0.9629629629629629,0.9628994358357968,0.9558275058275059,0.9965034965034965,2.2963159896410734,1.9839191352439984,1.751936016294955,1.1837915830893138,0.5381173262645158,0.3526748971193415,0.1736625514403292,0.15226337448559663
43,43,0.9423868312757202,0.9430246913580247,0.9429824561403508,0.9871669915529565,1.6953870082024616,1.9006559843958803,1.8971177154298653,1.2763869803724712,0.8621822719592257,0.33251028806584365,0.18559670781893006,0.14197530864197536
44,44,0.9794238683127572,0.9794551336840839,0.9783950617283951,0.996342021033379,2.408699846951696,2.4952748728741208,0.918554104957048,1.1655509151394048,0.39618779336830257,0.3592592592592592,0.18641975308641973,0.14115226337448555
45,45,0.9588477366255144,0.9585695511621437,0.9470475460122699,0.9754601226993864,2.54296960052176,1.6218394127543005,1.5554933465502074,1.0391204789382615,0.7468101703130138,0.3506172839506173,0.18765432098765428,0.1407407407407407
46,46,0.9506172839506173,0.9509127872507159,0.9504601226993865,0.9866564417177914,1.783568479908028,1.71853549075632,2.1714084138076357,1.6351367124782894,0.20873556224188622,0.3518518518518519,0.18395061728395062,0.15843621399176952
47,47,0.9465020576131687,0.9467095326893702,0.9452717795979151,0.989873417721519,1.8266947706918681,2.42389293900015,0.8968875558012672,1.0968107060187364,0.9289653724699029,0.323045267489712,0.20205761316872425,0.13991769547325106
