,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_scaled
30,30,0.9636363636363636,0.9638548273431994,0.9522128060263653,0.9950564971751413,2.013590748983852,3.001372960037219,1.5397838783440767,0.5606220779811547,1.7077673848244104,0.2869090909090909,0.1570909090909091,0.0010909090909090758
31,31,0.9745454545454545,0.9747720048546495,0.971476773383553,0.9970182046453233,2.093911847803871,2.9936481319940853,1.1207706340627988,0.931881430855636,1.2408828468956694,0.29272727272727267,0.14909090909090905,0.012727272727272676
32,32,0.9672727272727273,0.9673828726220526,0.9522727272727273,0.9957851239669422,1.8014687055419403,3.091871939246864,1.4974204216758555,1.0339135001681208,1.161875184412463,0.28363636363636363,0.12072727272727275,0.019272727272727285
33,33,0.9672727272727273,0.9675867520785063,0.9595156555772995,0.9916014350945858,2.036518344802129,2.921518891458083,1.3938075120218183,0.8727946542742083,1.4168813173119412,0.3058181818181819,0.1083636363636364,0.013090909090909087
34,34,0.9745454545454545,0.9746333584865695,0.963172448466566,0.9967320261437909,2.2105482100583136,3.8398364849885738,0.6381880691951047,1.1034474534546943,0.9082418994728937,0.30327272727272714,0.14072727272727267,0.010181818181818148
35,35,0.9709090909090909,0.971305785123967,0.9676185619581846,0.9943056263810981,1.7971417289407436,2.2534895917872384,1.3991200796532943,1.3417777663692108,1.605044108725776,0.2694545454545455,0.12036363636363638,0.014909090909090938
36,36,0.9745454545454545,0.9742817427221097,0.9507909328114807,0.9960861056751468,2.3534183894023655,3.0217486866848002,1.3864635081555967,0.634502127585985,1.6344012767525327,0.2767272727272727,0.1036363636363636,0.02254545454545448
37,37,0.9890909090909091,0.9890560174458225,0.9804544732242174,0.998569839504211,1.9705618802095801,2.5999105174652,1.4664463518296045,0.6916767183360184,1.518367594171541,0.3196363636363636,0.1283636363636364,0.010545454545454613
38,38,0.9709090909090909,0.9710795715698427,0.9633720930232558,0.9920155038759689,2.15718032522545,2.6167670500884284,1.6188585116871033,1.0340084667712706,1.460478304000672,0.2941818181818182,0.12581818181818186,0.028363636363636403
39,39,0.9636363636363636,0.9636363636363636,0.946705426356589,0.9944961240310077,1.5817437899015727,2.742016288965253,1.7960570550396295,0.9514785364358259,1.6260607417975246,0.27199999999999996,0.09054545454545451,0.01890909090909091
40,40,0.9781818181818182,0.9786167941647395,0.9864864864864865,0.9973652898181201,2.2477111846650546,2.2842956253190545,1.23479177290145,0.9513341203113834,1.5821842862042577,0.30036363636363633,0.14727272727272725,0.012363636363636332
41,41,0.9636363636363636,0.9636363636363636,0.9496336996336996,0.9953113553113554,1.7083090949446504,2.684795383229515,1.7055014532961665,1.2148438772579888,1.2281075425861279,0.29672727272727273,0.11781818181818182,0.022181818181818157
42,42,0.9709090909090909,0.971444313262495,0.9633149397097895,0.9880441446965051,2.247771031769367,2.1746449773631027,1.8406321404360109,0.8414519807468999,1.4926217204348422,0.2330909090909091,0.13054545454545458,0.015272727272727294
43,43,0.9745454545454545,0.9748091663687993,0.9698708142104369,0.9960904300526942,2.5386873234104144,2.3601206686916694,0.85323048985939,1.7109722613086964,0.9983653894492251,0.28581818181818175,0.11272727272727265,0.01599999999999996
44,44,0.9454545454545454,0.9467071435277831,0.9374893761686214,0.9919258881523033,1.8551862574641687,3.2473750582272296,1.6905705270049136,0.7897992055844401,0.9159127142901581,0.2672727272727272,0.0938181818181818,-0.004727272727272758
45,45,0.9672727272727273,0.9675499465240641,0.9613911444767886,0.9941780297226904,2.1844689760474494,2.5361017844057687,1.0021770806293273,1.4251974659707498,1.415045565604841,0.28727272727272724,0.14981818181818182,0.02909090909090909
46,46,0.9854545454545455,0.9853444104914694,0.9689116936874784,0.997930320800276,2.2269071737412065,2.6302335872417326,1.3729710946670068,0.38004374881909436,1.513656893753373,0.26945454545454545,0.12327272727272728,0.021454545454545493
47,47,0.9636363636363636,0.9634232628104238,0.942223231864304,0.996895350598213,1.5205973000060864,2.379650521269861,1.9439531089185567,0.1826787787142125,1.9520147552295657,0.2934545454545454,0.13818181818181818,0.007999999999999962
48,48,0.9818181818181818,0.9818826223459037,0.9743753187149413,0.9965153833078361,2.2568106317887424,2.786353525095703,1.4812781735271785,1.5522954069117854,0.812890052012364,0.28509090909090906,0.11890909090909092,0.015636363636363625
49,49,0.9709090909090909,0.9709090909090909,0.9525698516729907,0.9952569851672991,1.6235924087234748,2.991311960524677,1.6387409952327574,0.9396084476715197,1.2910995274727293,0.27090909090909093,0.13600000000000004,0.021090909090909125
50,50,0.9745454545454545,0.9748384548922598,0.9685298898320389,0.9952140148094636,2.5168547507279837,2.9328060008954995,1.090885558914699,1.0113595592270477,1.1951057047707767,0.2789090909090909,0.14945454545454542,0.019999999999999917
