,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled
44,44,0.934156378600823,0.9345381526104418,0.9320987654320987,0.9781283340954122,1.842771067817396,1.0792431221540788,1.0024492306984245,3.0537631978189506,-0.46040532729783645,0.2436213991769547,0.035390946502057596,0.04814814814814812,0.01563786008230449,-0.006584362139917721,0.0012345679012345512,0.003292181069958833,-0.00534979423868317
45,45,0.9218106995884774,0.9225915211644902,0.9226226993865031,0.9750000000000001,1.852208369276087,0.6409857540507283,0.5687313526485778,2.8818911483712832,0.6536740556547754,0.21975308641975308,0.03744855967078191,0.04897119341563788,0.009053497942386857,0.00658436213991771,0.006995884773662575,0.009053497942386857,0.01316872427983543
46,46,0.9176954732510288,0.9186198277742653,0.9195552147239264,0.9603527607361964,1.9892000766652147,-0.12437371420897253,0.9714851576086266,3.617143093355115,0.4103415808000607,0.22757201646090536,0.05925925925925931,0.02551440329218113,0.027572016460905402,0.002880658436214034,0.0024691358024691913,0.016049382716049443,0.00823045267489717
47,47,0.9259259259259259,0.9261206844527835,0.9212956068503351,0.9742367833209233,1.3551788906312963,0.5037859457351835,1.6956237719776948,3.4694952333359894,-0.5814463672588089,0.23539094650205766,0.042386831275720196,0.03909465020576132,0.0028806584362139898,-0.0024691358024691245,0.0065843621399176875,-0.01358024691358024,0.004526748971193417
48,48,0.9300411522633745,0.9311389991409263,0.9383449883449884,0.9744366744366744,1.8953496211019851,0.7731424216573914,0.8962952020239783,2.325166971170954,0.6415452573436564,0.2662551440329218,0.03950617283950616,0.03950617283950616,0.00864197530864197,0.0016460905349794165,-0.005761316872427968,0.013168724279835375,-0.009053497942386824
49,49,0.9218106995884774,0.9221671248216018,0.9162576687116564,0.9734662576687116,1.183027174290294,1.3561889714353499,1.718926532781058,1.8337963062476705,0.49252496235658244,0.2102880658436214,0.015637860082304566,0.03045267489711937,0.015637860082304545,-0.000411522633744843,-0.0020576131687242705,0.002469135802469158,0.006172839506172878
50,50,0.9259259259259259,0.9259259259259259,0.918577810871184,0.9695457930007446,1.7343446549825334,0.7398618517488947,0.847890411660879,2.863015496113768,0.5853479885404783,0.242798353909465,0.05267489711934155,0.05514403292181073,0.01728395061728396,0.0041152263374485635,0.0004115226337448541,0.023868312757201658,0.013168724279835398
51,51,0.9218106995884774,0.9226167291933993,0.9223911701142329,0.973680148193887,2.2492454795587364,0.5712214925844695,0.8991397906044524,2.465690234178415,0.3209310722818047,0.21522633744855968,0.03168724279835394,0.04691358024691361,0.014403292181069982,0.010699588477366295,0.002880658436214012,1.1102230246251566e-17,0.011934156378600836
52,52,0.9176954732510288,0.917926561881838,0.9114081325301204,0.9811746987951808,1.39288204412194,0.290003943614492,1.4234248952470159,3.1340966278045843,0.4650204389060256,0.2094650205761317,0.04650205761316878,0.0621399176954733,0.00905349794238689,0.008641975308642025,0.009053497942386867,0.012345679012345723,-0.004526748971193384
53,53,0.9218106995884774,0.9226380995928322,0.9288267911863417,0.9643951554063913,2.109678051954313,0.8678361611700929,1.3416529942603734,2.7400814983648427,-0.10520692620414414,0.22592592592592592,0.05102880658436217,0.04115226337448563,0.014403292181069982,0.0008230452674897082,0.004115226337448574,0.01316872427983543,0.011522633744856004
54,54,0.9135802469135802,0.9142368197114409,0.9097329422661316,0.9700524853349799,2.5676734025544117,1.1764848590612107,1.1470155006899307,2.5794805278595194,-0.6983512589237232,0.19259259259259254,0.02839506172839501,0.0275720164609053,0.004526748971193384,-0.004938271604938327,-0.011111111111111172,0.010699588477366207,-0.006172839506172867
