,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled
35,35,0.831275720164609,0.8283671812174227,0.801066508665383,0.914531180565842,2.158604597585644,-0.4224354126783694,1.3763027709715316,1.5955072592989488,0.8988042720171936,0.10781893004115226,0.011522633744855949,0.04403292181069958,0.00493827160493826
36,36,0.8600823045267489,0.859726633992279,0.8461143695014662,0.9368768328445747,2.70095355494823,-1.0022811474543198,1.6631921273699641,1.3037661671282497,0.27169048281604496,0.09588477366255141,0.010288065843621363,0.03580246913580243,0.002469135802469091
37,37,0.8683127572016461,0.8667856611631714,0.8465959328028294,0.9205717653993516,2.9453145974404578,1.1133131007184773,1.1705090276940833,1.0231097579805737,1.0636255841012625,0.1300411522633745,0.011934156378600857,0.054732510288065875,0.018518518518518556
38,38,0.8847736625514403,0.8837715057761911,0.8661309435639164,0.9480077025625834,2.6886300737734317,0.6701980251710157,1.4864924133806985,1.139899511566023,0.735514455613014,0.1337448559670782,0.02057613168724278,0.039917695473251004,0.0032921810699588216
39,39,0.8683127572016461,0.8671307440012518,0.8470960536113179,0.9176470588235295,3.474975948720279,0.42363836666355736,1.7846517845084482,0.1238960788905223,0.5217823201157703,0.1152263374485597,0.012345679012345734,0.028806584362139964,0.012757201646090588
40,40,0.897119341563786,0.8961283774225667,0.8713756697132051,0.9542231326820043,2.7202492876705304,0.03920620257255215,1.9553564031274178,1.1141258583185296,0.17826754317855095,0.13621399176954735,0.020987654320987693,0.048148148148148176,0.008641975308642014
41,41,0.8353909465020576,0.8314509025007434,0.8052287581699347,0.9274509803921569,3.347104667911515,0.3734269230718082,1.292780801701951,1.174770600661867,0.02933073324874739,0.09711934156378599,0.006584362139917655,0.025925925925925887,-0.003703703703703731
42,42,0.8930041152263375,0.8930041152263375,0.8772727272727273,0.9445998445998447,2.5228971708770414,0.04242185980613136,1.0353490109132415,1.9517081329088566,0.4548653178662421,0.11975308641975313,0.026748971193415672,0.06913580246913585,0.03168724279835396
43,43,0.8559670781893004,0.8556734271019985,0.8252923976608186,0.9301494476933073,2.901861950146156,0.11558909298662959,2.157308016512202,0.8763513724279761,0.14331599372222698,0.10164609053497942,0.003703703703703687,0.035390946502057596,0.00987654320987652
44,44,0.8930041152263375,0.8936244979919679,0.8858024691358024,0.9516079865874103,3.202872085644699,-0.3719003237474483,1.0292317866399014,1.325343362122415,0.255647316009768,0.1300411522633745,0.03168724279835396,0.051851851851851885,0.014403292181070015
