,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd1_scaled
65,65,0.9745454545454545,0.9744575506043396,0.9568181818181818,0.9944628099173554,2.4679342746819577,0.8122616290619817,1.8967703926151156,1.7181889417707539,1.0851614589949068,0.23018181818181818,0.005454545454545379,0.00290909090909085,0.0014545454545454195
66,66,0.96,0.960127936031984,0.9423788829872848,0.9927571221632061,2.4651587566860633,1.0271184802143671,2.5203858999509325,1.6561426017140197,1.5927727853808393,0.21854545454545454,0.009454545454545405,0.006181818181818122,-0.00036363636363638817
67,67,0.9890909090909091,0.9891389656095539,0.9845410628019324,0.998743961352657,2.125405923556885,0.6078760862400207,2.3942763927822583,1.5241766036621025,1.4066950891654886,0.19963636363636367,0.002181818181818207,0.0025454545454545617,0.00545454545454549
68,68,0.9490909090909091,0.9494565234187875,0.9243704725767505,0.9912038634011728,2.1360462009877024,0.9229338896881225,1.788808416001138,2.3236579531886923,1.417463670903897,0.20654545454545453,-0.001454545454545464,-0.003272727272727294,-0.005454545454545478
69,69,0.9818181818181818,0.9814499194167385,0.9509803921568627,0.99781162464986,1.9212333181880537,0.9488269183983775,1.9486677993134807,2.127721295194262,1.1598453001252995,0.2141818181818182,-0.000363636363636366,0.004727272727272758,-0.000363636363636366
70,70,0.9672727272727273,0.9671597079198653,0.9454545454545454,0.996198347107438,2.426634940035883,0.8345466946161423,1.4336243506334756,1.7721388681768175,1.6948242500392698,0.2316363636363637,0.000363636363636366,-0.001454545454545464,-0.004363636363636347
71,71,0.9709090909090909,0.9703437074755278,0.9393410852713178,0.9956589147286822,2.0563617323393983,0.8309015241449612,2.4388909053028525,2.283479389957454,0.6429542509103108,0.24072727272727276,0.002181818181818218,0.0003636363636363993,0.0010909090909091202
72,72,0.96,0.9598544676297485,0.9321349651538331,0.9943906170321265,3.0205680772664363,0.6730862427978702,1.9093776163322806,1.5088488921664467,1.107435941227216,0.20909090909090908,0.0010909090909090647,-0.003272727272727294,-0.001454545454545475
73,73,0.9490909090909091,0.9497675383976755,0.9333417127534775,0.9934640522875817,2.1550950476579276,1.9831773803877384,1.4654566721955098,2.1004380682885944,0.5337909176507715,0.17781818181818182,-0.0010909090909090979,-0.01272727272727272,-0.0036363636363636377
74,74,0.9672727272727273,0.9669587024669483,0.942208097928437,0.993879472693032,2.2605552189747375,0.12450165280667688,2.1136629707940147,1.9526715928286187,1.6897508069284766,0.25054545454545457,0.004727272727272747,-0.0032727272727272492,-0.0025454545454545617
75,75,0.9709090909090909,0.9704441197235129,0.9367121848739496,0.9957983193277311,2.710130937687756,0.2948149054910167,2.171091664853702,1.8874380943246312,0.9868030828918757,0.2323636363636364,0.004727272727272758,0.0036363636363636598,0.002909090909090939
76,76,0.9672727272727273,0.9667076305084168,0.9340093352647674,0.994205697730565,1.674668580938236,1.1877325317771756,2.1664568444736583,2.2233713414458425,0.8990260343723496,0.23236363636363638,0.0069090909090909315,0.0036363636363636598,0.0043636363636363916
77,77,0.9745454545454545,0.9744333226686167,0.9499715207898234,0.9958230491741029,2.280835661347984,0.6636415451611885,2.405086855881734,2.4763594349353424,0.26502713122503874,0.1836363636363636,0.005090909090909024,-0.0007272727272727653,0.0021818181818181294
78,78,0.9745454545454545,0.9746642563265786,0.956495589414595,0.9946872493985566,1.8969848811557048,0.07811775858009372,2.163466970568568,2.9267294704743585,1.3466563995294114,0.20290909090909084,0.011636363636363601,0.004363636363636314,0.012363636363636332
79,79,0.9818181818181818,0.9817614769115923,0.969946641556811,0.9977244193345889,1.844012517954704,1.2790149418285708,2.4052839001640045,1.8170051496278536,0.4929006090899969,0.24872727272727274,0.0025454545454545617,-0.00036363636363637706,0.007636363636363663
80,80,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.9969638625592417,2.1849713700050124,1.0455936049636418,1.818092962151452,1.7358789092096516,1.1724502020890661,0.24145454545454545,-0.000727272727272732,0.0007272727272727208,-0.0014545454545454527
81,81,0.9672727272727273,0.9673828726220526,0.9522727272727273,0.9953719008264463,2.0957028788046164,1.3261852313952953,1.8960323989493573,2.1833831861186535,0.7686182857998549,0.19709090909090912,0.000363636363636366,-0.00654545454545451,-0.006181818181818155
82,82,0.9636363636363636,0.9630221588788219,0.9219342604298356,0.9929564746252483,2.04925337739234,0.7585686714788347,1.7805011769285337,2.335612555616732,1.0025842903110507,0.19527272727272726,0.008363636363636328,0.006909090909090865,0.0040000000000000036
83,83,0.96,0.9595517039160747,0.9249532551419344,0.9911609722930478,2.332992352119705,1.4579840933625738,1.9839029245959403,1.815432000885055,0.7654225716513903,0.1778181818181818,0.011999999999999966,0.0032727272727272384,-4.4408920985006264e-17
84,84,0.9709090909090909,0.9707343199436222,0.9520070476482305,0.9946376589551096,2.282029795729614,0.3839380386914266,1.8857142990230875,2.526561134329677,1.2376407588528577,0.2992727272727273,0.002909090909090928,0.0043636363636363916,0.0072727272727273196
85,85,0.9490909090909091,0.9483785060255648,0.9082273320287019,0.9871983039791259,1.6878511845955944,1.2245903436403804,2.170653411660059,1.0817798709504787,2.197135917092313,0.20327272727272727,0.011272727272727245,-0.000727272727272732,-0.0010909090909090979
86,86,0.9636363636363636,0.963012680186692,0.9336996336996337,0.9954578754578755,1.8099252991996932,1.1297818549096137,2.1558499419970163,1.799421915248279,1.1399956649060088,0.2625454545454545,0.009818181818181771,0.004363636363636347,-0.0021818181818181958
87,87,0.9709090909090909,0.97107540649567,0.9637275930749196,0.996629385628926,2.4062099388824523,0.6456897451143813,1.6605800522954115,1.8388155497750729,1.8467622428109447,0.25381818181818183,0.015272727272727271,0.0007272727272727763,0.004727272727272758
88,88,0.9709090909090909,0.9705224455909388,0.94366756713809,0.9949944382647387,1.5600341008312226,0.8242859515385464,1.8044643806500584,1.8266876208267517,2.136882422321394,0.2490909090909091,0.010545454545454603,0.009454545454545516,0.005090909090909123
89,89,0.9636363636363636,0.9633947103125186,0.9381941091260261,0.9943666505713826,2.772225378328637,0.9083815357790496,1.5507638749520394,1.4128316657475404,1.6937314657864782,0.21927272727272723,0.0072727272727272085,-0.00036363636363637706,-0.0007272727272727431
90,90,0.96,0.9589539758041744,0.9136363636363636,0.990495867768595,2.5243462986528526,0.6085915869418425,1.6086271172800108,1.9206517537668384,1.7911775637301055,0.21090909090909085,0.008727272727272684,0.008363636363636306,0.003999999999999937
91,91,0.96,0.9593003123605534,0.9317177575255454,0.9932339132836234,3.025574818342096,1.3355783981078433,1.5517387398457596,1.1614509379743618,1.3522348854606783,0.29490909090909084,0.004727272727272647,-0.0007272727272727541,-0.001090909090909109
92,92,0.9636363636363636,0.962964389659305,0.9307890352869908,0.9954566106315311,2.1207406100682666,0.5124574720988685,2.3880071400398486,1.8251088710730823,1.1890441426634177,0.23745454545454545,0.0014545454545454527,-0.00036363636363637706,0.0
93,93,0.9745454545454545,0.9742601752193204,0.9483256841747407,0.99473057963624,2.306817220587736,0.6652328390499892,2.581055163392977,2.105454843865697,0.4974164639638923,0.23236363636363633,0.0007272727272727098,0.0007272727272726986,-0.00036363636363638817
94,94,0.9745454545454545,0.9744619480072387,0.9580315467568002,0.9967004667632384,2.4845932714925496,0.6046035486379434,2.070085347862065,2.268907124981763,0.7546417539056852,0.23599999999999993,-0.0007272727272727763,-0.005454545454545501,0.0018181818181817744
95,95,0.9636363636363636,0.9633819339701694,0.9363636363636363,0.9942148760330578,2.3680186266367045,0.8457762150909381,1.8079939445064508,1.6545837044663991,1.37864831177568,0.22072727272727272,0.0072727272727272415,0.002545454545454551,-0.003272727272727294
