,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_humidity_fd1_scaled
16,16,0.96,0.9604144042938277,0.9464983851776305,0.9926058133605303,1.951758884708279,3.3747677672686143,0.4134250666944134,1.7040931944863984,0.676609403875428,0.0796363636363636,0.10181818181818178,0.01927272727272722,0.004727272727272691,0.005454545454545379,-0.0010909090909090979,0.00618181818181811,0.00545454545454539
17,17,0.9709090909090909,0.971097552053612,0.9617987606001304,0.9931506849315068,2.3282046474722864,2.984664873424341,0.6880306159644932,1.0763394269176125,0.8285351371549878,0.10436363636363641,0.11127272727272733,0.02945454545454549,0.02836363636363639,0.007636363636363675,0.018545454545454552,0.006545454545454588,0.014181818181818217
18,18,0.9672727272727273,0.9677923059741242,0.9733233873259449,0.9946717817561808,2.592164274103206,3.147838437982733,0.5608743855850292,1.1557506415867167,0.5547683632105679,0.1152727272727273,0.10472727272727274,0.045818181818181834,0.01563636363636366,0.00690909090909092,0.006181818181818177,0.007272727272727275,0.0007272727272727431
19,19,0.96,0.96009072009072,0.950082850041425,0.9843965755316211,1.8064640380658896,2.54896982474234,0.054850445465084316,1.7517564640507217,1.900188871812641,0.13672727272727267,0.16036363636363632,0.03199999999999996,0.006181818181818155,-0.007636363636363686,0.005090909090909046,-0.0014545454545454972,0.02072727272727267
20,20,0.9490909090909091,0.9502787878787878,0.9355169839492348,0.9809630459126539,1.8333406118743967,3.5380200975592113,0.2995324261039816,1.398798987909522,1.2596417175632153,0.09381818181818183,0.10290909090909092,0.027636363636363646,0.015272727272727294,0.0029090909090909167,0.009090909090909094,0.005454545454545478,0.0036363636363636485
21,21,0.9563636363636364,0.9563636363636364,0.9308697838109603,0.99002849002849,2.010480980890441,2.5445925558541806,1.153609708765521,1.4425687159296499,1.1162088699099866,0.10581818181818188,0.09745454545454552,0.03818181818181824,0.019636363636363684,0.008727272727272783,0.013818181818181851,0.00290909090909095,0.01345454545454552
22,22,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.9968595041322315,2.6512341962395047,3.2202558633067278,0.5054491042626504,0.7714979164277334,0.8385992143167373,0.11781818181818178,0.08727272727272725,0.02799999999999996,0.00836363636363634,0.0021818181818181958,0.004727272727272714,-0.0018181818181818299,0.006909090909090876
23,23,0.96,0.9608103425296548,0.9620212935007151,0.9918957571905291,1.8269154504525376,3.656973292477222,0.5618708435471722,0.7366388376578762,1.2633670318456398,0.10218181818181815,0.09999999999999995,0.05163636363636361,0.033090909090909074,0.0069090909090908535,0.016727272727272712,0.01345454545454543,0.02799999999999997
24,24,0.9490909090909091,0.9490909090909091,0.9235261401557286,0.9911012235817575,2.0054987793668286,2.889199886342951,0.8754146675789571,1.826410270420936,0.7269145726422436,0.08872727272727274,0.0789090909090909,0.026909090909090928,0.009818181818181827,0.000363636363636366,-0.003272727272727294,-0.0029090909090909167,0.006545454545454554
25,25,0.9527272727272728,0.9533324481904565,0.9474229857819905,0.9856338862559242,1.7187472207432886,3.5428994524930446,0.7467507418920223,1.1395325204469073,1.2800851727606086,0.1141818181818182,0.0952727272727273,0.030545454545454563,0.01709090909090911,0.0043636363636363916,0.006909090909090943,0.0036363636363636598,0.01563636363636365
26,26,0.9636363636363636,0.9636363636363636,0.9446724609689361,0.9893771125060357,2.47584156639017,3.1992082356582476,0.63648142424723,0.9872855267189433,1.109706896137251,0.10145454545454546,0.13418181818181815,0.027636363636363626,0.01018181818181817,0.005090909090909079,0.0032727272727272718,0.0058181818181818005,0.0018181818181818078
