,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled
56,56,0.96,0.9595002891844996,0.9197218710493047,0.9889832039010295,2.5059309183731115,1.8279468859496104,1.3932113732194173,1.182496555718283,0.45238546295716137,0.15599999999999997,0.02981818181818179,0.004363636363636314,0.017090909090909046
57,57,0.9636363636363636,0.9636363636363636,0.9431818181818181,0.9920661157024793,2.5599744123806216,1.5787222774853975,0.8895927617894281,1.7627247881243366,0.6081615508132043,0.17563636363636365,0.023272727272727244,0.023999999999999966,0.03927272727272726
58,58,0.9418181818181818,0.9418181818181818,0.9114759375502978,0.9855142443264124,2.171278401235515,2.006856417074026,1.0140149878707532,1.72159432498576,0.6599354771778642,0.16109090909090903,0.02072727272727267,0.05527272727272724,0.0007272727272726875
59,59,0.9672727272727273,0.9669059395676975,0.9366394696583376,0.9942206357300697,3.1555520835322426,1.631575774526382,0.820231525048466,0.581026092185444,1.231551495526678,0.18654545454545457,0.03636363636363636,0.05345454545454546,0.038909090909090935
60,60,0.9527272727272728,0.9529187691760234,0.9220814977973568,0.989262114537445,2.7469398577704514,2.024327869705946,0.4903228698010417,1.2329791339271945,0.9567763049397532,0.15127272727272728,0.03127272727272732,0.05490909090909093,0.02072727272727275
61,61,0.9672727272727273,0.9673982988499296,0.9488888888888889,0.9929777777777777,2.5695280583903584,1.4589022860374876,0.9620068927766339,1.5010360281458663,0.7930362950123739,0.15527272727272728,0.018545454545454566,0.02072727272727274,0.02400000000000001
62,62,0.9709090909090909,0.9709090909090909,0.9518557422969187,0.9935224089635855,2.764665414105281,1.3306052920792506,0.8428851007149063,1.4752244867447797,0.9821921542174105,0.17454545454545456,0.022181818181818212,0.023272727272727313,0.02072727272727275
63,63,0.96,0.9598423256959843,0.9288888888888889,0.9899555555555556,2.8120710083492635,1.7767777373697111,1.534017992927654,0.8512090528715784,0.2953611685996437,0.1618181818181818,0.030181818181818143,0.02109090909090905,0.011636363636363601
64,64,0.9709090909090909,0.9707001684360175,0.9469163733869617,0.9885201944025473,2.9697068257764188,1.8607386571373674,1.1998676874068754,1.346592132344047,-0.11450665208512123,0.15490909090909094,0.03345454545454547,0.038909090909090935,0.015272727272727294
65,65,0.96,0.9598618652353907,0.9340909090909091,0.9940495867768595,2.9666405033980086,1.5354934962228577,0.6800369727055695,0.9137765010835048,1.1942175232688437,0.16799999999999998,0.02799999999999996,0.011636363636363589,0.019636363636363608
66,66,0.9490909090909091,0.9490909090909091,0.9225414453565105,0.9832609045549654,3.117789514475936,2.2095263726816534,1.0626498121894188,1.1295489787506434,-0.07487809347711581,0.17963636363636365,0.01890909090909092,0.018181818181818188,0.03600000000000001
67,67,0.9781818181818182,0.9781818181818182,0.9601449275362319,0.9966183574879227,3.0844288738338643,1.4402822785159244,1.2132998643537458,1.173930864959855,0.4729269213675306,0.15127272727272728,0.04254545454545451,0.019999999999999952,0.015636363636363605
68,68,0.9490909090909091,0.9490909090909091,0.9169972404277338,0.9837012763021731,2.716397263044162,1.6985097512539657,1.0886078274527995,0.2901445701328424,1.7122886941505384,0.16836363636363635,0.046545454545454557,0.06436363636363637,0.061818181818181814
