,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled
52,52,0.9203539823008849,0.9198944311391908,0.9075342465753424,0.9626853843541265,2.663302843515909,-0.2551013950697438,-0.23963873249691264,2.145965438950201,2.306405419245959,0.11488334674175378,0.0754625905068383,0.055671761866452105,0.08833467417538214,0.0563153660498793,0.06323411102172163,0.04593724859211581,0.049959774738535766
53,53,0.913917940466613,0.9133601604107784,0.895645752097365,0.9608531253692544,1.7167582438765803,-0.04961188105253083,-0.3192859944204374,2.680769879622147,2.445359800376076,0.11134352373290421,0.0909090909090909,0.08833467417538214,0.06709573612228478,0.05888978278358807,0.05776347546259049,0.0654867256637168,0.04778761061946899
54,54,0.914722445695897,0.9145760385472258,0.9036725452675252,0.9613121404887915,1.9691016756533586,0.20240630853595942,0.029428164386046837,1.9856473407194644,2.3153973660447935,0.12518101367658888,0.09187449718423166,0.057602574416733686,0.09509251810136764,0.0760257441673371,0.06363636363636363,0.042558326629123046,0.06371681415929202
55,55,0.9380530973451328,0.9380738609121941,0.9289977699068608,0.9759698520029099,1.6702835754422216,-0.40468664569151885,-0.15144388737137687,3.06917039834289,2.2581433401496738,0.11568785197103781,0.09420756234915531,0.09549477071600969,0.08093322606596945,0.04730490748189862,0.06991150442477875,0.07803700724054707,0.05358004827031375
56,56,0.9324215607401448,0.9326474177828267,0.9251915513561477,0.9710724477805224,1.941338192334108,-0.5873839069512058,-0.2953323701877638,3.299747565436308,2.1362878754609227,0.11962992759452935,0.0941271118262269,0.10691874497184232,0.08390989541432022,0.07176186645213194,0.06878519710378117,0.07232502011263073,0.060981496379726455
57,57,0.9243765084473049,0.9244718568299038,0.9152081675948024,0.9664604142726657,1.842583565229683,-0.2680582762758806,0.06664999104291378,2.7306504956433737,2.226618250887332,0.11858407079646013,0.10176991150442478,0.09436846339501209,0.08189863234111024,0.05945293644408687,0.07353177795655672,0.07876106194690266,0.053660498793242126
58,58,0.9300080450522928,0.9295901074610964,0.9158697255270845,0.9678784817182573,1.9571122538619476,-0.5721039465865823,-0.10704184184158963,2.5822494829192224,2.7101820927687474,0.11303298471440064,0.09959774738535805,0.09155269509251814,0.0859211584875302,0.065728077232502,0.0566371681415929,0.07023330651649236,0.0563153660498793
59,59,0.9066773934030571,0.9065060789899446,0.8932934637099121,0.9629125196437925,1.2525738803639388,-0.24975510940011283,0.18304928316293223,2.7283998929692164,2.732272418245549,0.09074818986323406,0.08809332260659689,0.0860820595333869,0.08004827031375703,0.07055510860820595,0.053660498793242126,0.07015285599356395,0.051971037811745745
60,60,0.9203539823008849,0.9201532875718433,0.9096456287931607,0.9675859783068361,1.8336559920314701,-0.603063607494867,-0.28864788702573163,3.1992955940588197,2.440789655609453,0.11609010458567977,0.0921158487530169,0.09549477071600967,0.0761061946902655,0.06009654062751406,0.0562349155269509,0.06460176991150442,0.04489139179404662
61,61,0.9356395816572808,0.9354811048177109,0.9252488213724464,0.9691577905826203,1.9761997727862515,-0.5933057192475495,-0.3583044058233967,2.712542191343794,2.8196160574924374,0.10973451327433632,0.09010458567980695,0.08149637972646824,0.08085277554304104,0.08125502815768304,0.07152051488334674,0.07876106194690266,0.05084473049074817
62,62,0.913917940466613,0.913943416937262,0.903763187996818,0.9617235993287695,2.099181143173869,-0.5431873484312795,-0.4064820068229116,2.797841688802614,2.6858329637304204,0.1220434432823813,0.08077232502011264,0.0907481898632341,0.06436041834271922,0.058970233306516476,0.05382139983909893,0.0843925985518906,0.054786806114239715
63,63,0.9227674979887369,0.9223089578960275,0.9087999954079993,0.9685218349634936,1.7311065394778602,-0.2637021415049107,-0.07332127327340646,2.8490062279004498,2.2562820914735386,0.10297666934835074,0.08358809332260661,0.08213998390989544,0.09203539823008852,0.05575221238938051,0.05358004827031373,0.07176186645213194,0.05293644408688654
64,64,0.9251810136765889,0.9252050891080149,0.9149518492260428,0.9697713576745836,2.237716001077334,-0.521638718261787,-0.13991148018107794,2.3491853101506615,2.754680429064724,0.11230893000804501,0.10048270313757039,0.10498793242156075,0.08769106999195497,0.07980691874497185,0.07723250201126308,0.07900241351568786,0.07739340305711988
65,65,0.918744971842317,0.9184208182764714,0.9051515151515152,0.9693779904306219,2.355218650256631,-0.5627610991263827,-0.11904525438896377,2.4074132036034106,2.579526174404581,0.11641190667739336,0.09637972646822203,0.0979082864038616,0.06862429605792437,0.06532582461786,0.06975060337892196,0.07803700724054707,0.05293644408688654
