,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
48,48,0.9122664500406173,0.9065743944636678,0.9134165138589918,0.9532753992930983,-0.0013809910641754408,-0.0023558082859462814,-0.004549147034931034,-0.0025995125913891304,0.02420796100731104,0.03777416734362293,0.01202274573517459,0.0059301380991063635,0.08391551584077983,0.042729488220958456,0.009260763606823708,0.017952883834281175
49,49,0.9212022745735174,0.9165950128976784,0.9228826171304048,0.9479869249780754,-0.006661251015434577,-0.0010560519902519383,-0.00438667749796906,-0.003818034118602709,0.009260763606823708,0.022502030869211986,0.053208773354995964,0.08115353371242884,0.05954508529650693,-1.1102230246251565e-16,0.007879772542648156,0.09902518277822914
50,50,0.925264012997563,0.9213675213675213,0.9274416008929283,0.952486114433017,0.0,0.005686433793663848,0.004305442729488185,-0.0009748172217710627,0.008692120227457467,0.04484159220146222,0.07879772542648256,0.01218521527213634,0.00901705930138097,0.012510154346060176,0.03923639317627947,0.011454102355808238
51,51,0.9155158407798538,0.9100346020761245,0.916687926864918,0.9457067687156182,-0.0016246953696180677,-0.0012997562956945652,0.0008123476848090894,0.00032493907392372456,-0.0037367993501217223,0.011454102355808238,0.021770917952883884,0.0025995125913891304,-0.0023558082859462814,0.009991876523151921,0.0124289195775793,0.0013809910641755518
52,52,0.9228269699431356,0.9180327868852459,0.9242499136304446,0.9579925057801165,0.0005686433793662404,-0.001787164906580152,-0.0014622258326563164,-0.0005686433793664625,0.0027619821283507706,0.04264825345247758,0.045329000812347586,0.010154346060113673,-0.004955320877335523,0.016978066612510112,0.03460601137286756,0.006255077173030088
53,53,0.9228269699431356,0.9183147033533964,0.9245183236333678,0.9357078317255308,0.0006498781478473381,0.0008123476848090894,0.003574329813159971,0.002680747359869895,0.004711616571892674,0.016896831844029014,0.04541023558082846,0.011210398050365611,0.0027619821283507706,0.014297319252639995,0.022095857026807608,0.04971567831031687
54,54,0.9285134037367994,0.9247863247863248,0.9307130138988546,0.9551037763427144,0.0010560519902518273,0.006661251015434577,0.007554833468724542,0.01900893582453278,0.0077173030056865155,0.01259138911454094,0.033956133225020335,0.029000812347684812,0.005686433793663737,0.014947197400487666,0.059220146222583314,0.11600324939073914
55,55,0.9333874898456539,0.9297945205479452,0.9354859284062824,0.9613755348268622,0.004711616571892674,0.009260763606823708,0.0108042242079609,0.004224207961007309,0.0059301380991063635,0.037367993501218444,0.09471974004874073,0.011047928513403638,0.010154346060113673,0.00438667749796906,0.031112916328188356,0.008123476848090894
56,56,0.9228269699431356,0.9181739879414298,0.9243841186319062,0.9551011188179331,0.00016246953696186228,0.0008123476848088673,8.123476848087563e-05,0.00040617384240448917,-0.0009748172217708406,0.01624695369618201,0.037530463038180306,0.02607636068237207,0.0002437043054427379,-0.0004061738424046002,0.0281884646628755,0.008529650690495494
57,57,0.9203899268887084,0.9165247018739353,0.9228028913869621,0.9536660554359668,0.0002437043054426269,-0.00032493907392361354,8.123476848076461e-05,-0.00016246953696186228,0.06799350121852155,0.006742485783915564,0.06677497969130786,0.020714865962632056,0.03907392363931761,0.0236393176279448,0.09195775792038985,0.023964256701868525
58,58,0.9228269699431356,0.9177489177489178,0.9239815036275214,0.9576231098354993,0.0017059301380990544,0.002274573517465517,8.123476848087563e-05,0.0006498781478471161,-0.0016246953696182898,0.06531275385865132,0.018115353371242704,0.012753858651502803,-0.0037367993501219443,0.007636068237205529,0.011779041429731962,0.011697806661250865
59,59,0.9260763606823721,0.9220222793487575,0.9280581466422174,0.9576643014696112,-0.0012185215272136896,0.0012997562956945652,0.0007311129163282137,0.0041429731925266555,0.001543460601137303,0.058407798537774225,0.010804224207961122,0.01421608448415923,-0.0004061738424046002,0.039398862713241334,0.026969943135662033,0.01462225832656383
60,60,0.9195775792038993,0.9142857142857143,0.920710090621595,0.9529405511706395,-0.002680747359869895,-0.0008123476848092004,-0.0006498781478473381,0.00032493907392372456,0.009179528838342943,0.024126726238830276,0.03143785540211208,0.01584077985377741,0.019577579203899242,0.03549959382615764,0.036555645816409355,0.017790414297319312
61,61,0.9228269699431356,0.9183147033533964,0.9245183236333678,0.9588721464827659,-0.00024370430544284893,-0.0009748172217708406,0.002274573517465517,-0.0006498781478472271,0.00438667749796906,0.02445166531275389,0.04126726238830203,0.014459788789601857,-8.123476848109767e-05,0.027701056051990136,0.020308692120227456,0.0032493907392362464
62,62,0.9285134037367994,0.9249146757679181,0.9308472189003163,0.9516064737303674,0.00422420796100742,0.006173842404549101,0.0019496344435417923,0.004305442729488074,0.004630381803411798,0.04191714053614948,0.11949634443541846,0.005686433793663737,0.013647441104792879,0.034768480909829425,0.02323314378554009,0.015109666937449195
63,63,0.9293257514216084,0.9258312020460358,0.9317321746525287,0.9555688431794627,0.0047928513403736606,0.0019496344435417923,0.0030056864337937306,0.0050365556458165095,0.005117790414297163,0.030706742485783867,0.056376929325751446,0.02664500406173853,0.0019496344435417923,0.02128350934199852,0.07497969130787974,0.000893582453289854
64,64,0.9293257514216084,0.9254498714652957,0.9313295596481437,0.948606128252146,-0.0059301380991064745,0.0016246953696181787,0.002193338748984641,0.002437043054427268,0.029163281884646564,0.013160032493907292,0.06571892770105603,0.054183590576766916,0.11259138911454114,0.008367181153533632,0.016165718927701134,0.004630381803411798
