,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
27,27,0.9309504467912266,0.9260226283724978,0.9317574211379521,0.9582556007334767,-0.00885458976441933,0.000893582453290076,-0.006255077173030088,0.0027619821283508816,0.007636068237205529,0.026320064987814584,0.009585702680747321,0.0059301380991064745,-0.0108042242079609,0.016490658001624525,0.01624695369618212,0.009910641754671157
28,28,0.9187652315190902,0.911660777385159,0.9183488798533046,0.9404528422227537,-0.004305442729488074,0.011941510966693825,0.017140536149471974,0.016490658001624636,0.031925264012997556,0.009585702680747543,0.0036555645816409577,0.018115353371242815,-0.001787164906580041,0.0027619821283508816,0.05150284321689669,0.0584890333062551
29,29,0.934199837530463,0.9295039164490861,0.9350288341438784,0.9627468176140742,-0.0025995125913891304,0.0002437043054427379,-0.0018683996750609166,0.012185215272136452,0.03631194151096662,0.005686433793663737,0.014541023558082733,0.027538586515028385,0.0059301380991063635,0.01137286758732714,0.027863525588952,0.0282696994313566
30,30,0.8822095857026807,0.872471416007036,0.881880996040288,0.9280847218900317,0.032981316003249495,0.003330625507717233,0.017303005686433726,-0.004630381803411909,0.07506092607636061,0.05085296506904957,0.024695369618196406,0.01380991064175463,0.014134849715678355,0.026482534524776558,0.009341998375304583,0.039317627944760236
31,31,0.8968318440292445,0.8888888888888888,0.8970049695713413,0.9373435382284939,0.02965069049553215,0.004305442729488296,0.014947197400487444,-0.002924451665312633,0.0398862713241267,0.018521527213647415,0.023883021933387538,0.004305442729488296,-0.009748172217709183,0.03062550771730299,0.04467912266450036,0.06799350121852143
32,32,0.9025182778229082,0.8943661971830986,0.9022602248265965,0.9365250205958172,0.07636068237205518,0.022908204711616698,-0.0015434606011374141,0.003168155970755482,0.010073111291632797,0.00861088545897648,0.030950446791226716,0.0174654752233957,0.12282696994313558,0.027213647441104882,0.037774167343623155,0.0019496344435419033
33,33,0.6953696181965882,0.7394023627519111,0.7140397034202344,0.9274814637646496,-0.002437043054427268,-0.0027619821283509927,-0.004305442729488185,-0.013647441104792879,-0.0014622258326563164,0.015922014622258396,0.0006498781478472271,0.01259138911454094,0.011860276198212838,0.011129163281884735,0.014947197400487444,0.00763606823720564
34,34,0.685621445978879,0.7351129363449692,0.7057017194185335,0.660768290414308,0.05028432168968311,0.002274573517465406,0.004467912266450047,0.0010560519902518273,0.0025995125913891304,0.0030056864337936195,0.009260763606823708,0.0013809910641754408,0.053371242891957715,0.010154346060113673,0.00844841592201473,0.007067424857839177
35,35,0.9122664500406173,0.90625,0.9131481038560685,0.9469504903133222,-0.012591389114541274,-0.001137286758732814,-0.0019496344435417923,0.02177091795288366,-0.0038992688870836956,0.007311129163282026,0.016165718927701023,-0.00024370430544284893,-0.011616571892770211,0.05702680747359867,0.019090170593013767,0.03379366368805847
36,36,0.9057676685621446,0.9001721170395869,0.907276302851524,0.9526801137420607,-0.012266450040617438,0.004386677497969171,0.0019496344435419033,0.0070674248578393994,0.07189277010560524,0.017384240454914823,0.019902518277822856,0.03363119415109672,0.0286758732737612,0.05207148659626326,0.03419983753046296,0.02583265637692922
37,37,0.7319252640129975,0.7619047619047619,0.7472866671981716,0.9414095511440643,-0.05166531275385877,0.005280259951259136,-0.004711616571892896,-0.007311129163282026,0.020552396425670083,0.04752233956133223,0.01819658813972369,0.02022745735174658,-0.10893582453290018,0.011454102355808238,0.016084484159220147,0.027132412672623785
38,38,0.9122664500406173,0.9084745762711864,0.9150269738765313,0.9505461213425814,-0.011535337124289335,0.002924451665312744,0.015515840779853796,0.000893582453289965,0.016734362307067263,0.05353371242891958,0.06450040617384245,0.06165718927701047,0.017465475223395477,0.0727863525588951,0.03160032493907394,0.020064987814784607
39,39,0.7286758732737612,0.7631205673758865,0.7456257142097851,0.948117143692365,-0.0662063363119415,-0.011779041429731851,-0.011454102355808238,-0.009666937449228308,0.02022745735174658,0.009260763606823708,0.024695369618196517,0.009098294069861845,0.001137286758732814,0.024695369618196517,0.0056864337936636256,0.02063363119415107
40,40,0.917140536149472,0.9090909090909091,0.9160421483430332,0.9505647240160514,-0.009260763606823819,-8.123476848087563e-05,-0.0004874086108854758,0.017546709991876686,0.0662063363119415,0.04272948822095868,0.00861088545897637,0.0014622258326564275,0.041592201462225864,0.02502030869212013,0.04175467099918784,0.022908204711616476
41,41,0.9268887083671812,0.9200710479573713,0.9261247973637354,0.9470169284328576,0.05369618196588155,0.0025995125913892414,-0.0019496344435417923,0.0170593013809911,-0.008285946385052867,0.042567018683996705,0.023151909017059435,0.015353371242892044,-0.008448415922014618,0.019740048740861105,0.01640942323314376,0.022095857026807608
42,42,0.8220958570268074,0.8301008533747091,0.8315594355417364,0.9448005527651544,0.09512591389114544,0.046547522339561276,0.018683996750609277,0.013241267262388279,-0.038342810722989396,0.061982128350934196,0.08537774167343615,0.026888708367181158,0.07148659626320064,0.0956133225020307,0.08692120227457345,0.03338748984565387
43,43,0.9195775792038993,0.9121561668145519,0.9188312206011321,0.9440963086980786,-0.005442729488220888,0.0023558082859463925,1.1102230246251565e-16,0.004467912266450047,0.0013809910641753298,0.028675873273761088,0.011047928513403749,0.010722989439480135,-0.0014622258326564275,0.03290008123476851,0.012997562956945541,0.01803411860276205
44,44,0.9114541023558083,0.9056277056277057,0.9125315581067793,0.9476441042812725,0.13298131600324936,0.0012997562956945652,-0.0004061738424046002,0.004630381803411909,-0.0017059301380990544,0.030706742485783756,0.010316815597075424,0.0077173030056864045,0.019902518277822856,0.016490658001624636,0.02420796100731104,0.006011372867587239
45,45,0.7343623070674249,0.7665952890792291,0.7507467644635786,0.9481716229503839,-0.06839967506092592,-0.00901705930138097,-0.011047928513403638,-0.0023558082859463925,0.013484971567831017,0.025264012997562868,0.027701056051990247,0.019740048740861105,-0.028107229894394736,0.0006498781478473381,0.008367181153533632,0.031356620633631205
46,46,0.9138911454102355,0.9107744107744108,0.917199500385341,0.9599723617422732,-0.007879772542648378,0.007636068237205418,-0.0017059301380991654,0.02282696994313571,0.05369618196588133,0.061413484971567844,0.051990251827782163,0.013403736799350141,0.0019496344435417923,0.017709179528838326,0.03249390739236391,0.002193338748984419
47,47,0.9260763606823721,0.9201053555750659,0.9261792766217545,0.9492837970714078,0.0025995125913891304,0.007554833468724653,0.008123476848091116,0.013322502030869154,0.021283509341998297,0.017952883834281175,0.02225832656376936,0.007473598700243889,0.000893582453289965,0.031112916328188467,0.025507717303005828,0.0720552396425671
48,48,0.909017059301381,0.8978102189781022,0.9061189508092163,0.9320284886656568,-0.009504467912266445,0.011047928513403638,0.00844841592201473,0.009585702680747321,0.039967506092607796,0.02144597887896027,0.024126726238830276,0.010966693744922762,0.12120227457351751,0.004305442729488296,0.029731925264013026,0.03809910641754655
49,49,0.6791226645004061,0.7292666209732693,0.6990246884052194,0.9081984639506764,0.010479285134037286,-0.001787164906580041,-0.006336311941510964,-0.0019496344435417923,0.0027619821283508816,0.00438667749796906,-0.003574329813160082,0.022583265637692973,0.08164094232331431,0.004224207961007309,0.01421608448415923,0.01064175467099926
50,50,0.8074735987002437,0.8183908045977012,0.8179117170267612,0.9560737728879322,-0.005848903330625599,-0.0030056864337937306,-0.0004874086108852538,-0.0019496344435417923,0.04711616571892774,0.044760357432981346,0.058407798537774114,-0.0068237205523964395,-0.06758732737611683,0.030381803411860364,0.03549959382615775,0.03086921202274573
51,51,0.6888708367181153,0.7367697594501719,0.7085705174200749,0.8892396821600361,0.037367993501218444,-0.0034930950446792064,0.0007311129163282137,0.0014622258326563164,0.011454102355808238,0.007148659626319942,0.0034930950446792064,0.003818034118602709,0.003818034118602709,0.003086921202274384,0.0047928513403736606,0.007229894394800818
52,52,0.9301380991064175,0.9250871080139372,0.9308724653857396,0.9554731722873315,-0.004061738424045447,-0.001543460601137081,-0.0023558082859463925,0.010722989439480135,-0.0014622258326562054,0.030706742485783978,0.01575954508529631,0.030950446791226605,0.013647441104792879,0.03606823720552399,0.02339561332250184,0.022664500406173738
53,53,0.7067424857839155,0.7459535538353272,0.7242818039278216,0.9343272476015838,-0.06320064987814777,0.008529650690495605,-0.004467912266450047,-0.03046303818034113,-0.0038992688870836956,0.024370430544273014,-0.01462225832656383,0.01705930138099121,0.014378554021120982,0.028107229894394736,0.0177904142973192,-0.004711616571892785
54,54,0.8635255889520714,0.8640776699029126,0.8697135188285631,0.9525073746312684,-0.03411860276198231,-0.010073111291632797,0.0034118602761982197,0.0017059301380989433,0.13736799350121842,0.08529650690495516,0.0449228269699431,-0.022502030869212097,0.06441917140536146,0.04362307067424853,0.018683996750609277,0.03419983753046285
55,55,0.8732737611697806,0.870216306156406,0.877246272821494,0.9429748332403199,-0.0120227457351747,0.002274573517465517,-0.008367181153533854,0.01421608448415912,0.09260763606823708,0.022989439480097462,0.050771730300568474,0.028757108042241963,-0.006661251015434577,0.00901705930138097,0.06401299756295686,0.030950446791226605
56,56,0.9138911454102355,0.9100169779286927,0.916528475378033,0.953006989290175,0.09536961819658807,-0.003574329813159971,0.0023558082859463925,0.03005686433793653,0.0012185215272135785,0.0351746547522338,0.03744922826969943,0.022177091795288373,0.07270511779041422,0.00739236393176268,0.025913891145410317,0.037124289195775706
