,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
72,72,0.9130074565037283,0.9104859335038363,0.9152389042728065,0.930328320995554,0.0077879038939521195,0.004308202154100993,-0.003728251864125731,-0.019469759734879855,0.006545153272576654,-0.0015741507870752347,0.02212096106048056,0.017481358740679465
73,73,0.9262634631317316,0.922943722943723,0.9275495625696413,0.9556198492988979,-0.0014913007456504035,0.02013256006628006,-0.002319801159900603,-0.0018227009113505055,-0.004888152444076144,-0.0025683512841755407,0.051449875724937866,-0.0017398508699254522
74,74,0.9146644573322287,0.9100436681222708,0.9153395739329016,0.9432333439978817,0.006213753106876663,0.03885666942833477,0.005550952775476459,-0.003314001657000576,-0.0028169014084507005,0.0035625517812760688,0.007207953603976858,0.0397680198840098
75,75,0.9146644573322287,0.9117395029991431,0.9165682954006377,0.945994174950079,0.0008285004142500885,0.0061309030654516095,-0.006213753106876441,0.002651201325600705,-0.0011599005799503015,0.0041425020712509975,0.012427506213753214,0.0074565037282519064
76,76,0.9295774647887324,0.9253731343283582,0.9299849409220788,0.9657916220778218,-0.0028997514498757537,0.09163214581607282,0.01714995857497925,-0.008947804473902088,-0.0017398508699253412,0.04647887323943656,0.013835956917978565,0.011681855840927846
77,77,0.9138359569179785,0.9097222222222222,0.9148982822722107,0.9444772348664542,-0.004391052195526046,0.026263463131731668,0.008367854183927048,-0.00894780447390231,-0.00165700082850051,0.016570008285004212,0.009362054681027243,0.000331400165700102
78,78,0.9154929577464789,0.9125214408233276,0.9173446929161656,0.9481868428891365,0.0025683512841756517,0.02717481358740692,0.0022369511184755497,0.011101905550952917,-0.0014084507042253502,0.0064623032311517115,0.007705053852526955,0.012841756420878259
79,79,0.9453189726594863,0.9428076256499134,0.9466354268945203,0.9616048674470173,0.06437448218724118,0.07116818558409277,0.010770505385252593,-0.0010770505385252482,0.07738193869096932,0.03446561723280872,0.09569179784589876,0.03537696768848375
80,80,0.8989229494614748,0.8991735537190083,0.9031571660249551,0.9553661065940006,0.0044739022369513215,0.037448218724109306,0.007373653686826742,0.00894780447390231,-0.006462303231151378,0.0077879038939520084,0.03082021541010771,0.007870753935377062
81,81,0.9154929577464789,0.9109947643979057,0.9162276734000419,0.9387294109859557,0.024523612261806216,0.0384424192212095,0.00016570008285021753,0.008036454018227057,0.006628003314001707,0.022286661143330444,0.03670256835128416,-0.0028997514498757537
