,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
73,73,0.9272433306386418,0.9235993208828522,0.9300766434892541,0.9614991571849979,0.0024252223120451166,0.0029911075181892066,0.004203718674211765,0.009296685529506798,0.003961196443007298,0.03387227162489903,0.031851253031527804,0.03678253839935319,0.0016976556184316038,0.04421988682295874,0.027728375101050973,0.022312045270816427
74,74,0.9207760711398545,0.9172297297297297,0.9239833544037084,0.9593183733670458,0.00016168148746964484,0.0008892481810833797,0.002263540824575583,0.0046887631366208105,0.0017784963621664263,0.01673403395311235,0.030072756669361378,0.011479385610347559,-0.002910266774454273,0.03605497170573968,0.02700080840743735,0.011883589329021893
75,75,0.9159256265157639,0.9121621621621622,0.9190963442899284,0.9619416350611041,-0.0009700889248180911,-0.0017784963621666483,-8.084074373482242e-05,0.0028294260307193397,-0.0018593371059013597,0.025707356507679968,0.0407437348423606,0.01649151172190777,-0.0077607113985448395,0.029587712206952332,0.020695230396119757,0.013177041228779274
76,76,0.9159256265157639,0.9126050420168067,0.9195190686894227,0.9635034766118836,0.0016168148746967814,0.003071948261924029,0.0020210185933710045,0.003961196443007298,0.0033144704931284963,0.029749393694421977,0.032740501212611295,0.021907841552142315,-0.0004042037186742231,0.04510913500404201,0.03823767178658033,0.024494745351657188
77,77,0.9191592562651576,0.9161073825503355,0.9229179835651075,0.9625105351875263,0.0012934518997573807,0.0004850444624089345,0.002910266774454273,0.0021827000808406494,0.00436540016168141,0.03710590137429248,0.04793856103476157,0.01810832659660455,-0.00153597413096207,0.039611964430072755,0.026192400970088903,0.04882780921584484
78,78,0.9256265157639451,0.9217687074829932,0.9283067319848293,0.9608117361989044,0.003637833468068008,0.002101859337105827,0.0033144704931284963,0.008488278092158352,0.004284559417946809,0.024737267582861988,0.021180274858528803,0.012611156022635406,-0.000565885206143868,0.03322554567502034,0.03290218270008083,0.015683104284559435
79,79,0.9183508488278093,0.9154811715481171,0.9223148440792246,0.9620970290771176,0.0029911075181892066,0.0020210185933711156,0.008488278092158352,0.007599029911075195,0.0006467259498786904,0.027243330638641927,0.03605497170573979,0.03128536782538405,0.0016168148746967814,0.03791430881164104,0.03177041228779298,0.04324979789814065
80,80,0.9151172190784155,0.911690496215307,0.9186341129372102,0.9612779182469448,0.0018593371059013597,0.0028294260307194508,0.002101859337105938,0.003071948261923918,-8.084074373482242e-05,0.035569927243330524,0.027566693613581328,0.021018593371059047,-0.00024252223120457828,0.021827000808407382,0.02708164915117217,0.016087308003233658
81,81,0.9183508488278093,0.9144792548687553,0.9213284871470713,0.9627870838600926,0.00016168148746986688,0.0021827000808406494,0.000565885206143979,0.0077607113985450615,0.00048504446240904553,0.023848019401778497,0.03177041228779298,0.011479385610347781,-0.00016168148746964484,0.02053354890865,0.023362974939369563,0.024656426839127055
82,82,0.9215844785772029,0.9184188393608074,0.9251501264222504,0.9647150231774125,0.0010509296685530245,0.0023443815683104052,0.0037186742118027194,0.004284559417946587,-0.001131770412287958,0.021261115602263514,0.0195634599838318,0.01463217461600641,-0.001535974130961959,0.021827000808407382,0.037186742118027416,0.025869037995149613
83,83,0.9175424413904608,0.9142857142857143,0.9211480720606826,0.9609697640117993,0.00048504446240915655,0.0029911075181890956,0.002506063055780161,0.012206952303961183,0.0,0.03233629749393685,0.03177041228779309,0.021665319320937848,-0.0007275666936136238,0.04446240905416343,0.023686337914308964,0.01616814874696837
