,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
55,55,0.8875,0.8457142857142858,0.8717685076380728,0.9061398354876615,0.2616666666666667,-0.002083333333333215,-0.0029166666666666785,-0.002083333333333437,0.1924999999999999,0.036666666666666514,0.009166666666666767,0.022083333333333233,-0.026249999999999996,0.023333333333333428,0.03708333333333336,0.016666666666666607
56,56,0.8583333333333333,0.7901234567901234,0.8275558166862514,0.95593419506463,0.043333333333333224,-0.007500000000000062,-0.0024999999999999467,0.0016666666666665941,0.03874999999999995,-0.01000000000000012,-0.03041666666666687,-0.02833333333333321,0.00666666666666671,0.0004166666666667318,-0.009166666666666767,1.1102230246251565e-16
57,57,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9716509988249118,0.09999999999999998,-0.0033333333333332993,-0.006250000000000089,-0.0029166666666666785,0.04999999999999982,-0.021666666666666834,-0.022083333333333455,-0.025416666666666754,-0.004999999999999893,0.0016666666666665941,-0.004166666666666541,0.0033333333333334103
58,58,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.9475616921269094,0.04125000000000001,-1.1102230246251565e-16,-0.0008333333333333526,0.004583333333333384,0.03333333333333344,-0.012499999999999956,-0.0050000000000000044,-0.03166666666666673,-1.1102230246251565e-16,-0.012083333333333224,0.0004166666666667318,0.00041666666666650976
59,59,0.8625,0.8070175438596491,0.8412162162162162,0.9569623971797885,0.046250000000000124,-0.0012499999999998623,-0.0012499999999998623,-0.0050000000000000044,0.029166666666666674,-0.00749999999999984,-0.018749999999999933,-0.022499999999999964,-0.004583333333333384,-0.011666666666666714,-0.011249999999999871,-0.002083333333333215
60,60,0.8875,0.8457142857142858,0.8717685076380728,0.9633519388954173,0.0970833333333333,-0.011250000000000093,-0.002083333333333437,-0.003750000000000142,0.05500000000000005,-0.012916666666666687,-0.015416666666666523,-0.01708333333333345,0.0033333333333332993,-0.0004166666666667318,-0.004583333333333495,0.004166666666666541
61,61,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9526292596944771,0.12291666666666656,-0.010833333333333361,-0.002083333333333326,0.0012499999999999734,0.042916666666666714,-0.02375000000000005,-0.014583333333333393,-0.021666666666666834,0.005416666666666625,0.0008333333333333526,0.0016666666666665941,0.005416666666666625
62,62,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9386016451233842,0.19541666666666657,-0.018333333333333535,-0.0004166666666666208,0.0033333333333334103,0.12916666666666665,-0.009583333333333277,0.003750000000000031,0.027499999999999858,-0.03208333333333324,0.0,-0.0033333333333332993,-0.005416666666666625
63,63,0.8958333333333334,0.8587570621468926,0.8826380728554641,0.9687132784958872,0.13208333333333333,-0.004999999999999893,-0.0050000000000001155,0.01708333333333345,0.06208333333333338,-0.016249999999999987,-0.012083333333333224,-0.022916666666666474,-0.002083333333333437,0.011666666666666825,0.002083333333333215,0.006666666666666821
64,64,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.9702555816686251,0.0495833333333332,0.0033333333333334103,-0.0008333333333332416,0.0004166666666667318,0.05500000000000016,-0.004583333333333384,0.0008333333333333526,-0.004166666666666541,0.0029166666666666785,-0.007500000000000062,-0.0012500000000000844,0.0016666666666665941
