,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
63,63,0.7887323943661971,0.7096774193548387,0.7658551922385914,0.9052281710384478,0.07558685446009383,-0.07042253521126762,-0.08403755868544605,-0.015962441314554043,0.010328638497652531,-0.027699530516431925,-0.09765258215962447,-0.10610328638497646,0.0014084507042254613,0.015962441314553932,0.009389671361502261,0.00328638497652578
64,64,0.8403755868544601,0.7951807228915663,0.8256378009342435,0.9031620553359684,0.09154929577464788,0.007981220657277133,-0.016431924882629123,-0.010798122065727722,0.04413145539906116,-0.06056338028169028,-0.0652582159624413,-0.05258215962441304,-0.008920187793427292,0.0046948356807513525,-0.0028169014084507005,0.024882629107981336
65,65,0.7934272300469484,0.7142857142857143,0.7699874236435501,0.9264283147682357,0.009859154929577452,-0.04788732394366202,-0.029577464788732466,-0.032394366197183055,0.009859154929577452,-0.07417840375586848,-0.096244131455399,-0.10187793427230063,0.012676056338028041,-0.011737089201877882,0.012676056338028152,-0.00046948356807507974
66,66,0.784037558685446,0.6973684210526315,0.7591178584261589,0.9211282788357887,0.009859154929577452,0.0,-0.0046948356807512415,-0.034272300469483596,0.025352112676056304,-0.05258215962441315,-0.07511737089201875,-0.08450704225352124,0.00798122065727691,0.018309859154929553,0.018779342723004744,0.009389671361502372
67,67,0.812206572769953,0.75,0.7930291052820697,0.9291232482932088,0.005633802816901401,-0.04694835680751175,-0.026291079812206575,-0.06291079812206579,0.020187793427230094,-0.09248826291079837,-0.07652582159624421,-0.09812206572769955,0.022065727699530524,0.011267605633802802,0.00845070422535199,0.00657276995305156
68,68,0.7887323943661971,0.7096774193548387,0.7658551922385914,0.8782788357887171,0.030046948356807435,-0.016901408450704314,0.013615023474178312,-0.0046948356807512415,0.010328638497652531,-0.006103286384976592,-0.05446009389671369,-0.03849765258215965,0.00563380281690129,0.023943661971830954,0.024882629107981113,0.022535211267605604
69,69,0.863849765258216,0.8323699421965318,0.8541142651814588,0.9380165289256198,0.0624413145539906,0.08497652582159632,0.07558685446009394,0.03708920187793441,0.04835680751173721,-0.01032863849765242,-0.022535211267605604,-0.023943661971830954,-0.004225352112676051,0.009389671361502372,0.014084507042253391,0.014553990610328582
70,70,0.7887323943661971,0.7096774193548387,0.7658551922385914,0.9098993891484011,0.022535211267605604,-0.05211267605633807,-0.009389671361502483,-0.00046948356807519076,0.0023474178403755097,-0.0370892018779343,-0.1056338028169016,-0.08732394366197183,-0.0046948356807512415,-0.0009389671361503815,0.00657276995305156,-0.003755868544600971
71,71,0.812206572769953,0.75,0.7930291052820697,0.8968738771110311,0.017370892018779394,-0.005633802816901401,-0.024882629107981225,-0.0028169014084505895,0.030516431924882514,-0.06995305164319254,-0.04929577464788737,-0.07840375586854464,-0.007981220657277022,0.013145539906103232,0.038497652582159536,0.009389671361502372
72,72,0.8356807511737089,0.7878787878787878,0.820203018325548,0.802191879266978,0.32206572769953035,0.04178403755868543,0.03849765258215965,0.022535211267605493,0.21408450704225346,-0.0009389671361502705,-0.023943661971831065,-0.03568075117370895,-0.03286384976525836,-0.00798122065727691,-0.004225352112676162,0.008920187793427292
