,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
98,98,0.9163346613545816,0.8955223880597015,0.9293820071096528,0.9658873393491934,0.017131474103585842,0.2095617529880477,0.18286852589641422,0.1318725099601593
99,99,0.900398406374502,0.8780487804878049,0.9168033907574515,0.9530352748154225,0.008366533864542003,0.19362549800796802,0.1788844621513943,0.09800796812749002
100,100,0.9043824701195219,0.8775510204081632,0.9107875307629205,0.9669811320754718,0.015936254980079778,0.2111553784860557,0.1394422310756972,0.08486055776892443
101,101,0.900398406374502,0.8792270531400966,0.9190935192780968,0.9789444900191414,0.0035856573705178585,0.10876494023904382,0.08326693227091642,0.05936254980079669
102,102,0.8924302788844621,0.8708133971291866,0.9128042111019962,0.9768936286573695,0.014342629482071767,0.10916334661354576,0.09203187250996026,0.029880478087649376
103,103,0.896414342629482,0.8761904761904762,0.9182389937106918,0.9712879409351929,-0.0007968127490038945,0.1410358565737051,0.15458167330677286,0.11513944223107564
104,104,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9727919059338256,0.003984063745020028,0.14342629482071712,0.14900398406374493,0.1294820717131474
105,105,0.9362549800796812,0.9191919191919192,0.9473954060705496,0.9901558654634947,-0.011155378486055856,0.18764940239043815,0.1270916334661355,0.07848605577689238
106,106,0.8884462151394422,0.8640776699029126,0.9050792999726551,0.9624692370795734,-0.0003984063745020583,0.17211155378486043,0.1310756972111553,0.011952191235059861
107,107,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.9763467322942303,0.0019920318725099584,0.14820717131474093,0.10597609561752985,0.05378486055776888
108,108,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9755263877495215,0.0063745019920319335,0.18007968127490026,0.08446215139442226,0.07290836653386468
109,109,0.9083665338645418,0.8866995073891626,0.9230926989335522,0.9757314738856987,0.0015936254980080111,0.18366533864541823,0.10956175298804782,0.14063745019920315
110,110,0.900398406374502,0.8756218905472637,0.9122231337161608,0.9764150943396227,0.0019920318725100694,0.1541832669322708,0.1756972111553784,0.11912350597609556
111,111,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.9788077659283566,0.005976095617529986,0.14143426294820716,0.12310756972111547,0.05896414342629486
112,112,0.9362549800796812,0.9183673469387755,0.9451052775499043,0.9865326770576975,0.008764940239043839,0.19282868525896402,0.13227091633466126,0.03944223107569733
113,113,0.852589641434263,0.8262910798122066,0.874487284659557,0.9291085589280832,0.00039840637450194727,-0.002788844621513964,-0.0019920318725099584,-0.002788844621513964
114,114,0.896414342629482,0.8761904761904762,0.9182389937106918,0.9685534591194969,-0.0035856573705179695,0.09561752988047811,0.08645418326693233,0.04780876494023911
115,115,0.852589641434263,0.8262910798122066,0.874487284659557,0.9411402789171452,0.00039840637450194727,0.0015936254980080111,0.0011952191235059528,-0.007569721115537886
116,116,0.9243027888446215,0.9054726368159204,0.9379614438063987,0.9814055236532677,0.011952191235059861,0.15816733067729072,0.149402390438247,0.12509960159362543
117,117,0.9163346613545816,0.8975609756097561,0.9339622641509434,0.9804484550177741,0.01035856573705185,0.1286852589641434,0.08685258964143427,0.09123505976095603
118,118,0.8565737051792829,0.8301886792452831,0.8776319387476074,0.9358764014219306,0.023505976095617442,0.012350597609561698,0.01035856573705185,0.003984063745020028
119,119,0.8884462151394422,0.8653846153846154,0.9073694284933005,0.9563166529942576,0.009163346613545786,0.1155378486055777,0.07490039840637452,0.04422310756972103
120,120,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9658873393491934,0.009960159362549792,0.1856573705179282,0.06175298804780871,0.09840637450199208
