,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled
145,145,0.7625570776255708,0.7142857142857143,0.7548356727148238,0.8637452927079767,0.2904109589041096
146,146,0.7168949771689498,0.69,0.7214566929133859,0.8504792879150974,0.2666666666666667
147,147,0.7397260273972602,0.7076923076923077,0.7411417322834646,0.8568983224922972,0.2899543378995433
148,148,0.7625570776255708,0.7319587628865979,0.7638223211229032,0.8664840807942487,0.3223744292237444
149,149,0.7442922374429224,0.7142857142857143,0.7465765148921603,0.858610065046217,0.29634703196347034
150,150,0.8447488584474886,0.8023255813953488,0.8316929133858268,0.8927593289969188,0.3461187214611873
151,151,0.7397260273972602,0.7015706806282722,0.7381461828141047,0.8675967134542965,0.27990867579908674
152,152,0.726027397260274,0.7087378640776699,0.7353218076001369,0.8698219787743923,0.2630136986301371
153,153,0.6666666666666666,0.683982683982684,0.6931273536460116,0.8667408421773364,0.23378995433789956
154,154,0.776255707762557,0.7351351351351352,0.7711400205409107,0.874871619308456,0.30639269406392694
155,155,0.7579908675799086,0.7225130890052356,0.7568897637795275,0.8689661074974324,0.30547945205479454
156,156,0.7534246575342466,0.7352941176470589,0.7619394043135912,0.8758986648408079,0.3086757990867581
157,157,0.7351598173515982,0.7211538461538461,0.7461913728175282,0.8444026018486819,0.2995433789954338
158,158,0.7579908675799086,0.7103825136612022,0.750898664840808,0.8691372817528245,0.2977168949771689
159,159,0.726027397260274,0.7115384615384616,0.7368195823348169,0.8508216364258816,0.2821917808219179
160,160,0.7534246575342466,0.71875,0.7529527559055118,0.8847997261211913,0.3159817351598174
161,161,0.8401826484018264,0.7928994082840237,0.8247603560424512,0.9067100308113659,0.38949771689497714
162,162,0.7214611872146118,0.7081339712918661,0.7328825744608012,0.8404655939746662,0.25844748858447486
163,163,0.7899543378995434,0.75,0.7844488188976377,0.8833447449503594,0.33424657534246577
164,164,0.730593607305936,0.700507614213198,0.7332677165354331,0.8652002738788085,0.2698630136986301
165,165,0.7168949771689498,0.6990291262135923,0.7259500171174256,0.8440602533378979,0.27853881278538817
166,166,0.7853881278538812,0.745945945945946,0.780511811023622,0.8847141389934954,0.3246575342465754
167,167,0.7077625570776256,0.6923076923076923,0.7180760013693941,0.8557001027045532,0.28493150684931506
168,168,0.6940639269406392,0.6699507389162561,0.7002738788086271,0.8335330366312905,0.23287671232876717
169,169,0.7534246575342466,0.7378640776699029,0.7634371790482711,0.87478603218076,0.3013698630136987
170,170,0.7853881278538812,0.7431693989071039,0.7790140362889422,0.8698219787743923,0.3036529680365297
171,171,0.7488584474885844,0.7120418848167539,0.7475179732968161,0.859123587812393,0.2721461187214612
172,172,0.8447488584474886,0.8068181818181818,0.8346884628551865,0.906367682300582,0.3894977168949772
173,173,0.7351598173515982,0.7156862745098039,0.7431958233481684,0.8666552550496405,0.27762557077625577
174,174,0.8447488584474886,0.8068181818181818,0.8346884628551865,0.9045703526189661,0.3726027397260274
175,175,0.684931506849315,0.6905829596412556,0.7058798356727148,0.8429476206778499,0.2525114155251142
176,176,0.8447488584474886,0.8,0.8301951386511468,0.9108182129407737,0.3876712328767124
177,177,0.7990867579908676,0.7555555555555555,0.7908250599109894,0.8842006162273194,0.35388127853881285
178,178,0.6757990867579908,0.6602870813397129,0.6860236220472441,0.8386682642930503,0.21232876712328763
179,179,0.8127853881278538,0.768361581920904,0.8026360835330366,0.8954981170831905,0.3552511415525114
180,180,0.7625570776255708,0.7263157894736842,0.7608267716535433,0.8700787401574803,0.30776255707762573
181,181,0.8036529680365296,0.7624309392265194,0.796259842519685,0.8940431359123587,0.35616438356164376
182,182,0.7214611872146118,0.6871794871794872,0.7223981513180417,0.8463711057856899,0.24520547945205484
183,183,0.684931506849315,0.6729857819905213,0.6968931872646353,0.8343033207805546,0.23881278538812784
184,184,0.7808219178082192,0.7391304347826086,0.7750770284149264,0.8821465251626155,0.3127853881278539
185,185,0.7808219178082192,0.7419354838709677,0.7765748031496063,0.8702499144128724,0.3415525114155251
186,186,0.7168949771689498,0.69,0.7214566929133859,0.8517630948305376,0.2621004566210046
187,187,0.7488584474885844,0.7236180904522613,0.7535090722355358,0.8755563163300238,0.3013698630136986
188,188,0.8264840182648402,0.7710843373493976,0.8084560082163643,0.9168093118794933,0.297716894977169
189,189,0.776255707762557,0.7407407407407407,0.7741355700102706,0.8816330023964395,0.3013698630136986
190,190,0.7488584474885844,0.717948717948718,0.750513522766176,0.8684525847312564,0.3059360730593607
191,191,0.7488584474885844,0.7120418848167539,0.7475179732968161,0.8555289284491612,0.2931506849315068
192,192,0.776255707762557,0.7461139896373057,0.7771311194796302,0.858524477918521,0.3333333333333333
