,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled
119,119,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8611111111111112,0.037867647058823395
120,120,0.7757352941176471,0.512,0.6711352657004831,0.8597222222222223,0.12058823529411766
121,121,0.7316176470588235,0.35398230088495575,0.6059178743961353,0.8592391304347825,0.0716911764705882
122,122,0.6617647058823529,0.0,0.5,0.8672101449275362,-1.1102230246251565e-16
123,123,0.6985294117647058,0.19607843137254902,0.5543478260869565,0.8626207729468598,0.03713235294117634
124,124,0.6617647058823529,0.0,0.5,0.8644927536231884,-1.1102230246251565e-16
125,125,0.7095588235294118,0.2616822429906542,0.5733091787439614,0.8621376811594204,0.04742647058823535
126,126,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8656400966183575,0.04044117647058809
127,127,0.6617647058823529,0.0,0.5,0.8623188405797102,-1.1102230246251565e-16
128,128,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8657608695652175,0.040073529411764675
129,129,0.6911764705882353,0.16,0.5434782608695652,0.8591787439613529,0.029779411764705777
130,130,0.6617647058823529,0.0,0.5,0.8659420289855072,-1.1102230246251565e-16
131,131,0.7316176470588235,0.35398230088495575,0.6059178743961353,0.8597222222222223,0.07058823529411762
132,132,0.6985294117647058,0.19607843137254902,0.5543478260869565,0.8638888888888889,0.03713235294117634
133,133,0.6617647058823529,0.0,0.5,0.8619565217391305,-1.1102230246251565e-16
134,134,0.6617647058823529,0.0,0.5,0.866304347826087,-1.1102230246251565e-16
135,135,0.6617647058823529,0.0,0.5,0.8627415458937199,-1.1102230246251565e-16
136,136,0.6617647058823529,0.0,0.5,0.8617753623188404,-1.1102230246251565e-16
137,137,0.6911764705882353,0.16,0.5434782608695652,0.8632246376811593,0.02941176470588225
138,138,0.7169117647058824,0.29357798165137616,0.5841787439613526,0.861352657004831,0.05698529411764708
139,139,0.6617647058823529,0.0,0.5,0.8663647342995169,-1.1102230246251565e-16
140,140,0.6617647058823529,0.0,0.5,0.8641908212560386,-1.1102230246251565e-16
141,141,0.6617647058823529,0.0,0.5,0.8628623188405797,-1.1102230246251565e-16
142,142,0.6617647058823529,0.0,0.5,0.8663647342995169,-1.1102230246251565e-16
143,143,0.6617647058823529,0.0,0.5,0.8621376811594204,-1.1102230246251565e-16
144,144,0.6617647058823529,0.0,0.5,0.8678140096618358,-1.1102230246251565e-16
145,145,0.6617647058823529,0.0,0.5,0.8608695652173913,-1.1102230246251565e-16
146,146,0.7941176470588235,0.5757575757575758,0.7009661835748793,0.8600241545893721,0.14154411764705876
147,147,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8621376811594204,0.036397058823529393
148,148,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8541666666666666,0.04044117647058809
149,149,0.6875,0.1414141414141414,0.5380434782608696,0.867512077294686,0.025735294117646967
150,150,0.7132352941176471,0.2641509433962264,0.5760869565217391,0.8635265700483091,0.051470588235294046
