,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
35,35,0.8242677824267782,0.7961165048543689,0.8368086364980775,0.9109730848861284,0.0029288702928870203,-0.00794979079497915,-0.0167364016736401,-0.004184100418410108,-1.1102230246251565e-16,0.012552301255230103,0.020083682008368187,0.028033472803347337
36,36,0.8242677824267782,0.7558139534883721,0.802240461401952,0.906388642413487,-0.00502092050209213,0.02468619246861925,0.030125523012552224,0.0020920502092051096,-0.004602510460251064,0.0188284518828451,0.0071129707112970175,0.0033472803347280866
37,37,0.8242677824267782,0.7613636363636364,0.806307305530908,0.9166666666666666,0.019246861924686054,-0.009205020920502127,-0.007531380753138084,-0.005857740585774152,-0.0071129707112971285,0.012133891213389036,-0.0008368200836821327,0.012133891213389036
38,38,0.7824267782426778,0.6976744186046512,0.7580597456373854,0.910455486542443,-0.007531380753138084,0.004184100418410108,0.008786610878661172,-0.0033472803347279756,-0.02008368200836841,-0.010041841004184149,-0.003765690376569153,-0.00794979079497904
39,39,0.8117154811715481,0.7398843930635838,0.7900029577048211,0.9123040520556048,0.030125523012552335,0.0046025104602509526,-0.00041841004184106634,0.004184100418409997,-0.002510460251046065,0.006694560669455951,-0.0058577405857740406,0.028033472803347226
40,40,0.8368200836820083,0.7936507936507936,0.8327787636793847,0.9306418219461697,0.028033472803347115,0.0016736401673640433,0.0058577405857740406,-0.014225941422594146,-0.01673640167364021,0.0046025104602509526,0.0004184100418409553,-0.0046025104602509526
41,41,0.8242677824267782,0.7613636363636364,0.806307305530908,0.9309375924282757,0.01882845188284521,0.006694560669456062,0.011297071129707015,-1.1102230246251565e-16,-0.00041841004184106634,0.010460251046025104,0.018410041841004032,0.019246861924686054
42,42,0.8410041841004184,0.7888888888888889,0.8280464359656906,0.9511239278320024,0.03430962343096222,0.023430962343096273,0.013389121338912124,0.015481171548117123,0.0029288702928871313,0.015481171548117123,0.017573221757322233,0.028870292887029247
43,43,0.799163179916318,0.7473684210526316,0.7940328305235138,0.8947057083703046,-0.005857740585774152,0.005439330543932974,0.011297071129707237,0.010041841004184149,0.004184100418409997,-0.0071129707112971285,-0.00502092050209213,0.03430962343096233
44,44,0.7907949790794979,0.7340425531914894,0.7831632653061225,0.9174060928719314,-0.007531380753138084,-0.008368200836820106,0.0020920502092048876,-0.0020920502092051096,-0.009205020920502127,0.02259414225941425,0.007531380753138084,0.0
45,45,0.7698744769874477,0.5736434108527132,0.7010869565217391,0.9245785270629991,-0.006694560669456062,0.041004184100418395,0.04644351464435137,0.014225941422594257,-0.0020920502092049986,0.06359832635983276,0.012133891213389147,0.025523012552301272
46,46,0.8410041841004184,0.7956989247311828,0.8341467021591245,0.9370748299319728,0.04476987447698744,-0.016317991631799034,0.0029288702928871313,-0.001255230125523088,-0.019246861924686054,0.024267782426778295,0.02092050209205032,-0.01757322175732201
47,47,0.8326359832635983,0.7916666666666666,0.831410825199645,0.9158532978408754,0.021338912133891164,-0.001255230125522977,0.005020920502092019,-0.0046025104602509526,-0.006276150627614996,0.029288702928870203,-0.001255230125522977,0.0033472803347279756
48,48,0.8200836820083682,0.7542857142857143,0.8008725229222123,0.9486838213546289,0.018410041841004254,0.003765690376569042,0.01589958158995808,-0.004184100418410108,-0.012552301255230103,0.004602510460251064,0.00041841004184106634,0.004602510460251064
49,49,0.7949790794979079,0.743455497382199,0.790631469979296,0.9191807157645666,0.0046025104602509526,-0.007949790794979261,-0.011297071129707237,-0.011297071129707237,-0.004602510460251064,0.01171548117154797,-0.030125523012552446,0.020083682008368298
50,50,0.8117154811715481,0.7368421052631579,0.7879695356403431,0.9325643300798581,0.0004184100418409553,-0.0029288702928870203,-0.0058577405857740406,-0.004184100418409997,-0.020083682008368187,-0.007531380753138084,-0.02175732217573223,0.006276150627614996
51,51,0.7949790794979079,0.743455497382199,0.790631469979296,0.9165187814256137,0.005439330543932863,-0.02468619246861925,-0.013389121338912235,-0.009623430962343305,-0.007531380753138306,0.0016736401673639323,-0.017154811715481277,-0.005439330543933085
52,52,0.8535564853556485,0.8087431693989071,0.8443507837917776,0.9287932564330079,0.04644351464435137,0.029288702928870203,0.046861924686192546,0.028870292887029247,0.006276150627614996,0.05648535564853552,0.004184100418409997,0.07907949790794988
53,53,0.8117154811715481,0.7398843930635838,0.7900029577048211,0.9449127477077788,0.009205020920502127,0.0058577405857739295,0.002510460251045954,-0.003765690376569042,-0.004184100418409997,-0.001255230125523088,0.005439330543932974,0.005020920502091908
54,54,0.8158995815899581,0.7821782178217822,0.8239056492162082,0.9003253475303165,0.0033472803347279756,-0.011297071129707237,0.006694560669455951,0.0033472803347279756,0.005020920502091908,0.01966527196652712,0.018410041841004143,0.017991631799163077
55,55,0.8117154811715481,0.7398843930635838,0.7900029577048211,0.9405501330967169,0.0167364016736401,-0.00041841004184106634,-0.0033472803347280866,0.001255230125522977,-0.009205020920502016,0.0,0.009205020920501905,0.0004184100418409553
56,56,0.7489539748953975,0.6590909090909091,0.7267820171546879,0.8814699792960662,-0.01966527196652712,-0.014225941422594146,-0.03179916317991638,-0.027196652719665204,-0.01673640167364021,-0.006694560669455951,-0.020083682008368187,-0.01673640167364021
57,57,0.7740585774058577,0.6966292134831461,0.755323868677906,0.9152617568766637,-0.016317991631799256,-0.025104602510460317,-0.03305439330543947,-0.03347280334728042,-0.02677824267782425,-0.02468619246861925,-0.01004184100418426,-0.023430962343096273
58,58,0.8326359832635983,0.7752808988764045,0.8171768707482994,0.9325643300798581,0.025941422594142116,0.03933054393305435,0.03556485355648542,0.01673640167364021,0.010041841004184038,0.017154811715481166,0.02845188284518818,0.02552301255230116
59,59,0.8200836820083682,0.7624309392265194,0.8069727891156462,0.9206595681750961,0.025941422594142227,0.005020920502092019,-0.005439330543933085,-0.005857740585774152,-0.012552301255230103,0.001255230125523088,0.01380753138075308,0.012970711297071058
