,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
52,52,0.7214611872146118,0.5611510791366906,0.6804604587470044,0.8965251626155427,0.012785388127853792,-0.04474885844748866,-0.028310502283105055,-0.0730593607305936,-0.01050228310502288,0.016438356164383605,0.009589041095890427,0.0018264840182647957
53,53,0.7488584474885844,0.6540880503144654,0.7235535775419377,0.7862033550154057,0.23881278538812778,0.011872146118721338,-0.008675799086757974,-0.03196347031963476,-0.0639269406392694,0.08310502283105015,0.09634703196347028,0.08630136986301373
54,54,0.7351598173515982,0.6027397260273972,0.6997603560424512,0.9110749743238616,0.031050228310502193,0.0182648401826484,-0.04292237442922375,-0.05205479452054784,0.021917808219178103,0.0091324200913242,0.023287671232876783,0.01963470319634708
55,55,0.7990867579908676,0.7215189873417721,0.7743495378295104,0.9160390277302293,0.050684931506849384,-0.01050228310502288,-0.012328767123287676,-0.014155251141552583,0.011415525114155334,0.0365296803652968,0.02922374429223762,0.005936073059360836
56,56,0.7990867579908676,0.7215189873417721,0.7743495378295104,0.8824888736733996,0.03698630136986303,-0.0018264840182649067,0.0022831050228311334,0.01050228310502288,-0.00502283105022816,0.0091324200913242,0.0022831050228311334,0.010958904109588996
57,57,0.7488584474885844,0.6258503401360545,0.7145669291338583,0.873844573776104,0.04474885844748855,-0.0009132420091324533,0.01050228310502277,0.008219178082191747,0.0004566210045662267,0.008219178082191636,0.002739726027397249,0.005022831050228271
58,58,0.726027397260274,0.6629213483146067,0.7143529613146182,0.7130263608353303,0.3611872146118722,0.05068493150684927,0.027853881278538828,0.02602739726027392,-0.11050228310502286,0.1479452054794521,0.05388127853881275,0.04748858447488591
59,59,0.7534246575342466,0.6447368421052632,0.7229972612119138,0.8155597398151317,0.09908675799086752,0.0036529680365297024,-0.0004566210045662267,0.005479452054794498,-0.04931506849315059,-0.005022831050228271,0.0009132420091324533,0.0031963470319634757
60,60,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.7724238274563505,0.05799086757990857,-0.023287671232876672,-0.008219178082191747,-0.012328767123287676,-0.07488584474885851,0.05662100456621011,0.07031963470319635,0.031963470319634646
61,61,0.7899543378995434,0.7051282051282052,0.7634799726121191,0.860664156110921,0.057077625570776336,0.0018264840182647957,0.0022831050228310223,-0.00776255707762552,-0.018721461187214627,0.020547945205479645,0.008675799086758085,0.0031963470319634757
62,62,0.7442922374429224,0.6164383561643836,0.7091321465251627,0.8182129407737075,0.0009132420091324533,-0.036073059360730575,-0.048858447488584256,-0.05296803652968041,-0.0328767123287671,0.031050228310502304,0.034703196347031895,0.019178082191780854
63,63,0.7442922374429224,0.6164383561643836,0.7091321465251627,0.7789284491612462,0.03013698630136985,-0.04155251141552507,-0.02237442922374422,-0.02511415525114158,-0.07990867579908678,0.035159817351598344,0.024657534246575463,0.046575342465753455
64,64,0.7168949771689498,0.5571428571428572,0.6765234508729887,0.7838069154399178,0.021917808219177992,-0.022831050228310446,-0.024657534246575352,-0.031050228310502193,-0.0009132420091324533,-0.015525114155251152,-0.0036529680365297024,-0.005936073059360725
65,65,0.7123287671232876,0.5594405594405595,0.6740842177336529,0.6935124957206436,0.022831050228310446,-0.012785388127853903,-0.038812785388127935,-0.036073059360730575,-0.054337899543378976,0.004109589041095929,0.0018264840182649067,-0.0091324200913242
66,66,0.7945205479452054,0.7239263803680982,0.7734080794248545,0.7897980143786376,0.1059360730593607,0.006849315068493067,0.008219178082191747,-0.014611872146118698,-0.06849315068493156,0.0767123287671232,0.07442922374429217,0.0009132420091324533
67,67,0.7442922374429224,0.631578947368421,0.7136254707292022,0.8230058199246834,0.12191780821917808,-0.013698630136986245,-0.008219178082191747,0.01689497716894972,-0.10593607305936081,0.08904109589041087,0.05753424657534245,0.010045662100456654
68,68,0.7990867579908676,0.717948717948718,0.7728517630948306,0.9262238959260527,0.07762557077625576,0.006849315068493178,0.0009132420091324533,0.019178082191780854,0.07716894977168953,0.03378995433789955,0.06712328767123288,0.0694063926940639
69,69,0.7945205479452054,0.7133757961783439,0.7689147552208149,0.9097055802807258,0.06712328767123277,-0.020547945205479423,-0.05068493150684927,-0.027853881278538828,0.02374429223744301,0.026027397260274032,0.020547945205479423,0.018721461187214627
