,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled
198,198,0.72,0.6956521739130435,0.7296502124877411,0.8166067342268715,0.29777777777777775
199,199,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8212651193200392,0.29733333333333334
200,200,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8098234717227852,0.29555555555555557
201,201,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8094965675057209,0.29155555555555557
202,202,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8173422687152664,0.29555555555555557
203,203,0.72,0.6956521739130435,0.7296502124877411,0.8142366786531547,0.2951111111111111
204,204,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8099869238313173,0.2795555555555556
205,205,0.72,0.6956521739130435,0.7296502124877411,0.8192219679633866,0.30755555555555547
206,206,0.72,0.6956521739130435,0.7296502124877411,0.8157894736842104,0.3004444444444444
207,207,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8085158548545276,0.2911111111111111
208,208,0.72,0.6956521739130435,0.7296502124877411,0.8165250081726054,0.29333333333333333
209,209,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8147270349787513,0.2924444444444445
210,210,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8096600196142529,0.29777777777777775
211,211,0.72,0.6956521739130435,0.7296502124877411,0.8162798300098071,0.29999999999999993
212,212,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8132559660019615,0.2973333333333333
213,213,0.7155555555555555,0.6862745098039216,0.7225400457665905,0.8209382151029748,0.29244444444444434
214,214,0.7244444444444444,0.7019230769230769,0.7350849950964367,0.8233899967309577,0.3084444444444444
215,215,0.72,0.6956521739130435,0.7296502124877411,0.8214285714285714,0.2986666666666666
216,216,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8139915004903564,0.28533333333333344
217,217,0.72,0.6956521739130435,0.7296502124877411,0.8165250081726054,0.3062222222222222
218,218,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8162798300098071,0.28577777777777774
219,219,0.72,0.6956521739130435,0.7296502124877411,0.8166884602811376,0.3035555555555555
220,220,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8080254985289311,0.29377777777777775
221,221,0.72,0.6956521739130435,0.7296502124877411,0.8171788166067342,0.30222222222222217
222,222,0.72,0.6956521739130435,0.7296502124877411,0.8170153644982021,0.3026666666666667
223,223,0.72,0.6956521739130435,0.7296502124877411,0.8170970905524682,0.2955555555555555
224,224,0.72,0.6956521739130435,0.7296502124877411,0.8211833932657732,0.29822222222222217
225,225,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8221641059169664,0.30311111111111116
226,226,0.72,0.6956521739130435,0.7296502124877411,0.8160346518470089,0.30755555555555547
227,227,0.72,0.6956521739130435,0.7296502124877411,0.8229813664596274,0.3008888888888888
228,228,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8111310885910429,0.288
229,229,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8135011441647598,0.276
230,230,0.72,0.6956521739130435,0.7296502124877411,0.8225727361882967,0.2986666666666666
231,231,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.821918927754168,0.3022222222222222
232,232,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8196305982347173,0.31022222222222223
233,233,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8116214449166393,0.28977777777777786
234,234,0.72,0.6956521739130435,0.7296502124877411,0.8229813664596274,0.3048888888888889
235,235,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.810395554102648,0.29777777777777775
236,236,0.72,0.6956521739130435,0.7296502124877411,0.8189767898005884,0.2968888888888888
237,237,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8149722131415496,0.29377777777777775
238,238,0.72,0.6956521739130435,0.7296502124877411,0.819548872180451,0.30133333333333334
239,239,0.72,0.6956521739130435,0.7296502124877411,0.8220006538084341,0.30177777777777776
240,240,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8148087610330174,0.28577777777777785
241,241,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8157077476299444,0.308
242,242,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8109676364825107,0.28177777777777785
243,243,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8118666230794377,0.29377777777777786
244,244,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8114579928081073,0.29600000000000004
245,245,0.72,0.6956521739130435,0.7296502124877411,0.8181595292579273,0.29822222222222217
246,246,0.72,0.6956521739130435,0.7296502124877411,0.8153808434128801,0.2951111111111111
247,247,0.72,0.6956521739130435,0.7296502124877411,0.8175057208237986,0.3044444444444444
248,248,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8085975809087937,0.29733333333333334
249,249,0.72,0.6956521739130435,0.7296502124877411,0.8166884602811377,0.2924444444444444
