,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled
116,116,0.7733333333333333,0.7437185929648241,0.7781137626675384,0.8288656423667865,0.33422222222222214
117,117,0.7333333333333333,0.719626168224299,0.7493053285387381,0.8116214449166395,0.3222222222222222
118,118,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8354854527623405,0.42399999999999993
119,119,0.7377777777777778,0.7255813953488373,0.7547401111474338,0.7964203988231449,0.32399999999999995
120,120,0.8755555555555555,0.8478260869565217,0.8712814645308924,0.8961261850277871,0.4404444444444444
121,121,0.72,0.7096774193548387,0.7380271330500163,0.8053285387381498,0.3106666666666667
122,122,0.8355555555555556,0.8121827411167513,0.8407976462896372,0.8591042824452436,0.4044444444444445
123,123,0.84,0.8085106382978723,0.8378555083360575,0.8816606734226872,0.40222222222222215
124,124,0.7733333333333333,0.7559808612440191,0.7864906832298137,0.8293559986923831,0.35999999999999993
125,125,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.8373651520104609,0.42977777777777776
126,126,0.76,0.7378640776699029,0.7701863354037267,0.8245341614906831,0.33688888888888885
127,127,0.7911111111111111,0.7638190954773869,0.7965021248774109,0.8559169663288656,0.35111111111111104
128,128,0.8444444444444444,0.8148148148148148,0.8432902909447533,0.8774109186008501,0.4328888888888889
129,129,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8341778358940831,0.4315555555555556
130,130,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.831644328211834,0.4231111111111111
131,131,0.8355555555555556,0.8,0.8307453416149069,0.849624060150376,0.4093333333333334
132,132,0.8577777777777778,0.8202247191011236,0.8478669499836547,0.8332788492971559,0.42444444444444446
133,133,0.8311111111111111,0.8080808080808081,0.8370382477933965,0.8640895717554756,0.4182222222222223
134,134,0.7111111111111111,0.7004608294930875,0.72883295194508,0.8063092513893431,0.2911111111111111
135,135,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8346681922196797,0.41244444444444445
136,136,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8330336711343578,0.444
137,137,0.7511111111111111,0.7383177570093458,0.7676936907486107,0.8688296829029094,0.3186666666666666
138,138,0.76,0.7452830188679245,0.7752124877410919,0.8327067669172932,0.3417777777777778
139,139,0.7111111111111111,0.644808743169399,0.7003514220333442,0.8221641059169664,0.252
140,140,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8311539718862373,0.41822222222222216
141,141,0.7688888888888888,0.75,0.781055900621118,0.8169336384439361,0.35688888888888876
142,142,0.8577777777777778,0.8181818181818182,0.8461915658711998,0.830908793723439,0.420888888888889
143,143,0.8222222222222222,0.7872340425531915,0.8194671461261851,0.865969271003596,0.38755555555555554
144,144,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8329519450800915,0.4075555555555555
145,145,0.8666666666666667,0.8275862068965517,0.853710362863681,0.834177835894083,0.436888888888889
146,146,0.7955555555555556,0.7722772277227723,0.8036122915985616,0.8609839816933639,0.3706666666666667
147,147,0.7288888888888889,0.7188940092165899,0.7472213141549526,0.7611147433801896,0.29600000000000004
148,148,0.7733333333333333,0.751219512195122,0.7831399150049037,0.8237169009480223,0.34488888888888886
149,149,0.8533333333333334,0.8176795580110497,0.8457829355998692,0.8347499182739457,0.42311111111111116
150,150,0.8266666666666667,0.7936507936507936,0.8249019287348807,0.8500326904217065,0.40533333333333327
151,151,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8386727688787187,0.40800000000000003
152,152,0.7777777777777778,0.7524752475247525,0.7852239293886891,0.8313991500490356,0.3364444444444445
153,153,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9030728996404054,0.43555555555555553
154,154,0.7911111111111111,0.7684729064039408,0.799852893102321,0.851340307289964,0.36044444444444446
155,155,0.7911111111111111,0.7638190954773869,0.7965021248774109,0.8377737822817914,0.35911111111111105
156,156,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.8886073880353056,0.44577777777777766
157,157,0.76,0.7378640776699029,0.7701863354037267,0.8265773128473357,0.33333333333333337
158,158,0.7644444444444445,0.7439613526570048,0.7756211180124224,0.8319712324288985,0.33422222222222225
159,159,0.7066666666666667,0.7027027027027027,0.7284243216737496,0.7930696305982348,0.28444444444444444
160,160,0.7777777777777778,0.7572815533980582,0.7885746976135992,0.8720987250735535,0.34977777777777774
