,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled
129,129,0.7808219178082192,0.7551020408163265,0.7840636768230058,0.8677678877096885,0.33287671232876714
130,130,0.817351598173516,0.7938144329896907,0.8200530640191716,0.9014892160219103,0.3716894977168949
131,131,0.730593607305936,0.7121951219512195,0.7392588154741526,0.8377268058883944,0.28493150684931506
132,132,0.726027397260274,0.7115384615384616,0.7368195823348169,0.8371276959945224,0.28995433789954334
133,133,0.6757990867579908,0.6926406926406926,0.702499144128723,0.7950188291680931,0.2497716894977169
134,134,0.730593607305936,0.7230046948356808,0.7452499144128724,0.8716193084560083,0.2707762557077625
135,135,0.6894977168949772,0.6761904761904762,0.7008301951386511,0.8077713111947963,0.238812785388128
136,136,0.8447488584474886,0.8131868131868132,0.8391817870592263,0.8927593289969189,0.4027397260273973
137,137,0.8447488584474886,0.8,0.8301951386511468,0.9081650119821979,0.3497716894977169
138,138,0.7625570776255708,0.7291666666666666,0.7623245463882232,0.858952413557001,0.31735159817351605
139,139,0.7397260273972602,0.7272727272727273,0.7516261554262239,0.8746148579253681,0.2963470319634703
140,140,0.7945205479452054,0.7715736040609137,0.7988702499144129,0.8848853132488874,0.35296803652968034
141,141,0.7442922374429224,0.7333333333333333,0.7570609380349196,0.8717904827114002,0.3196347031963471
142,142,0.7442922374429224,0.72,0.74957206436152,0.8480828483396097,0.30365296803652975
143,143,0.730593607305936,0.714975845410628,0.7407565902088327,0.8626326600479287,0.2963470319634703
144,144,0.7397260273972602,0.7164179104477612,0.7456350564875043,0.8503937007874015,0.29360730593607304
145,145,0.7488584474885844,0.7393364928909952,0.7624957206436151,0.8815474152687436,0.31095890410958893
146,146,0.730593607305936,0.7203791469194313,0.7437521396781924,0.8412358781239302,0.2684931506849315
147,147,0.726027397260274,0.7142857142857143,0.7383173570694967,0.8236905169462514,0.2894977168949773
148,148,0.7123287671232876,0.7069767441860465,0.7280041081821294,0.8438462855186581,0.2785388127853881
149,149,0.8401826484018264,0.8128342245989305,0.8382403286545703,0.9006333447449503,0.3977168949771689
150,150,0.8447488584474886,0.8210526315789474,0.8451728859979459,0.890619650804519,0.3863013698630137
151,151,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.8969530982540225,0.4155251141552511
152,152,0.771689497716895,0.7641509433962265,0.7866740842177337,0.9172372475179733,0.3447488584474886
153,153,0.7625570776255708,0.7678571428571429,0.7862889421431016,0.8942143101677508,0.3296803652968037
154,154,0.7625570776255708,0.75,0.7743067442656624,0.891047586442999,0.3374429223744293
155,155,0.7442922374429224,0.7333333333333333,0.7570609380349196,0.8559568640876413,0.30730593607305945
156,156,0.680365296803653,0.6788990825688074,0.6974495035946593,0.8246319753509073,0.25251141552511414
157,157,0.7442922374429224,0.7254901960784313,0.7525676138308799,0.8529613146182814,0.30730593607305945
158,158,0.730593607305936,0.7177033492822966,0.7422543649435125,0.8702499144128724,0.29086757990867584
159,159,0.6575342465753424,0.6887966804979253,0.6912444368366998,0.7638651146867512,0.23150684931506849
160,160,0.730593607305936,0.7230046948356808,0.7452499144128724,0.8666552550496405,0.29954337899543376
161,161,0.7579908675799086,0.7439613526570048,0.7688719616569668,0.858524477918521,0.317351598173516
162,162,0.7031963470319634,0.7085201793721974,0.7246234166381376,0.8986648408079425,0.2648401826484018
163,163,0.7488584474885844,0.7465437788018433,0.7669890448476548,0.8827456350564874,0.32009132420091324
164,164,0.6986301369863014,0.7053571428571429,0.7206864087641218,0.7300581992468332,0.27716894977168954
165,165,0.7442922374429224,0.7307692307692307,0.7555631633002396,0.8340465593974666,0.31643835616438365
166,166,0.7488584474885844,0.7441860465116279,0.765491270112975,0.906881205066758,0.31415525114155246
167,167,0.7945205479452054,0.7761194029850746,0.8018657993837727,0.904998288257446,0.3621004566210045
168,168,0.7488584474885844,0.7317073170731707,0.7580023964395755,0.8590380006846969,0.29817351598173514
169,169,0.7853881278538812,0.7564766839378239,0.7865029099623416,0.8923313933584389,0.33789954337899536
170,170,0.7899543378995434,0.7553191489361702,0.7874443683669976,0.8628038343033209,0.35479452054794525
171,171,0.6712328767123288,0.6756756756756757,0.6910732625813077,0.8196679219445395,0.23013698630136992
172,172,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9091064703868539,0.4342465753424658
173,173,0.7671232876712328,0.746268656716418,0.7737504279356384,0.8712769599452241,0.3474885844748858
174,174,0.8036529680365296,0.7942583732057417,0.8172286888052037,0.8855700102704555,0.3794520547945205
175,175,0.8127853881278538,0.783068783068783,0.811622731941116,0.8929305032523109,0.38264840182648396
176,176,0.7534246575342466,0.7326732673267327,0.7604416295789114,0.8501369394043136,0.31917808219178084
177,177,0.7168949771689498,0.7207207207207207,0.7379322149948648,0.90448476549127,0.28675799086757997
178,178,0.8082191780821918,0.78125,0.8091834988017802,0.8909619993153028,0.365296803652968
179,179,0.7808219178082192,0.7623762376237624,0.7885570010270455,0.8971242725094147,0.3506849315068494
180,180,0.7351598173515982,0.7211538461538461,0.7461913728175282,0.8255734337555631,0.30593607305936077
181,181,0.7031963470319634,0.7058823529411765,0.7231256419034577,0.8750427935638478,0.27168949771689505
182,182,0.680365296803653,0.6788990825688074,0.6974495035946593,0.8151318041766519,0.24474885844748862
183,183,0.7397260273972602,0.7192118226600985,0.7471328312221841,0.8392673741869223,0.30365296803652964
184,184,0.8356164383561644,0.8163265306122449,0.8402944197192742,0.9057685724067099,0.3972602739726028
185,185,0.7808219178082192,0.7575757575757576,0.7855614515576856,0.8558712769599451,0.3447488584474886
186,186,0.7488584474885844,0.7317073170731707,0.7580023964395755,0.8801780212256077,0.29406392694063926
187,187,0.7990867579908676,0.78,0.8058028072577884,0.8962684012324547,0.35890410958904106
188,188,0.7442922374429224,0.7307692307692307,0.7555631633002396,0.8936152002738789,0.31004566210045664
189,189,0.6894977168949772,0.6851851851851852,0.7053235193426909,0.826343717904827,0.24931506849315077
190,190,0.7579908675799086,0.7414634146341463,0.7673741869222869,0.8968675111263267,0.32648401826484014
191,191,0.7168949771689498,0.7075471698113207,0.7304433413214653,0.827456350564875,0.2771689497716896
192,192,0.7123287671232876,0.6896551724137931,0.71901745977405,0.8323348168435467,0.2721461187214612
193,193,0.7123287671232876,0.7069767441860465,0.7280041081821294,0.8515063334474494,0.2817351598173516
194,194,0.7397260273972602,0.7323943661971831,0.7546217048955837,0.890790825059911,0.3095890410958904
195,195,0.7123287671232876,0.7123287671232876,0.7309996576514892,0.8414926395070182,0.2666666666666667
196,196,0.730593607305936,0.7255813953488373,0.7467476891475522,0.8248887367339951,0.30867579908675796
197,197,0.730593607305936,0.7121951219512195,0.7392588154741526,0.8364429989729545,0.2776255707762557
198,198,0.7351598173515982,0.7521367521367521,0.7656624443683671,0.8629750085587127,0.3146118721461187
199,199,0.7579908675799086,0.7439613526570048,0.7688719616569668,0.8382403286545702,0.3150684931506849
200,200,0.8401826484018264,0.8128342245989305,0.8382403286545703,0.8994351249572066,0.3812785388127854
201,201,0.7579908675799086,0.7439613526570048,0.7688719616569668,0.8478260869565217,0.3127853881278538
202,202,0.7168949771689498,0.7155963302752294,0.734936665525505,0.8413214652516262,0.27168949771689505
203,203,0.8036529680365296,0.7425149700598802,0.7857754193769257,0.8823176994180076,0.3634703196347031
204,204,0.730593607305936,0.7230046948356808,0.7452499144128724,0.8580109551523449,0.2917808219178082
205,205,0.8493150684931506,0.8176795580110497,0.843118794933242,0.8967819239986307,0.41643835616438357
206,206,0.7442922374429224,0.7281553398058253,0.7540653885655597,0.8719616569667922,0.3168949771689499
207,207,0.6940639269406392,0.7022222222222222,0.7167494008901061,0.84380349195481,0.2639269406392694
208,208,0.7351598173515982,0.7211538461538461,0.7461913728175282,0.8563847997261212,0.2986301369863015
209,209,0.771689497716895,0.7448979591836735,0.7746918863402944,0.8586100650462171,0.3337899543378996
210,210,0.684931506849315,0.6820276497695853,0.7013865114686751,0.8609209174940089,0.2397260273972603
211,211,0.680365296803653,0.6875,0.7019428277986991,0.8774392331393358,0.2488584474885845
212,212,0.7214611872146118,0.7188940092165899,0.7388736733995207,0.812649777473468,0.2607305936073059
213,213,0.7579908675799086,0.7488151658767772,0.7718675111263267,0.8668264293050326,0.32237442922374426
214,214,0.7214611872146118,0.7136150234741784,0.7358781239301608,0.8287401574803149,0.27442922374429224
215,215,0.7671232876712328,0.7605633802816901,0.7827370763437179,0.9207463197535091,0.33424657534246577
216,216,0.7442922374429224,0.7254901960784313,0.7525676138308799,0.8769257103731598,0.30776255707762556
217,217,0.7534246575342466,0.7403846153846154,0.7649349537829511,0.8904484765491271,0.31689497716894977
