,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
44,44,0.8804780876494024,0.8351648351648352,0.8690183210281652,0.9451736395952968,0.012749003984063756,0.03426294820717135,0.019521912350597526,0.0063745019920319335,0.0023904382470120167,-0.002788844621513964,0.003984063745020028,0.008764940239043839,-0.006772908366533881,-0.01673306772908356,0.038645418326693215,0.028286852589641365
45,45,0.8725099601593626,0.8279569892473119,0.86501914137271,0.9422340716434237,0.033466135458167345,0.02390438247011961,0.03426294820717135,0.05657370517928284,0.006772908366533881,-0.0063745019920318224,0.00039840637450194727,-0.0019920318725099584,-0.01673306772908356,0.023107569721115606,-0.0011952191235059528,-0.0003984063745020583
46,46,0.8326693227091634,0.7558139534883721,0.8060910582444627,0.941960623461854,0.03426294820717135,-0.01553784860557772,-0.0063745019920318224,0.0011952191235059528,-0.023505976095617553,0.007968127490039945,-0.0015936254980079,-0.0023904382470119057,-0.02071713147410348,-0.006772908366533881,-0.003984063745019806,-0.011155378486055745
47,47,0.8565737051792829,0.8064516129032258,0.847860267979218,0.9463357943669675,0.005976095617529875,0.007569721115537775,0.028685258964143423,0.011553784860557692,0.028685258964143423,-0.0011952191235059528,-0.010756972111553798,0.002788844621513964,-0.022709163346613548,0.015139442231075773,0.00836653386454178,0.06055776892430276
48,48,0.8326693227091634,0.78125,0.8289923434509161,0.917418649165983,0.023107569721115606,0.0019920318725099584,0.014741035856573825,0.028286852589641587,-0.0063745019920318224,0.00039840637450194727,0.004780876494023922,-0.010756972111553798,0.0007968127490040056,0.00517928286852587,0.0035856573705178585,0.013944223107569709
49,49,0.8247011952191236,0.7708333333333334,0.8204129067541701,0.9190593382554006,-0.0011952191235059528,0.02908366533864548,0.030278884462151434,0.009561752988047845,-0.023505976095617553,0.004780876494023922,0.0011952191235059528,0.003984063745020028,-0.01912350597609558,0.01035856573705185,0.019521912350597748,-0.005976095617529875
50,50,0.9043824701195219,0.8651685393258427,0.8901763740771125,0.9670494941208642,0.017529880478087678,0.017928286852589626,0.023505976095617442,0.007968127490039945,0.024701195219123506,0.01872509960159363,-0.005577689243027817,0.002788844621513964,0.004382470119522086,-0.005976095617529875,0.0063745019920319335,0.0346613545816733
51,51,0.8565737051792829,0.7721518987341772,0.8157984686901831,0.9632212195788898,0.031474103585657276,-0.009561752988047734,0.0019920318725099584,0.00517928286852587,-0.015139442231075662,0.006772908366533881,0.007968127490039945,-0.0063745019920318224,-0.01713147410358562,0.0007968127490040056,0.005976095617529875,1.1102230246251565e-16
52,52,0.8406374501992032,0.7872340425531915,0.8329915231063714,0.9468143286847143,-0.0035856573705179695,0.012749003984063756,-0.021115537848605537,0.019521912350597748,-0.014342629482071656,-0.020318725099601642,-0.016334661354581725,-0.017928286852589626,-0.04342629482071714,0.0019920318725099584,0.021912350597609542,-0.029880478087649376
53,53,0.8446215139442231,0.7450980392156863,0.7972039923434509,0.9578206179928904,0.0011952191235059528,0.003984063745020028,-0.0015936254980079,1.1102230246251565e-16,-0.027888446215139306,0.0015936254980080111,0.0007968127490040056,0.007171314741035939,-0.009960159362549792,-0.003984063745019806,0.0035856573705178585,-0.007171314741035828
54,54,0.8884462151394422,0.8541666666666666,0.8890484003281378,0.9701941482089145,-0.005179282868525759,0.03585657370517936,0.008764940239043839,0.0063745019920319335,0.014342629482071767,0.007569721115537775,0.012350597609561698,-0.0023904382470119057,-0.006772908366533659,0.00836653386454178,0.011553784860557692,0.007171314741035939
55,55,0.8286852589641435,0.7597765363128491,0.8098167897183484,0.9410719168717528,-0.004780876494023811,-0.009960159362549792,-0.0015936254980079,0.00517928286852587,-0.009561752988047734,0.007569721115537775,-0.0019920318725099584,-0.011155378486055745,-0.03227091633466139,-0.01195219123505964,-0.005976095617529875,-0.00517928286852587
56,56,0.8047808764940239,0.72,0.7794982225868199,0.9386108832376265,0.012350597609561698,0.009960159362549792,-0.013944223107569709,-0.0015936254980080111,-0.03466135458167341,-0.02908366533864548,-0.021513944223107595,-0.013545816733067761,-0.0330677290836654,-0.02908366533864548,0.0023904382470119057,-0.025099601593625565
57,57,0.8247011952191236,0.7528089887640449,0.8043820071096528,0.9441482089144108,0.00039840637450194727,0.017928286852589737,-0.01035856573705174,0.013545816733067761,-0.027091633466135412,-0.020318725099601642,-0.01553784860557772,-0.011553784860557803,-0.028286852589641476,-0.007569721115537886,-0.043824701195218974,0.003984063745020028
58,58,0.8326693227091634,0.7558139534883721,0.8060910582444627,0.9392261416461581,0.018725099601593742,0.013944223107569709,0.004780876494023922,0.014741035856573714,-0.040239043824701226,0.0035856573705178585,-0.01195219123505964,0.015139442231075773,0.0031872509960160222,-0.012749003984063645,0.003984063745020028,-0.03585657370517914
59,59,0.8764940239043825,0.8393782383419689,0.8773243095433416,0.9595980311730927,0.00039840637450194727,0.01872509960159363,0.005577689243027928,0.0035856573705178585,0.018326693227091684,0.0031872509960160222,0.005577689243027928,-0.0031872509960159112,-0.0007968127490038945,0.021115537848605537,0.015537848605577609,0.02071713147410359
60,60,0.852589641434263,0.8229665071770335,0.8699070276182663,0.9520098441345366,0.019521912350597526,-0.005577689243027817,-0.005577689243027817,-0.0031872509960159112,0.008764940239043839,-0.028286852589641476,-0.030278884462151323,0.007171314741035939,-0.0035856573705179695,0.013545816733067761,0.006772908366533881,0.011553784860557692
61,61,0.8645418326693227,0.8089887640449438,0.8472791905933825,0.9516680339075746,0.023107569721115606,0.03067729083665338,0.01872509960159363,0.012749003984063756,0.0019920318725099584,0.015139442231075773,0.002788844621513964,0.024701195219123506,-0.02390438247011939,0.019521912350597526,0.002788844621513964,0.013147410358565703
62,62,0.8446215139442231,0.8133971291866029,0.8613275909215203,0.9520782061799289,0.003984063745020028,0.0019920318725099584,-0.003984063745019806,0.0011952191235059528,0.01035856573705185,-0.04103585657370512,-0.037051792828685204,-0.01354581673306765,0.0015936254980080111,0.02270916334661366,-0.007968127490039723,0.009960159362549792
63,63,0.8087649402390438,0.7073170731707317,0.7711922340716435,0.9261689909762101,0.03904382470119516,-0.0015936254980080111,0.007171314741035828,0.01912350597609558,-0.021912350597609653,-0.004382470119521864,0.015537848605577609,0.009163346613545786,-0.002788844621513853,0.003984063745019917,-0.018725099601593742,0.0003984063745020583
64,64,0.900398406374502,0.8648648648648649,0.8939021055509981,0.9589827727645612,0.013944223107569709,0.023505976095617442,0.03585657370517936,0.03824701195219127,0.01035856573705185,0.010756972111553909,0.004780876494023922,0.004382470119521864,-0.0003984063745020583,0.007968127490039945,0.014342629482071767,0.008366533864542003
65,65,0.900398406374502,0.861878453038674,0.8893218485097074,0.9650669948044845,0.022709163346613548,0.052191235059760865,0.04860557768924301,0.07410358565737052,0.029880478087649376,0.021115537848605537,0.035059760956175356,0.0223107569721116,0.012350597609561698,0.019920318725099695,0.030278884462151434,0.041832669322709126
66,66,0.8605577689243028,0.8066298342541437,0.8464246650259776,0.9563166529942576,0.018326693227091684,0.03426294820717135,0.02948207171314743,0.016334661354581614,0.02948207171314743,0.005976095617529875,0.022709163346613548,0.004780876494023922,-0.004780876494023811,0.023505976095617442,0.031474103585657276,-0.0063745019920318224
67,67,0.8645418326693227,0.8316831683168316,0.8747607328411267,0.9634946677604594,0.011952191235059861,0.0023904382470120167,0.003984063745020028,0.00836653386454178,0.006772908366533881,-0.04223107569721107,-0.02430278884462156,-0.019920318725099473,-0.012749003984063645,-0.003984063745019806,-0.024701195219123395,0.023107569721115606
68,68,0.8725099601593626,0.8297872340425532,0.8673092698933552,0.9611703582171179,-0.0035856573705179695,0.012350597609561698,0.026693227091633465,0.01713147410358562,0.02390438247011961,0.005577689243027928,-0.009561752988047734,0.0019920318725099584,-0.020318725099601642,0.02749003984063736,0.02390438247011961,-0.01035856573705174
69,69,0.8446215139442231,0.7771428571428571,0.8223954060705496,0.9461990702761827,1.1102230246251565e-16,0.004382470119521864,0.011553784860557692,0.0063745019920319335,-0.004382470119521975,0.0023904382470120167,-0.002788844621513964,-0.01354581673306765,-0.023505976095617553,-0.0011952191235059528,-0.011155378486055745,0.013545816733067761
70,70,0.848605577689243,0.7888888888888889,0.8324104457205359,0.9451736395952968,-0.002788844621513964,0.015537848605577609,0.009561752988047845,0.0019920318725099584,0.011155378486055856,0.00517928286852587,0.0007968127490040056,0.01912350597609569,-0.004382470119521975,0.015139442231075773,0.004382470119521864,0.02788844621513953
71,71,0.8725099601593626,0.8160919540229885,0.8512783702488378,0.9521465682253214,0.012749003984063756,0.050597609561752965,0.03107569721115544,0.03824701195219127,-0.015936254980079556,0.014741035856573714,0.02788844621513953,0.013545816733067761,-0.016334661354581725,0.005976095617529875,0.003984063745020028,0.040239043824701115
72,72,0.8326693227091634,0.7692307692307693,0.8175417008476894,0.9552228602679793,-0.00517928286852587,0.011553784860557692,-0.02231075697211149,0.02390438247011961,-0.011553784860557803,-0.015139442231075662,-0.03067729083665338,-0.015139442231075662,-0.021513944223107484,-0.004382470119521975,-0.016334661354581725,-0.012749003984063645
73,73,0.8007968127490039,0.7222222222222222,0.7809338255400602,0.9283565764287668,0.0031872509960159112,0.008764940239043728,0.007171314741035828,0.009163346613545786,-0.015936254980079667,-0.032270916334661504,-0.013147410358565814,0.005976095617529875,-0.055776892430278835,-0.02749003984063758,-0.03107569721115544,-0.0314741035856575
74,74,0.8924302788844621,0.8586387434554974,0.8921930544161881,0.9657506152584086,0.012350597609561698,0.016334661354581614,0.013147410358565703,0.0035856573705178585,0.052191235059760865,0.0011952191235059528,0.004780876494023922,0.007968127490039945,0.007968127490039945,0.015139442231075773,0.017928286852589626,0.060956175298804705
75,75,0.848605577689243,0.7625,0.8095091605140825,0.9403199343724364,0.012749003984063756,0.008764940239043839,0.013147410358565703,0.017928286852589626,0.011952191235059861,0.00517928286852587,0.00517928286852587,0.017928286852589626,0.011553784860557692,0.014342629482071767,-0.0031872509960159112,0.03266932270916334
76,76,0.8605577689243028,0.7712418300653595,0.8143628657369428,0.9615121684440799,-0.005976095617529875,-0.007569721115537886,-0.005976095617529875,-0.0011952191235059528,-0.011155378486055745,0.00836653386454178,0.0011952191235059528,-0.006772908366533881,0.008764940239043839,0.008764940239043839,0.01912350597609569,0.011952191235059861
77,77,0.9083665338645418,0.8808290155440415,0.9116420563303254,0.9738856986601039,0.011952191235059861,0.0031872509960160222,0.025099601593625454,0.022709163346613548,0.04701195219123511,-0.0019920318725099584,-0.007171314741035828,-0.003984063745019806,-0.007569721115537664,0.0031872509960160222,-0.01195219123505964,0.03904382470119527
