,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
87,87,0.6334661354581673,0.0,0.5,0.8559611703582172,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
88,88,0.852589641434263,0.8082901554404145,0.8515859994531036,0.9420973475526389,0.00836653386454178,0.011952191235059861,0.0063745019920319335,0.006772908366533881
89,89,0.848605577689243,0.81,0.8553117309269893,0.9251435602953241,0.044223107569721254,0.0011952191235059528,0.011155378486055856,0.004780876494023922
90,90,0.6334661354581673,0.0,0.5,0.8597894449001915,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
91,91,0.6334661354581673,0.0,0.5,0.8599261689909762,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
92,92,0.8725099601593626,0.8383838383838383,0.8787599124965819,0.9452420016406891,0.13147410358565736,0.12310756972111547,0.011155378486055856,0.011155378486055856
93,93,0.6334661354581673,0.0,0.5,0.9164615805304895,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
94,94,0.6972111553784861,0.2962962962962963,0.5869565217391304,0.9533087229969921,-0.003984063745019917,-0.005577689243027928,-0.0031872509960160222,0.0
95,95,0.6454183266932271,0.06315789473684211,0.5163043478260869,0.9356029532403609,-0.015139442231075773,0.011553784860557692,0.01035856573705174,0.01035856573705174
96,96,0.8326693227091634,0.7236842105263158,0.7831897730380093,0.9452420016406891,0.05019920318725102,0.007171314741035939,0.015537848605577609,0.035458167330677304
97,97,0.8685258964143426,0.8465116279069768,0.8939362865736943,0.9762783702488379,0.29800796812749,0.15816733067729072,0.05816733067729085,0.12310756972111547
98,98,0.9083665338645418,0.8855721393034826,0.9208025704129068,0.9798331966092426,0.011952191235059861,0.13466135458167328,0.11314741035856568,0.14621513944223097
99,99,0.8645418326693227,0.8425925925925926,0.890791632485644,0.978534317746787,0.20717131474103578,0.20079681274900396,0.19043824701195222,0.149402390438247
100,100,0.8605577689243028,0.8356807511737089,0.883066721356303,0.8905523653267706,0.1549800796812748,0.14860557768924298,0.21513944223107562,0.011952191235059861
101,101,0.8406374501992032,0.7894736842105263,0.8352816516270167,0.8981405523653269,0.019521912350597748,0.014342629482071767,0.03585657370517936,0.009561752988047845
102,102,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9254853705222861,0.09960159362549803,0.023107569721115606,0.04103585657370512,0.025498007968127512
103,103,0.6334661354581673,0.0,0.5,0.9270576975663113,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
104,104,0.9203187250996016,0.898989898989899,0.9302365326770576,0.9752529395679519,0.016334661354581836,0.29003984063745014,0.24103585657370508,0.10398406374502
105,105,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9660240634399782,0.011553784860557692,0.13904382470119514,0.05816733067729085,0.14501992031872502
106,106,0.852589641434263,0.8262910798122066,0.874487284659557,0.9287667487011212,0.16533864541832666,0.015537848605577609,0.0007968127490040056,0.0031872509960160222
107,107,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9722450095706864,0.06733067729083664,0.1796812749003983,0.10996015936254977,0.13904382470119514
108,108,0.8366533864541833,0.783068783068783,0.829846869018321,0.93956795187312,0.09999999999999998,0.0015936254980080111,0.0063745019920319335,1.1102230246251565e-16
109,109,0.8007968127490039,0.7340425531914894,0.7900943396226415,0.8717528028438611,0.12430278884462143,0.004780876494023811,0.0011952191235059528,0.03067729083665327
110,110,0.8645418326693227,0.8411214953271028,0.8885015039649986,0.9758681979764835,0.007968127490039945,0.24980079681274892,0.15458167330677286,0.17370517928286844
111,111,0.8725099601593626,0.8461538461538461,0.8902105550998086,0.9484550177741319,0.12231075697211147,0.08286852589641436,0.0023904382470120167,0.057370517928286846
112,112,0.6334661354581673,0.0,0.5,0.9302023516543616,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
