,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled
42,42,0.6334661354581673,0.0,0.5,0.9077112387202625,-1.1102230246251565e-16
43,43,0.6334661354581673,0.0,0.5,0.920016406890894,-1.1102230246251565e-16
44,44,0.6334661354581673,0.0,0.5,0.9109926168990977,-1.1102230246251565e-16
45,45,0.6334661354581673,0.0,0.5,0.9104799015586547,-1.1102230246251565e-16
46,46,0.6334661354581673,0.0,0.5,0.9114711512168444,-1.1102230246251565e-16
47,47,0.6334661354581673,0.0,0.5,0.913966365873667,-1.1102230246251565e-16
48,48,0.6334661354581673,0.0,0.5,0.8995419742958709,-1.1102230246251565e-16
49,49,0.6334661354581673,0.0,0.5,0.9213152857533498,-1.1102230246251565e-16
50,50,0.6334661354581673,0.0,0.5,0.9159488651900465,-1.1102230246251565e-16
51,51,0.6334661354581673,0.0,0.5,0.921383647798742,-1.1102230246251565e-16
52,52,0.6334661354581673,0.0,0.5,0.9206316652994256,-1.1102230246251565e-16
53,53,0.6334661354581673,0.0,0.5,0.927023516543615,-1.1102230246251565e-16
54,54,0.6334661354581673,0.0,0.5,0.8996786983866557,-1.1102230246251565e-16
55,55,0.6334661354581673,0.0,0.5,0.9184782608695652,-1.1102230246251565e-16
56,56,0.6334661354581673,0.0,0.5,0.9172819250751982,-1.1102230246251565e-16
57,57,0.6334661354581673,0.0,0.5,0.9097962811047307,-1.1102230246251565e-16
58,58,0.6334661354581673,0.0,0.5,0.9188200710965272,-1.1102230246251565e-16
59,59,0.6334661354581673,0.0,0.5,0.9133511074651355,-1.1102230246251565e-16
60,60,0.6334661354581673,0.0,0.5,0.9199138638228055,-1.1102230246251565e-16
61,61,0.6334661354581673,0.0,0.5,0.9161539513262237,-1.1102230246251565e-16
62,62,0.6334661354581673,0.0,0.5,0.9202898550724637,-1.1102230246251565e-16
63,63,0.6334661354581673,0.0,0.5,0.9064123598578069,-1.1102230246251565e-16
64,64,0.6334661354581673,0.0,0.5,0.9078137817883511,-1.1102230246251565e-16
65,65,0.6334661354581673,0.0,0.5,0.865053322395406,-1.1102230246251565e-16
66,66,0.6334661354581673,0.0,0.5,0.9208709324582991,-1.1102230246251565e-16
67,67,0.6334661354581673,0.0,0.5,0.9052502050861362,-1.1102230246251565e-16
68,68,0.6334661354581673,0.0,0.5,0.9221014492753623,-1.1102230246251565e-16
69,69,0.6334661354581673,0.0,0.5,0.918273174733388,-1.1102230246251565e-16
70,70,0.6334661354581673,0.0,0.5,0.9150601585999453,-1.1102230246251565e-16
71,71,0.6334661354581673,0.0,0.5,0.9292111019961719,-1.1102230246251565e-16
72,72,0.6334661354581673,0.0,0.5,0.9189226141646158,-1.1102230246251565e-16
73,73,0.6334661354581673,0.0,0.5,0.8945515449822259,-1.1102230246251565e-16
74,74,0.6334661354581673,0.0,0.5,0.8674801750068362,-1.1102230246251565e-16
75,75,0.6334661354581673,0.0,0.5,0.917589554279464,-1.1102230246251565e-16
76,76,0.6334661354581673,0.0,0.5,0.9227508887065901,-1.1102230246251565e-16
77,77,0.6334661354581673,0.0,0.5,0.9151627016680339,-1.1102230246251565e-16
78,78,0.6334661354581673,0.0,0.5,0.9138296417828822,-1.1102230246251565e-16
79,79,0.6334661354581673,0.0,0.5,0.9191960623461854,-1.1102230246251565e-16
80,80,0.6334661354581673,0.0,0.5,0.9164615805304894,-1.1102230246251565e-16
81,81,0.6334661354581673,0.0,0.5,0.9055920153130982,-1.1102230246251565e-16
82,82,0.6334661354581673,0.0,0.5,0.8687106918238995,-1.1102230246251565e-16
83,83,0.6334661354581673,0.0,0.5,0.9161539513262238,-1.1102230246251565e-16
84,84,0.6334661354581673,0.0,0.5,0.9316037735849058,-1.1102230246251565e-16
85,85,0.6334661354581673,0.0,0.5,0.9128725731473886,-1.1102230246251565e-16
86,86,0.6334661354581673,0.0,0.5,0.9173502871205905,-1.1102230246251565e-16
87,87,0.6334661354581673,0.0,0.5,0.8992685261143012,-1.1102230246251565e-16
88,88,0.6334661354581673,0.0,0.5,0.9022080940661743,-1.1102230246251565e-16
89,89,0.6334661354581673,0.0,0.5,0.9070959803117308,-1.1102230246251565e-16
90,90,0.6334661354581673,0.0,0.5,0.9182048126879956,-1.1102230246251565e-16
91,91,0.6334661354581673,0.0,0.5,0.9130434782608696,-1.1102230246251565e-16
92,92,0.6334661354581673,0.0,0.5,0.9197429587093247,-1.1102230246251565e-16
93,93,0.6334661354581673,0.0,0.5,0.9171793820071097,-1.1102230246251565e-16
94,94,0.6334661354581673,0.0,0.5,0.91618813234892,-1.1102230246251565e-16
95,95,0.6334661354581673,0.0,0.5,0.8816652994257588,-1.1102230246251565e-16
96,96,0.6334661354581673,0.0,0.5,0.922545802570413,-1.1102230246251565e-16
97,97,0.6334661354581673,0.0,0.5,0.9221356302980586,-1.1102230246251565e-16
98,98,0.6334661354581673,0.0,0.5,0.9246308449548811,-1.1102230246251565e-16
99,99,0.6334661354581673,0.0,0.5,0.895782061799289,-1.1102230246251565e-16
100,100,0.6334661354581673,0.0,0.5,0.8524405250205086,-1.1102230246251565e-16
101,101,0.6334661354581673,0.0,0.5,0.8859721082854798,-1.1102230246251565e-16
102,102,0.6334661354581673,0.0,0.5,0.9204607601859448,-1.1102230246251565e-16
103,103,0.6334661354581673,0.0,0.5,0.9154703308722998,-1.1102230246251565e-16
104,104,0.6334661354581673,0.0,0.5,0.913966365873667,-1.1102230246251565e-16
105,105,0.6334661354581673,0.0,0.5,0.9080872299699205,-1.1102230246251565e-16
106,106,0.6334661354581673,0.0,0.5,0.9154019688269074,-1.1102230246251565e-16
107,107,0.6334661354581673,0.0,0.5,0.9181706316652993,-1.1102230246251565e-16
108,108,0.6334661354581673,0.0,0.5,0.9147525293956795,-1.1102230246251565e-16
109,109,0.6334661354581673,0.0,0.5,0.911402789171452,-1.1102230246251565e-16
110,110,0.6334661354581673,0.0,0.5,0.9163248564397047,-1.1102230246251565e-16
111,111,0.6334661354581673,0.0,0.5,0.9048058517910856,-1.1102230246251565e-16
112,112,0.6334661354581673,0.0,0.5,0.8937312004375171,-1.1102230246251565e-16
113,113,0.6334661354581673,0.0,0.5,0.9144790812141099,-1.1102230246251565e-16
114,114,0.6334661354581673,0.0,0.5,0.9092152037188953,-1.1102230246251565e-16
115,115,0.6334661354581673,0.0,0.5,0.9191277003007929,-1.1102230246251565e-16
116,116,0.6334661354581673,0.0,0.5,0.9200505879135903,-1.1102230246251565e-16
