,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled
217,217,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9081897730380093,0.40996015936254987
218,218,0.8725099601593626,0.8297872340425532,0.8673092698933552,0.9724500957068636,0.46653386454183265
219,219,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.8863822805578343,0.4852589641434263
220,220,0.6334661354581673,0.0,0.5,0.8954060705496307,-1.1102230246251565e-16
221,221,0.6334661354581673,0.0,0.5,0.9333470057424118,-1.1102230246251565e-16
222,222,0.852589641434263,0.8262910798122066,0.874487284659557,0.9294503691550452,0.4852589641434263
223,223,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9049083948591743,0.4788844621513944
224,224,0.6334661354581673,0.0,0.5,0.9355345911949685,-1.1102230246251565e-16
225,225,0.848605577689243,0.8207547169811321,0.8690525020508614,0.919127700300793,0.4454183266932271
226,226,0.8565737051792829,0.8064516129032258,0.847860267979218,0.9392945036915505,0.3976095617529881
227,227,0.852589641434263,0.8262910798122066,0.874487284659557,0.8852543068088597,0.4278884462151395
228,228,0.9362549800796812,0.9175257731958762,0.9428151490292589,0.9841400054689637,0.49641434262948203
229,229,0.6334661354581673,0.0,0.5,0.9308859721082855,-1.1102230246251565e-16
230,230,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9224774405250206,0.4896414342629482
231,231,0.8366533864541833,0.8038277511961722,0.8527481542247743,0.9298605414273995,0.3418326693227093
232,232,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9117787804211103,0.4239043824701196
233,233,0.6334661354581673,0.0,0.5,0.889937106918239,-1.1102230246251565e-16
234,234,0.8007968127490039,0.7252747252747253,0.7832239540607056,0.8984140005468965,0.22828685258964132
235,235,0.6334661354581673,0.0,0.5,0.9211101996171724,-1.1102230246251565e-16
236,236,0.7689243027888446,0.6588235294117647,0.7351654361498496,0.8782471971561389,0.16693227091633456
237,237,0.8884462151394422,0.8571428571428571,0.8936286573694285,0.973543888433142,0.5007968127490039
238,238,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9044982225868199,0.44980079681274904
239,239,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9034044298605416,0.49083665338645416
240,240,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.8979354662291497,0.43306772908366536
241,241,0.8565737051792829,0.8269230769230769,0.8730516817063168,0.9097621000820345,0.4171314741035857
242,242,0.6334661354581673,0.0,0.5,0.9183757178014765,-1.1102230246251565e-16
243,243,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9237079573420838,0.4270916334661355
244,244,0.6334661354581673,0.0,0.5,0.9361498496035001,-1.1102230246251565e-16
245,245,0.6334661354581673,0.0,0.5,0.03493300519551545,-1.1102230246251565e-16
