,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled
25,25,0.862453531598513,0.7643312101910829,0.8119626627364285,0.8249815770081061,0.3773234200743494,0.02527881040892188,0.12304832713754643
26,26,0.8587360594795539,0.7532467532467533,0.8039179562760992,0.8119626627364285,0.29814126394052043,0.01263940520446094,0.02639405204460965
27,27,0.862453531598513,0.7643312101910829,0.8119626627364285,0.8222181282240234,0.3657992565055762,0.01375464684014871,0.13159851301115233
28,28,0.8847583643122676,0.8098159509202454,0.8445713583886023,0.8392901007123558,0.3899628252788103,0.009665427509293667,0.05650557620817842
29,29,0.8810408921933085,0.8072289156626506,0.8443564234831737,0.8315524441169246,0.3929368029739776,-0.0014869888475838033,0.021933085501858796
30,30,0.8661710037174721,0.7721518987341772,0.817397445345124,0.8252272169000245,0.35130111524163576,0.02379182156133841,0.13977695167286242
31,31,0.8810408921933085,0.8048780487804879,0.8417464996315401,0.8390444608204373,0.3237918215613381,0.00892193308550182,0.0527881040892193
32,32,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8294645050356177,0.31040892193308545,-0.0026022304832713505,0.07397769516728625
33,33,0.8736059479553904,0.7901234567901234,0.8308769344141489,0.8438344387128471,0.3330855018587362,0.005204460966542812,0.04014869888475836
34,34,0.8587360594795539,0.759493670886076,0.8091378039793662,0.8313068042250062,0.3100371747211895,-0.0014869888475836923,0.0037174721189591198
35,35,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.8405797101449275,0.30000000000000004,0.024163568773234112,0.03271375464684023
36,36,0.862453531598513,0.7757575757575758,0.8224023581429625,0.830385654630312,0.20520446096654277,0.006319702602230581,-0.0007434944237919572
37,37,0.8810408921933085,0.8095238095238095,0.8469663473348071,0.8303242446573322,0.3115241635687732,0.017100371747211796,0.0007434944237917351
38,38,0.8773234200743495,0.7975460122699386,0.8363117170228445,0.8306312945222304,0.36654275092936806,0.03271375464684012,0.05539033457249065
39,39,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8400884303610906,0.18289962825278816,0.009293680297397633,-0.004460966542750855
