,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
78,78,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.9489571092831963,0.16375000000000006,0.05208333333333326,0.06916666666666671
79,79,0.8541666666666666,0.7852760736196319,0.824177438307873,0.9458725029377203,0.1595833333333333,0.03791666666666671,0.04583333333333328
80,80,0.9,0.8695652173913043,0.8942420681551116,0.9440364277320799,0.14374999999999993,0.07000000000000017,0.018750000000000155
81,81,0.8833333333333333,0.8426966292134831,0.8704465334900118,0.9389688601645124,0.12958333333333338,0.0741666666666666,-0.0016666666666664831
82,82,0.8583333333333333,0.7951807228915663,0.831668625146886,0.9395564042303173,0.11458333333333326,0.056666666666666754,0.03541666666666665
83,83,0.875,0.8314606741573034,0.8616333725029377,0.9490305522914219,0.13708333333333322,0.05999999999999994,0.06958333333333333
84,84,0.8875,0.8491620111731844,0.8758813160987073,0.9475616921269095,0.1595833333333333,0.06958333333333322,0.008749999999999813
85,85,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.9433019976498237,0.15833333333333333,0.022499999999999964,0.026249999999999996
86,86,0.9,0.8695652173913043,0.8942420681551116,0.9505728554641598,0.19250000000000012,0.061249999999999916,0.017083333333333228
87,87,0.7583333333333333,0.5606060606060606,0.6909518213866039,0.946313160987074,0.10083333333333333,0.03125,0.029999999999999916
88,88,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9420534665099883,0.21124999999999994,0.06708333333333327,0.014166666666666439
89,89,0.725,0.45,0.6433607520564042,0.949177438307873,0.09916666666666674,0.018333333333333313,-0.019583333333333397
90,90,0.9,0.8681318681318682,0.8921856639247944,0.9416862514688601,0.18291666666666673,0.07625000000000015,0.0004166666666666208
91,91,0.9125,0.8877005347593583,0.9105464159811987,0.9369858989424207,0.2745833333333333,0.1808333333333333,0.01666666666666672
92,92,0.85,0.7721518987341772,0.8146298472385429,0.9433019976498237,0.18666666666666665,0.04916666666666669,0.06958333333333333
93,93,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.9397032902467685,0.09291666666666654,0.05208333333333326,0.008750000000000036
94,94,0.8458333333333333,0.7612903225806451,0.80713866039953,0.9418331374853114,0.13958333333333328,0.060416666666666674,0.06666666666666665
95,95,0.8583333333333333,0.7875,0.8254994124559343,0.9494712103407755,0.15083333333333337,0.05499999999999994,0.04583333333333328
96,96,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9514541715628673,0.13583333333333336,0.06958333333333344,0.02458333333333329
97,97,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9474148061104584,0.16333333333333333,0.06374999999999997,-0.002083333333333326
98,98,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9332403055229141,0.1987500000000001,0.06625000000000003,0.040416666666666545
99,99,0.8916666666666667,0.8522727272727273,0.8772032902467685,0.9407314923619271,0.14583333333333337,0.10833333333333328,-0.008749999999999925
100,100,0.7833333333333333,0.6060606060606061,0.717391304347826,0.9525558166862514,0.13583333333333336,0.0050000000000000044,0.03833333333333322
101,101,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9405846063454759,0.18999999999999995,0.06208333333333327,-0.004166666666666763
102,102,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9447708578143361,0.1758333333333334,0.07250000000000012,0.05500000000000005
103,103,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.94286133960047,0.18624999999999992,0.07208333333333328,-1.1102230246251565e-16
104,104,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9450646298472385,0.20125000000000004,0.07333333333333314,0.004166666666666763
105,105,0.8541666666666666,0.7852760736196319,0.824177438307873,0.9386750881316099,0.12916666666666665,0.04458333333333331,0.015416666666666745
106,106,0.8875,0.847457627118644,0.8738249118683901,0.9496915393654524,0.15000000000000002,0.06541666666666668,0.0024999999999999467
107,107,0.9,0.8695652173913043,0.8942420681551116,0.9461662749706228,0.19041666666666668,0.06375000000000008,0.03416666666666668
108,108,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9504259694477086,0.18291666666666673,0.06291666666666673,0.008749999999999925
109,109,0.8416666666666667,0.7532467532467533,0.8017038777908343,0.9477820211515864,0.11791666666666656,0.05125000000000002,0.0016666666666665941
110,110,0.8875,0.8439306358381503,0.8697121034077555,0.9313307873090483,0.18541666666666667,0.1858333333333333,0.006249999999999978
111,111,0.8583333333333333,0.8045977011494253,0.8398942420681552,0.9577702702702702,0.10333333333333317,0.0445833333333332,0.00041666666666650976
112,112,0.9,0.8709677419354839,0.8962984723854289,0.9385282021151586,0.21583333333333332,0.057499999999999996,0.012500000000000067
113,113,0.6375,0.10309278350515463,0.5271739130434783,0.9429347826086957,0.013333333333333197,0.019583333333333286,-0.005416666666666736
114,114,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9511603995299647,0.16416666666666668,0.07916666666666683,-0.002083333333333326
115,115,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9508666274970623,0.18291666666666662,0.11041666666666672,0.0016666666666665941
116,116,0.9,0.8681318681318682,0.8921856639247944,0.9444770857814335,0.1495833333333333,0.07250000000000001,0.029583333333333295
117,117,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9329465334900117,0.21916666666666662,0.06541666666666657,0.012500000000000067
